district,pmjjby_pmjjby_claims_received_during_fy_2025_26_as_on_30_06,total_cum_pmjjby_claims_received_upto_30_06_2025,pmjjby_claims_settled_during_fy_2025_26_as_on_30_06_2025,total_cum_pmjjby_claims_settled_upto_30_06_2025,pmsby_pmsby_claims_received_during_fy_2025_26_as_on_30_06_20,total_cum_pmsby_claims_received_upto_30_06_2025,pmsby_claims_settled_during_fy_2025_26_as_on_30_06_2025,total_cum_pmsby_claims_settled_upto_30_06_2025
Araria,92,752,92,728,11,64,6,48
Arwal,17,174,18,170,6,63,5,49
Aurangabad,31,355,30,331,13,127,7,93
Banka,27,314,24,298,2,49,2,28
Begusarai,45,573,44,548,10,157,6,111
Bhagalpur,46,482,39,446,12,106,2,70
Bhojpur,36,491,39,457,15,165,8,109
Buxar,28,398,28,359,11,105,7,81
Darbhanga,37,697,40,668,6,76,3,54
Gaya,106,631,104,598,32,195,18,119
Gopalganj,40,756,36,720,4,85,1,51
Jamui,53,442,48,418,8,113,4,82
Jehanabad,48,249,48,231,11,93,5,45
Kaimur (Bhabua),19,327,19,289,9,108,7,72
Katihar,29,434,39,420,6,58,8,29
Khagaria,24,289,23,286,10,86,4,59
Kishanganj,56,471,56,466,5,29,2,15
Lakhisarai,18,285,18,270,6,80,6,59
Madhepura,41,570,46,551,3,51,2,32
Madhubani,49,676,44,633,10,208,3,66
Munger,25,304,21,281,5,75,2,54
Muzaffarpur,79,1389,91,1339,24,286,6,178
Nalanda,41,469,40,459,17,197,11,146
Nawada,24,379,25,354,8,106,5,67
Pashchim Champaran,94,1201,93,1152,10,97,2,64
Patna,131,1143,102,1045,36,279,13,195
Purbi Champaran,67,1453,79,1408,9,119,1,67
Purnia,126,1625,124,1605,3,68,3,47
Rohtas,41,564,40,517,9,204,6,93
Saharsa,49,620,50,610,4,47,0,29
Samastipur,77,1016,75,937,19,171,9,108
Saran,62,927,59,891,12,190,3,105
Sheikhpura,19,213,15,202,7,68,4,53
Sheohar,4,64,2,60,1,16,0,13
Sitamarhi,50,628,58,602,8,122,4,66
Siwan,56,791,55,766,6,115,0,77
Supaul,33,480,37,459,5,60,2,38
Vaishali,50,773,68,740,7,125,3,75
