District,Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Other Priority Sector A/c,Amt
Araria,0,0,210,6.15,137,2.52,5,0.01,4,0.05,9710,20.98,10066,29.71
Arwal,0,0,168,6.75,13,0.62,0,0.00,0,0.00,1249,3.19,1430,10.55
Aurangabad,0,0,665,21.56,61,2.22,0,0.00,0,0.00,4316,11.65,5042,35.43
Banka,0,0,153,4.49,30,1.24,36,0.09,1,0.01,6507,11.78,6727,17.60
Begusarai,0,0,392,12.46,145,4.18,51,0.10,5,0.03,8878,16.14,9471,32.90
Bhagalpur,0,0,201,5.61,88,3.78,0,0.00,0,0.00,5797,12.95,6086,22.34
Bhojpur,0,0,425,16.24,90,4.45,0,0.00,0,0.00,2972,8.89,3487,29.59
Buxar,0,0,225,7.44,45,2.13,0,0.00,0,0.00,1746,4.83,2016,14.40
Darbhanga,0,0,477,14.38,76,3.54,208,0.52,4,0.00,3809,10.04,4574,28.48
Gaya,0,0,714,27.00,179,10.31,0,0.00,0,0.00,3582,9.32,4475,46.62
Gopalganj,0,0,232,6.00,766,3.20,0,0.00,2,0.01,5924,15.59,6924,24.79
Jamui,0,0,103,3.41,32,0.54,0,0.00,0,0.00,5187,11.85,5322,15.79
Jehanabad,0,0,321,11.32,18,0.72,0,0.00,1,0.00,612,1.39,952,13.43
Kaimur (Bhabua),0,0,250,9.65,28,1.67,1,0.00,0,0.00,1503,5.55,1782,16.88
Katihar,0,0,195,4.94,106,3.83,0,0.00,11,0.07,2599,9.26,2911,18.09
Khagaria,0,0,196,5.24,16,0.99,1,0.00,0,0.00,4000,10.44,4213,16.68
Kishanganj,0,0,120,2.46,331,5.50,0,0.00,1,0.00,1266,3.64,1718,11.61
Lakhisarai,0,0,186,7.25,17,0.94,306,0.96,0,0.00,2376,4.76,2885,13.91
Madhepura,0,0,155,4.23,137,2.53,309,0.70,2,0.01,3543,10.35,4146,17.81
Madhubani,0,0,585,16.10,64,2.11,0,0.00,6,0.03,7546,16.95,8201,35.19
Munger,0,0,148,4.65,49,2.61,0,0.00,0,0.00,3848,7.64,4045,14.89
Muzaffarpur,0,0,731,22.08,167,10.64,0,0.00,14,0.06,11946,31.63,12858,64.41
Nalanda,0,0,755,23.10,69,4.27,0,0.00,0,0.00,2628,6.90,3452,34.27
Nawada,0,0,277,9.88,61,2.47,0,0.00,0,0.00,2982,8.62,3320,20.97
Pashchim Champaran,0,0,338,9.70,34,1.93,1,0.09,1,0.00,8982,32.31,9356,44.02
Patna,0,0,1647,48.71,500,40.12,3485,10.92,1,0.02,12794,32.32,18427,132.10
Purbi Champaran,0,0,368,10.65,59,2.58,476,1.26,17,0.01,8114,21.60,9034,36.10
Purnia,0,0,249,7.17,612,11.87,0,0.00,0,0.00,5703,13.22,6564,32.26
Rohtas,0,0,660,22.79,152,8.04,0,0.00,1,0.01,6293,15.72,7106,46.56
Saharsa,0,0,212,6.30,74,1.79,0,0.00,1,0.02,2706,8.06,2993,16.16
Samastipur,0,0,509,16.29,64,3.41,448,1.01,1,0.00,7309,20.14,8331,40.84
Saran,0,0,513,14.60,84,2.59,1,0.00,17,0.06,5051,14.15,5666,31.40
Sheikhpura,0,0,127,4.25,12,0.21,19,0.06,0,0.00,1599,3.48,1757,8.00
Sheohar,0,0,54,1.50,64,0.61,0,0.00,0,0.00,941,2.12,1059,4.23
Sitamarhi,0,0,324,8.79,60,1.89,0,0.00,6,0.01,3503,10.92,3893,21.61
Siwan,0,0,489,15.75,54,3.17,109,0.25,8,0.03,3981,12.85,4641,32.05
Supaul,0,0,247,7.96,124,2.00,59,0.12,0,0.00,2256,6.09,2686,16.18
Vaishali,0,0,621,16.56,353,6.59,0,0.00,67,0.15,7248,18.15,8289,41.45
