District,Agriculture (NPS) A/c,Amt,Education (NPS) A/c,Amt,Housing (NPS) A/c,Amt,Personal Loans under NPS A/c,Amt,Others NPS A/c,Amt,Total Non Priority Sector A/c,Amt
Araria,1982,9.93,26,7.32,1105,197.63,13484,261.23,68772,1345.95,85369,1822.05
Arwal,6,0.07,2,0.78,181,43.55,3933,111.99,12270,280.04,16392,436.42
Aurangabad,415,8.64,23,5.33,1191,216.90,13747,399.35,43337,2203.76,58713,2833.98
Banka,429,7.72,6,1.75,466,88.24,6803,151.05,28558,667.66,36262,916.43
Begusarai,732,32.28,50,14.91,3055,553.94,24656,634.72,113324,2256.46,141817,3492.31
Bhagalpur,1260,20.44,111,26.13,5333,1078.44,29001,740.56,105287,2724.31,140992,4589.88
Bhojpur,153,11.15,32,8.68,2354,458.98,17275,491.83,77557,1677.11,97371,2647.76
Buxar,395,4.90,17,3.57,944,162.13,12652,329.06,39860,909.19,53868,1408.85
Darbhanga,1617,11.50,83,22.51,4156,761.08,25802,789.98,109881,2494.79,141539,4079.86
Gaya,802,7.96,300,48.18,4832,899.75,33511,1048.31,132188,3095.30,171633,5099.49
Gopalganj,1127,27.29,23,4.83,931,157.40,17517,399.87,61150,1174.57,80748,1763.96
Jamui,51,5.67,6,1.56,447,93.70,7421,204.98,35730,824.59,43655,1130.50
Jehanabad,19,0.72,8,1.18,807,137.48,9063,213.08,28340,599.87,38237,952.33
Kaimur (Bhabua),185,5.20,11,3.30,547,98.84,7399,204.94,28315,728.46,36457,1040.74
Katihar,442,5.57,47,11.74,2309,365.44,16711,471.85,80525,1668.61,100034,2523.20
Khagaria,289,5.84,14,3.22,476,107.82,9954,223.76,34892,744.60,45625,1085.24
Kishanganj,641,14.18,21,5.35,756,128.12,8782,170.10,43405,877.45,53605,1195.20
Lakhisarai,12,0.46,9,1.76,324,67.74,6036,147.93,21768,523.53,28149,741.42
Madhepura,955,5.37,13,2.40,601,120.91,9639,216.11,40151,972.99,51359,1317.77
Madhubani,412,10.62,37,9.42,1849,299.50,18656,548.20,81677,1727.61,102631,2595.35
Munger,92,2.98,17,4.48,1013,151.68,13271,370.47,45600,1171.81,59993,1701.42
Muzaffarpur,547,29.24,180,44.60,8185,1413.26,56752,1456.29,241931,4800.52,307595,7743.91
Nalanda,332,6.13,36,9.61,2094,445.54,20148,511.68,80070,1578.51,102680,2551.46
Nawada,200,3.38,18,4.71,1168,210.60,11579,292.71,48473,936.25,61438,1447.64
Pashchim Champaran,597,18.86,30,8.45,1733,223.42,28177,567.01,84035,1972.43,114572,2790.16
Patna,894,2815.46,1115,306.97,48870,11313.86,220351,5617.33,739080,33467.85,1010310,53521.47
Purbi Champaran,953,19.21,43,10.96,2262,394.30,28325,793.96,120145,2649.96,151728,3868.37
Purnia,1321,31.03,69,17.92,4579,788.82,19170,461.47,107089,2202.55,132228,3501.80
Rohtas,783,9.92,40,7.79,1554,298.94,18257,501.69,64843,1667.32,85477,2485.66
Saharsa,427,7.46,31,8.65,1208,217.60,9615,306.60,33701,940.78,44982,1481.10
Samastipur,882,11.01,53,12.90,2180,453.58,30254,836.01,120163,2028.49,153532,3341.99
Saran,397,7.21,35,7.61,2444,342.89,23787,691.81,104787,2036.67,131450,3086.18
Sheikhpura,32,3.42,4,0.84,261,55.31,5023,98.33,14647,385.31,19967,543.21
Sheohar,25,0.53,6,1.33,161,28.31,5679,105.04,10831,219.72,16702,354.94
Sitamarhi,422,9.82,46,13.88,1560,286.40,18733,424.53,62002,1262.38,82763,1997.00
Siwan,455,5.54,38,8.48,1908,317.83,21138,542.63,95449,1645.04,118988,2519.51
Supaul,397,86.46,15,2.88,608,125.71,9247,239.55,42311,1055.39,52578,1510.00
Vaishali,476,9.57,52,13.14,2715,561.26,33928,729.00,123606,1920.57,160777,3233.54
