District,AGRICULTURE TARGET,ACHIE,%ACH,MSME TARGET,ACHIE,%ACH,O P S TARGET,ACHIE,%ACH,TPS TARGET,ACHIE,%ACH,N P S TARGET,ACHIE,%ACH,GRAND TOTAL TARGET,ACHIE,%ACH
Araria,2249,310.31,13.80,2122,947.19,44.64,227,25.32,11.15,4598,1282.82,27.90,1428,311.30,21.80,6026,1594.12,26.45
Arwal,810,162.61,20.08,860,124.43,14.47,60,4.20,7.00,1730,291.23,16.83,456,80.14,17.57,2186,371.37,16.99
Aurangabad,4516,265.10,5.87,2071,586.53,28.32,215,22.04,10.25,6802,873.67,12.84,1493,269.98,18.08,8295,1143.65,13.79
Banka,1743,147.59,8.47,1569,204.62,13.04,216,39.88,18.46,3528,392.08,11.11,1042,143.05,13.73,4570,535.13,11.71
Begusarai,3572,505.27,14.15,4071,1527.93,37.53,302,55.78,18.47,7945,2088.98,26.29,1850,574.84,31.07,9795,2663.83,27.20
Bhagalpur,4065,339.56,8.35,5004,1350.76,26.99,405,82.33,20.33,9474,1772.65,18.71,2514,683.88,27.20,11988,2456.53,20.49
Bhojpur,3815,321.21,8.42,3848,701.17,18.22,233,35.55,15.26,7896,1057.94,13.40,1637,457.95,27.97,9533,1515.89,15.90
Buxar,2275,211.85,9.31,2270,362.72,15.98,157,13.92,8.87,4702,588.49,12.52,1096,206.79,18.87,5798,795.28,13.72
Darbhanga,3692,376.52,10.20,3640,1086.18,29.84,242,30.47,12.59,7574,1493.17,19.71,1933,561.22,29.03,9507,2054.39,21.61
Gaya,4602,790.89,17.19,5529,1389.34,25.13,343,49.22,14.35,10474,2229.45,21.29,2758,1030.27,37.36,13232,3259.72,24.64
Gopalganj,4406,268.75,6.10,1794,583.26,32.51,219,16.11,7.36,6419,868.11,13.52,1334,315.35,23.64,7753,1183.46,15.26
Jamui,1525,121.20,7.95,1276,274.28,21.50,146,14.94,10.23,2947,410.41,13.93,793,175.69,22.16,3740,586.11,15.67
Jehanabad,1228,168.59,13.73,1546,186.69,12.08,77,14.99,19.47,2851,370.27,12.99,797,162.58,20.40,3648,532.85,14.61
Kaimur (Bhabua),2780,315.06,11.33,1781,321.27,18.04,135,15.72,11.64,4696,652.05,13.89,979,172.89,17.66,5675,824.94,14.54
Katihar,2382,499.74,20.98,3048,940.44,30.85,241,27.76,11.52,5671,1467.94,25.89,1673,363.42,21.72,7344,1831.36,24.94
Khagaria,1914,216.64,11.32,1349,394.67,29.26,139,10.21,7.35,3402,621.51,18.27,774,171.46,22.15,4176,792.97,18.99
Kishanganj,1329,204.54,15.39,1568,426.73,27.21,156,20.43,13.10,3053,651.69,21.35,904,177.49,19.63,3957,829.19,20.96
Lakhisarai,1334,101.14,7.58,1137,186.30,16.39,108,10.74,9.94,2579,298.18,11.56,607,113.82,18.75,3186,412.00,12.93
Madhepura,1538,181.80,11.82,1348,402.47,29.86,122,12.69,10.40,3008,596.95,19.85,1131,190.01,16.80,4139,786.96,19.01
Madhubani,3109,331.18,10.65,3425,734.95,21.46,260,20.86,8.02,6794,1086.99,16.00,1902,357.21,18.78,8696,1444.20,16.61
Munger,1613,98.45,6.10,1805,251.02,13.91,167,23.33,13.97,3585,372.81,10.40,1080,238.50,22.08,4665,611.31,13.10
Muzaffarpur,6045,692.42,11.45,6029,2406.88,39.92,436,56.21,12.89,12510,3155.51,25.22,5611,1421.75,25.34,18121,4577.26,25.26
Nalanda,3247,298.32,9.19,3004,817.57,27.22,233,199.39,85.58,6484,1315.28,20.29,1660,389.59,23.47,8144,1704.87,20.93
Nawada,1857,169.05,9.10,1576,445.54,28.27,169,17.81,10.54,3602,632.41,17.56,994,210.14,21.14,4596,842.55,18.33
Pashchim Champaran,2940,367.05,12.48,3248,1002.28,30.86,250,17.16,6.86,6438,1386.49,21.54,1776,447.82,25.22,8214,1834.31,22.33
Patna,7415,2082.01,28.08,21429,10582.27,49.38,1092,293.29,26.86,29936,12957.56,43.28,39077,10362.78,26.52,69013,23320.34,33.79
Purbi Champaran,4443,570.49,12.84,4262,1404.35,32.95,351,29.57,8.42,9056,2004.41,22.13,2559,747.80,29.22,11615,2752.21,23.70
Purnia,2436,543.60,22.32,4105,2017.57,49.15,286,44.46,15.55,6827,2605.63,38.17,2123,500.24,23.56,8950,3105.86,34.70
Rohtas,3229,373.78,11.58,3215,897.05,27.90,266,25.23,9.48,6710,1296.06,19.32,1733,413.62,23.87,8443,1709.68,20.25
Saharsa,1789,164.51,9.20,1357,531.61,39.18,102,13.84,13.57,3248,709.96,21.86,945,229.39,24.27,4193,939.35,22.40
