District,Target,"Forwarded to
Bank No of
Prj.","MM
Involve (In Lakh)","Sanctioned by
Bank No of
Prj.","MM
Involve (In Lakh)","%
Sanction
(No.)","Margin Money
Claimed No of
Prj.","MM
Involve (In Lakh)","MM Disbursed No of
Prj.",MM (In Lakh),"%
Disburse
ment","Returned by Bank No of
Prj.",MM (In Lakh),"Pending at bank No of
Prj.","MM
Involve (In Lakh)","Pending for MM
Disbursement No of
Prj.",MM (In Lakh)
Araria,71,0,0.00,2,5.00,2.82,8,13.91,22,56.97,30.99,0,0.00,0,0.00,8,13.91
Arwal,63,0,0.00,0,0.00,0.00,4,6.37,12,24.26,19.05,0,0.00,0,0.00,3,4.72
Aurangabad,78,0,0.00,0,0.00,0.00,12,32.86,24,47.70,30.77,0,0.00,0,0.00,8,27.05
Banka,69,0,0.00,1,2.50,1.45,16,28.16,23,53.10,33.33,0,0.00,0,0.00,13,21.85
Begusarai,72,0,0.00,1,3.50,1.39,28,40.95,33,79.55,45.83,0,0.00,0,0.00,26,37.59
Bhagalpur,61,0,0.00,0,0.00,0.00,27,94.39,53,140.44,86.89,0,0.00,0,0.00,24,85.67
Bhojpur,72,0,0.00,0,0.00,0.00,28,83.15,23,66.48,31.94,0,0.00,0,0.00,26,73.40
Buxar,72,0,0.00,0,0.00,0.00,16,57.59,21,49.78,29.17,0,0.00,0,0.00,15,55.17
Darbhanga,74,0,0.00,0,0.00,0.00,19,71.76,48,112.55,64.86,0,0.00,0,0.00,17,59.51
Gaya,73,0,0.00,0,0.00,0.00,34,101.59,31,101.25,42.47,0,0.00,0,0.00,28,83.56
Gopalganj,76,0,0.00,0,0.00,0.00,6,16.55,30,79.50,39.47,0,0.00,0,0.00,5,16.20
Jamui,77,0,0.00,1,3.50,1.30,5,15.75,11,24.68,14.29,0,0.00,0,0.00,5,15.75
Jehanabad,66,0,0.00,0,0.00,0.00,7,16.60,16,45.31,24.24,0,0.00,0,0.00,6,15.20
Kaimur (Bhabua),(BHABHUA),70,0,0.00,1,2.50,1.43,13,51.36,21,59.53,30.00,0,0.00,0,0.00,13
Katihar,77,0,0.00,0,0.00,0.00,7,15.34,49,125.45,63.64,0,0.00,0,0.00,7,15.34
Khagaria,69,0,0.00,1,1.75,1.45,6,6.45,29,79.63,42.03,0,0.00,0,0.00,6,6.45
Kishanganj,71,0,0.00,0,0.00,0.00,3,14.00,21,54.33,29.58,0,0.00,0,0.00,3,14.00
Lakhisarai,70,0,0.00,0,0.00,0.00,12,44.22,13,34.83,18.57,0,0.00,0,0.00,11,40.72
Madhepura,70,0,0.00,0,0.00,0.00,5,13.88,15,30.62,21.43,0,0.00,0,0.00,3,6.88
Madhubani,79,0,0.00,0,0.00,0.00,20,50.87,51,119.67,64.56,0,0.00,0,0.00,18,43.87
Munger,64,0,0.00,0,0.00,0.00,9,19.67,31,69.04,48.44,0,0.00,0,0.00,7,13.84
Muzaffarpur,80,0,0.00,2,7.37,2.50,17,71.55,54,125.58,67.50,0,0.00,0,0.00,15,67.70
Nalanda,77,0,0.00,0,0.00,0.00,35,175.02,23,67.42,29.87,0,0.00,0,0.00,34,172.52
Nawada,67,0,0.00,0,0.00,0.00,6,24.80,30,96.88,44.78,0,0.00,0,0.00,5,22.75
Pashchim Champaran,71,0,0.00,0,0.00,0.00,6,21.92,62,178.34,87.32,0,0.00,0,0.00,5,17.02
Patna,110,0,0.00,0,0.00,0.00,31,100.52,51,170.73,46.36,0,0.00,0,0.00,29,93.02
Purbi Champaran,73,0,0.00,1,0.75,1.37,23,88.55,52,131.83,71.23,0,0.00,0,0.00,20,81.30
Purnia,71,0,0.00,1,1.05,1.41,14,46.48,49,116.27,69.01,0,0.00,0,0.00,13,45.23
Rohtas,69,0,0.00,1,1.75,1.45,20,59.48,34,94.63,49.28,0,0.00,0,0.00,20,59.48
Saharsa,69,0,0.00,0,0.00,0.00,10,26.23,10,21.74,14.49,0,0.00,0,0.00,9,22.73
Samastipur,69,0,0.00,1,1.18,1.45,17,33.62,39,121.34,56.52,0,0.00,0,0.00,16,32.92
Saran,74,0,0.00,0,0.00,0.00,9,28.72,45,150.80,60.81,0,0.00,0,0.00,8,25.22
Sheikhpura,76,0,0.00,1,1.25,1.32,0,0.00,12,26.98,15.79,0,0.00,0,0.00,0,0.00
Sheohar,72,0,0.00,0,0.00,0.00,5,14.53,12,34.04,16.67,0,0.00,0,0.00,5,14.53
Sitamarhi,68,0,0.00,1,1.38,1.47,11,37.81,41,102.08,60.29,0,0.00,0,0.00,7,28.36
Siwan,78,0,0.00,0,0.00,0.00,11,31.76,54,171.95,69.23,0,0.00,0,0.00,10,28.26
Supaul,68,0,0.00,0,0.00,0.00,8,19.75,28,83.93,41.18,0,0.00,0,0.00,6,14.08
Vaishali,72,0,0.00,0,0.00,0.00,17,76.49,35,119.00,48.61,0,0.00,0,0.00,14,70.73
