District,Shishu Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Kishore Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Tarun Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Tarun Plus Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,Total PMMY Loans Outstanding No.,Amt.,"Out of which
under NPA No.",Amt.,% Age NPA No.,Amt.
Araria,120897,252.97,33131,62.65,114928,697.77,14784,78.49,3412,204.26,330,16.18,31,3.38,0,0.00,239268,1158.38,48245,157.32,20.16,13.58
Arwal,11983,25.76,3938,9.13,9759,88.33,1845,17.33,1243,77.61,150,9.14,6,0.70,1,0.27,22991,192.4,5934,35.87,25.81,18.64
Aurangabad,39762,97.03,20369,40.74,51077,385.57,10063,72.10,3545,216.23,300,15.44,28,3.00,4,0.42,94412,701.83,30736,128.7,32.56,18.34
Banka,34500,78.14,15885,28.07,38306,319.99,7206,42.32,2305,125.77,127,5.93,18,2.61,1,0.08,75129,526.51,23219,76.4,30.91,14.51
Begusarai,51296,129.68,39066,68.07,101451,693.35,19665,103.97,4859,279.52,448,19.92,32,3.59,3,0.20,157638,1106.14,59182,192.16,37.54,17.37
Bhagalpur,70017,163.16,16581,31.27,95362,732.55,10663,71.27,5896,350.79,411,20.30,47,6.50,3,0.54,171322,1253,27658,123.38,16.14,9.85
Bhojpur,54790,129.27,13046,30.71,56426,401.63,7413,61.39,3252,187.88,418,20.86,51,5.31,6,0.47,114519,724.09,20883,113.43,18.24,15.67
Buxar,41604,94.47,9591,21.86,44438,334.01,6187,61.59,2531,145.93,311,16.22,20,2.79,2,0.14,88593,577.2,16091,99.81,18.16,17.29
Darbhanga,131331,284.09,44214,79.42,130717,733.82,19865,101.72,4933,281.73,399,18.81,95,11.78,1,0.17,267076,1311.42,64479,200.12,24.14,15.26
Gaya,150686,385.59,31909,64.24,150899,914.88,28380,196.13,11029,625.97,737,41.34,46,4.83,3,0.20,312660,1931.27,61029,301.91,19.52,15.63
Gopalganj,73846,155.23,21845,40.74,76722,460.59,11789,63.19,3188,192.58,267,15.26,55,6.11,0,0.00,153811,814.51,33901,119.19,22.04,14.63
Jamui,25832,53.94,10502,20.90,40884,286.32,7068,43.58,2058,118.94,264,14.37,28,2.41,9,0.58,68802,461.61,17843,79.43,25.93,17.21
Jehanabad,12863,31.89,5467,13.91,18584,182.35,3662,35.99,2052,114.19,237,13.68,3,0.26,1,0.07,33502,328.69,9367,63.65,27.96,19.36
Kaimur (Bhabua),30950,68.29,6400,13.51,32706,233.32,4541,42.21,1971,115.37,252,12.12,16,1.95,2,0.11,65643,418.93,11195,67.95,17.05,16.22
Katihar,99539,209.68,16114,28.37,119643,692.15,11046,60.25,4380,261.51,299,14.40,36,4.68,0,0.00,223598,1168.02,27459,103.02,12.28,8.82
Khagaria,83527,178.01,32265,59.78,62838,399.69,11372,58.59,2304,121.88,187,8.56,29,3.66,2,0.17,148698,703.24,43826,127.1,29.47,18.07
Kishanganj,66507,135.86,6547,14.05,93702,587.30,4924,31.65,1622,83.14,151,5.90,21,2.66,1,0.09,161852,808.96,11623,51.69,7.18,6.39
Lakhisarai,14690,34.12,6738,12.85,21229,166.39,3425,20.45,1136,65.53,66,3.13,26,2.58,4,0.42,37081,268.62,10233,36.85,27.60,13.72
Madhepura,62563,125.72,20759,37.15,55232,350.36,10477,55.15,2564,141.13,208,8.24,40,4.75,0,0.00,120399,621.96,31444,100.54,26.12,16.17
Madhubani,139759,297.80,45130,84.01,99428,642.60,17595,96.38,5235,304.93,420,21.17,129,15.06,1,0.18,244551,1260.39,63146,201.74,25.82,16.01
