district,loans_to_weaker_sections_under_priority_sector_no,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,out_of_agriculture_loans_to_small_marginal_farmers_no,amt
Araria,32106,129.83,9691,129.83,15674,129.83
Arwal,11523,54.82,2560,54.82,10246,54.82
Aurangabad,36931,165.38,10142,165.38,28558,165.38
Banka,19158,70.31,5704,70.31,12569,70.31
Begusarai,40759,221.10,11947,221.10,26750,221.10
Bhagalpur,35255,187.45,12559,187.45,24476,187.45
Bhojpur,39212,156.22,10976,156.22,28396,156.22
Buxar,21947,111.15,7048,111.15,17731,111.15
Darbhanga,56341,119.00,11117,119.00,17259,119.00
Gaya,83533,214.68,45458,214.68,39835,214.68
Gopalganj,36122,109.72,7763,109.72,13616,109.72
Jamui,25267,78.60,6525,78.60,18645,78.60
Jehanabad,12816,66.00,2060,66.00,10597,66.00
Kaimur (Bhabua),24498,161.31,6504,161.31,19082,161.31
Katihar,46687,120.63,8103,120.63,14231,120.63
Khagaria,22451,101.22,4855,101.22,15217,101.22
Kishanganj,26818,101.89,9077,101.89,13081,101.89
Lakhisarai,14482,60.40,3427,60.40,9048,60.40
Madhepura,28456,68.19,7319,68.19,10045,68.19
Madhubani,46973,102.46,9596,102.46,16586,102.46
Munger,13600,64.23,3995,64.23,12711,64.23
Muzaffarpur,70934,329.34,26400,329.34,42865,329.34
Nalanda,34224,169.07,9138,169.07,25422,169.07
Nawada,36449,109.63,11420,109.63,28393,109.63
Pashchim Champaran,46145,189.15,11761,189.15,23783,189.15
Patna,126099,656.39,75400,656.39,90098,656.39
Purbi Champaran,67803,256.11,16357,256.11,33958,256.11
Purnia,43270,177.09,11336,177.09,19560,177.09
Rohtas,35936,188.91,9452,188.91,27818,188.91
Saharsa,23377,92.94,6206,92.94,11592,92.94
Samastipur,62673,290.97,17931,290.97,45078,290.97
Saran,56403,169.92,18056,169.92,22610,169.92
Sheikhpura,7626,44.60,1817,44.60,5135,44.60
Sheohar,11114,39.76,764,39.76,5706,39.76
Sitamarhi,36421,102.53,6401,102.53,14381,102.53
Siwan,51200,159.83,15237,159.83,22738,159.83
Supaul,26733,78.43,3755,78.43,11710,78.43
Vaishali,54045,208.46,12060,208.46,21250,208.46
