District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,207,6.67,87396,765.35,29,0.94,90,2.12,2,0.14,127,21.19,87851,796.41
Arwal,38,0.38,2724,27.96,9,0.18,32,0.53,0,0.00,13,0.07,2816,29.12
Aurangabad,115,2.71,11541,138.23,32,0.37,87,11.27,7,0.28,85,9.44,11867,162.30
Banka,93,1.93,12594,102.92,22,0.53,79,1.48,2,0.12,20,0.32,12810,107.30
Begusarai,155,2.63,38209,313.02,1106,10.42,100,2.21,2,0.04,89,1.13,39661,329.45
Bhagalpur,204,5.99,39812,436.20,475,3.40,124,5.63,2,0.00,76,12.26,40693,463.48
Bhojpur,130,2.40,36253,189.83,36,1.00,95,5.21,0,0.00,73,3.20,36587,201.64
Buxar,54,2.80,6774,73.99,24,0.60,78,4.72,1,0.00,39,0.51,6970,82.62
Darbhanga,257,6.27,38723,471.68,686,7.18,97,3.28,4,0.12,57,1.77,39824,490.30
Gaya,3458,18.20,84529,535.94,18172,60.13,1609,10.11,245,0.52,173,7.78,108186,632.68
Gopalganj,127,2.07,21130,251.02,90,2.85,108,1.92,4,0.08,65,0.68,21524,258.62
Jamui,200,3.33,12236,116.26,45,0.12,115,1.02,1,0.00,40,0.34,12637,121.07
Jehanabad,8,0.20,4174,53.77,6,0.52,16,1.09,0,0.00,8,0.14,4212,55.72
Kaimur (Bhabua),34,0.62,7709,101.47,16,0.22,44,0.90,1,0.05,27,0.52,7831,103.78
Katihar,1073,16.75,82352,893.43,66,1.09,250,5.54,2,0.01,36,0.30,83779,917.12
Khagaria,69,1.62,8961,87.00,28,0.51,61,0.65,5,0.06,25,0.12,9149,89.96
Kishanganj,671,9.42,111211,1087.68,38,0.32,52,2.45,1,1.61,104,3.29,112077,1104.77
Lakhisarai,24,0.76,2864,25.26,3,0.01,38,0.40,10,0.04,17,0.18,2956,26.65
Madhepura,124,1.96,31109,184.25,42,0.36,72,0.58,0,0.00,72,0.69,31419,187.84
Madhubani,181,3.52,44422,395.23,42,1.81,76,1.84,2,0.06,52,0.95,44775,403.41
Munger,89,2.10,7222,98.68,19,0.52,93,1.51,3,0.02,28,0.67,7454,103.50
Muzaffarpur,702,10.42,91968,692.43,1134,15.36,566,17.41,5,0.06,210,2.03,94585,737.71
Nalanda,178,7.41,11203,140.39,194,4.50,82,3.61,5,1.72,54,0.91,11716,158.54
Nawada,63,1.70,11172,124.33,47,2.04,21,0.35,0,0.00,38,0.34,11341,128.76
Pashchim Champaran,520,15.86,40259,440.11,107,2.40,182,5.98,3,0.00,102,1.19,41173,465.54
Patna,1653,69.91,335693,1809.27,2639,48.23,778,70.82,157,0.85,278,17.28,341198,2016.36
Purbi Champaran,340,10.42,52740,597.58,498,51.12,267,2.70,7,0.32,152,2.22,54004,664.36
Purnia,741,13.04,111396,1155.03,268,4.41,144,5.37,6,3.03,99,11.05,112654,1191.93
Rohtas,120,2.56,14605,176.30,92,1.98,398,10.58,12,0.02,53,0.30,15280,191.74
Saharsa,225,3.06,21083,188.81,31,0.16,74,0.95,1,0.00,15,0.60,21429,193.58
Samastipur,309,5.12,28434,315.23,131,2.90,257,7.68,5,0.11,93,2.95,29229,333.99
Saran,210,3.99,21723,240.34,107,1.95,243,5.65,8,0.06,86,2.82,22377,254.81
Sheikhpura,95,2.84,2523,28.47,45,0.88,93,1.59,2,0.08,28,1.42,2786,35.28
Sheohar,10,0.11,4337,41.92,37,0.44,31,0.35,1,0.00,11,0.24,4427,43.06
Sitamarhi,130,2.81,23016,255.57,134,2.76,304,5.69,0,0.00,51,0.97,23635,267.80
Siwan,1262,7.07,144636,674.50,279,3.10,194,7.77,3,0.04,71,3.97,146445,696.45
Supaul,332,3.62,16702,193.49,78,0.93,65,2.27,1,0.00,32,0.99,17210,201.30
Vaishali,700,4.84,320120,903.24,315,7.03,258,5.54,10,0.45,105,3.58,321508,924.68
