district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,31,1.42,5,1.01,85,13.53,632,34,12229,261.33,12982,311.3
Arwal,2,0.03,1,0.12,22,2.21,372,19.04,2790,58.73,3187,80.14
Aurangabad,17,2.37,0,0.05,110,10.98,966,56.94,6544,199.65,7637,269.98
Banka,12,3.2,1,0.04,41,4.88,461,20.85,4479,114.08,4994,143.05
Begusarai,45,19.56,10,1.27,323,37.04,2200,104.1,19409,412.87,21987,574.84
Bhagalpur,24,4.03,21,1.57,495,69.61,1547,95.34,18672,513.33,20759,683.88
Bhojpur,16,1.67,4,0.35,319,32.42,1313,82.11,12133,341.4,13785,457.95
Buxar,19,0.47,1,0.14,121,9.82,760,49.88,6711,146.48,7612,206.79
Darbhanga,20,0.74,16,1.72,337,55.48,2139,110.01,23301,393.28,25813,561.22
Gaya,15,1.03,80,2.29,486,63.31,2488,160.27,24276,803.37,27345,1030.27
Gopalganj,17,0.48,3,0.26,76,6.94,1269,55.74,15041,251.94,16406,315.35
Jamui,11,2.08,1,0.15,39,4.84,506,31.39,5322,137.23,5879,175.69
Jehanabad,10,0.12,1,0.12,72,6.72,573,31.82,5666,123.81,6322,162.58
Kaimur (Bhabua),18,1.89,3,0.13,66,4.8,495,32.16,4479,133.9,5061,172.89
Katihar,185,1.79,8,0.75,207,23.54,1114,63.86,14897,273.48,16411,363.42
Khagaria,17,1.19,1,0.18,46,8.05,775,33.32,5101,128.72,5940,171.46
Kishanganj,23,1.75,1,0.11,75,13.98,467,36.01,6258,125.65,6824,177.49
Lakhisarai,1,0,0,0.05,40,6.23,504,24.67,3180,82.87,3725,113.82
Madhepura,55,0.5,2,0.32,92,12.14,641,30.23,6459,146.83,7249,190.01
Madhubani,62,3.95,4,0.61,169,15.08,1332,64.45,16408,273.12,17975,357.21
Munger,14,0.93,3,0.35,66,9.67,938,58.6,6527,168.94,7548,238.5
Muzaffarpur,30,2.51,20,1.93,702,84.41,3840,270.52,41948,1062.38,46540,1421.75
Nalanda,14,0.55,5,0.55,225,27.78,1681,76.46,14875,284.25,16800,389.59
Nawada,7,0.18,1,0.05,113,11.43,919,43.59,7924,154.9,8964,210.14
Pashchim Champaran,57,6.55,5,0.39,190,16.11,1713,83.18,16930,341.58,18895,447.82
Patna,208,87.48,151,16.33,3939,776.27,13362,856.5,141738,8626.2,159398,10362.78
Purbi Champaran,131,3.55,3,0.54,173,24.44,2245,121.88,23658,597.39,26210,747.8
Purnia,84,9.24,7,0.54,408,53.76,1226,65.29,16607,371.4,18332,500.24
Rohtas,22,0.91,3,0.18,149,15.39,1162,71.72,11453,325.43,12789,413.62
Saharsa,28,1.75,7,0.81,133,15.08,650,38.74,7312,173.01,8130,229.39
Samastipur,28,1.25,7,0.83,256,31.14,2129,118.28,15408,391.38,17828,542.88
Saran,29,1.03,0,0.16,192,20.96,1740,88.34,22896,391.45,24857,501.93
Sheikhpura,4,0.04,1,0.09,23,3.6,379,17.09,2049,59.57,2456,80.39
Sheohar,9,0.07,0,0,25,1.99,361,14.48,1701,30.57,2096,47.12
Sitamarhi,30,4.55,8,1.21,160,20.38,1402,60.84,10874,195.49,12474,282.47
Siwan,21,1.73,7,1.03,169,21.61,1327,67.41,20241,423.29,21765,515.06
Supaul,208,80.79,0,0.11,64,8.92,660,36.48,6556,150.5,7488,276.8
Vaishali,25,1.45,8,0.98,379,49.68,2102,93.92,23722,328.11,26236,474.14
