District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,1500,67,89,0.66,5.93,0.99
Arwal,407,18,11,0.11,2.70,0.61
Aurangabad,1655,74,153,1.28,9.24,1.73
Banka,1231,55,64,0.76,5.20,1.38
Begusarai,2748,123,35,2.25,1.27,1.83
Bhagalpur,2612,117,85,0.73,3.25,0.62
Bhojpur,2101,94,26,0.96,1.24,1.02
Buxar,1209,54,3,0.01,0.25,0.02
Darbhanga,2256,101,46,0.78,2.04,0.77
Gaya,3145,141,294,1.95,9.35,1.38
Gopalganj,1923,86,63,2.07,3.28,2.41
Jamui,1029,46,24,0.35,2.33,0.76
Jehanabad,673,30,8,0.37,1.19,1.23
Kaimur (Bhabua),985,44,19,0.23,1.93,0.52
Katihar,1877,84,146,1.08,7.78,1.29
Khagaria,987,44,19,0.45,1.93,1.02
Kishanganj,1006,45,57,0.43,5.67,0.96
Lakhisarai,718,32,11,0.17,1.53,0.53
Madhepura,1008,45,20,0.34,1.98,0.76
Madhubani,2302,103,116,0.98,5.04,0.95
Munger,1078,48,15,0.09,1.39,0.19
Muzaffarpur,4636,208,188,9.79,4.06,4.71
Nalanda,1989,89,50,0.42,2.51,0.47
Nawada,1410,63,36,0.62,2.55,0.98
Pashchim Champaran,2034,91,43,1.26,2.11,1.38
Patna,13574,610,405,5.96,2.98,0.98
Purbi Champaran,2901,130,87,1.53,3.00,1.18
Purnia,2213,99,108,2.92,4.88,2.95
Rohtas,2146,96,32,0.24,1.49,0.25
Saharsa,718,32,30,0.21,4.18,0.66
Samastipur,2723,122,79,3.03,2.90,2.48
Saran,2567,115,89,0.69,3.47,0.60
Sheikhpura,497,22,24,0.37,4.83,1.68
Sheohar,248,11,7,0.07,2.82,0.64
Sitamarhi,1364,61,57,2.69,4.18,4.41
Siwan,3011,135,117,1.28,3.89,0.95
Supaul,1008,45,16,0.57,1.59,1.27
Vaishali,2591,116,125,4.32,4.82,3.72
