district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,2833,20.82,3874,20.82,136.75,20.82
Arwal,1019,5.57,127,5.57,12.46,5.57
Aurangabad,6165,4.57,1201,4.57,19.48,4.57
Banka,2260,8.51,1601,8.51,70.84,8.51
Begusarai,4559,23.25,1912,23.25,41.94,23.25
Bhagalpur,5297,12.79,2113,12.79,39.89,12.79
Bhojpur,4992,5.88,1140,5.88,22.84,5.88
Buxar,2915,16.39,693,16.39,23.77,16.39
Darbhanga,4848,15.34,3333,15.34,68.75,15.34
Gaya,5663,17.74,4675,17.74,82.55,17.74
Gopalganj,5912,3.18,3074,3.18,52.00,3.18
Jamui,1931,8.18,855,8.18,44.28,8.18
Jehanabad,1618,8.57,456,8.57,28.18,8.57
Kaimur (Bhabua),3701,17.75,879,17.75,23.75,17.75
Katihar,2933,32.77,4606,32.77,157.04,32.77
Khagaria,2511,25.07,1442,25.07,57.43,25.07
Kishanganj,1623,9.22,2128,9.22,131.12,9.22
Lakhisarai,1703,9.22,658,9.22,38.64,9.22
Madhepura,1960,9.76,4490,9.76,229.08,9.76
Madhubani,3854,17.42,5373,17.42,139.41,17.42
Munger,2017,7.56,317,7.56,15.72,7.56
Muzaffarpur,7204,20.35,5999,20.35,83.27,20.35
Nalanda,4155,9.25,1165,9.25,28.04,9.25
Nawada,2268,6.31,752,6.31,33.16,6.31
Pashchim Champaran,3753,9.65,2658,9.65,70.82,9.65
Patna,8144,90.72,11156,90.72,136.98,90.72
Purbi Champaran,5749,20.26,11428,20.26,198.78,20.26
Purnia,3033,51.86,6002,51.86,197.89,51.86
Rohtas,4088,18.69,1423,18.69,34.81,18.69
Saharsa,2423,11.93,4756,11.93,196.29,11.93
Samastipur,5416,14.85,4354,14.85,80.39,14.85
Saran,4847,10.99,7050,10.99,145.45,10.99
Sheikhpura,932,3.41,91,3.41,9.76,3.41
Sheohar,768,9.13,1080,9.13,140.63,9.13
Sitamarhi,2804,9.61,3613,9.61,128.85,9.61
Siwan,4459,23.81,6791,23.81,152.30,23.81
Supaul,2259,8.04,5832,8.04,258.17,8.04
Vaishali,10288,8.89,5700,8.89,55.40,8.89
