district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,26,172.18,9019,172.18,8,172.18,4,172.18,0,172.18,25,172.18,9082,172.18
Arwal,6,5.14,621,5.14,1,5.14,4,5.14,0,5.14,3,5.14,635,5.14
Aurangabad,10,27.44,2090,27.44,4,27.44,4,27.44,0,27.44,15,27.44,2123,27.44
Banka,8,16.13,1224,16.13,1,16.13,1,16.13,1,16.13,2,16.13,1237,16.13
Begusarai,12,60.14,4626,60.14,88,60.14,5,60.14,0,60.14,9,60.14,4740,60.14
Bhagalpur,83,91.91,6283,91.91,25,91.91,10,91.91,1,91.91,17,91.91,6419,91.91
Bhojpur,41,47.63,4531,47.63,23,47.63,10,47.63,0,47.63,19,47.63,4624,47.63
Buxar,6,12.54,1271,12.54,4,12.54,3,12.54,0,12.54,4,12.54,1288,12.54
Darbhanga,36,84.72,5081,84.72,39,84.72,12,84.72,0,84.72,10,84.72,5178,84.72
Gaya,495,144.06,11642,144.06,4247,144.06,454,144.06,52,144.06,35,144.06,16925,144.06
Gopalganj,19,50.35,2958,50.35,11,50.35,5,50.35,0,50.35,4,50.35,2997,50.35
Jamui,18,17.27,1683,17.27,5,17.27,3,17.27,0,17.27,5,17.27,1714,17.27
Jehanabad,2,13.51,841,13.51,1,13.51,2,13.51,0,13.51,3,13.51,849,13.51
Kaimur (Bhabua),2,18.59,1625,18.59,4,18.59,4,18.59,0,18.59,3,18.59,1638,18.59
Katihar,184,154.23,11629,154.23,6,154.23,28,154.23,0,154.23,10,154.23,11857,154.23
Khagaria,6,14.76,1095,14.76,3,14.76,1,14.76,0,14.76,2,14.76,1107,14.76
Kishanganj,133,189.81,15549,189.81,3,189.81,9,189.81,0,189.81,15,189.81,15709,189.81
Lakhisarai,3,2.94,576,2.94,1,2.94,2,2.94,1,2.94,0,2.94,583,2.94
Madhepura,19,31.09,3649,31.09,3,31.09,3,31.09,0,31.09,7,31.09,3681,31.09
Madhubani,23,52.80,4086,52.80,7,52.80,11,52.80,0,52.80,9,52.80,4136,52.80
Munger,7,23.51,975,23.51,1,23.51,9,23.51,0,23.51,2,23.51,994,23.51
Muzaffarpur,51,121.56,8947,121.56,138,121.56,26,121.56,1,121.56,13,121.56,9176,121.56
Nalanda,49,26.38,1805,26.38,11,26.38,4,26.38,0,26.38,7,26.38,1876,26.38
Nawada,118,24.99,2397,24.99,5,24.99,3,24.99,0,24.99,5,24.99,2528,24.99
Pashchim Champaran,51,82.07,4886,82.07,14,82.07,30,82.07,1,82.07,13,82.07,4995,82.07
Patna,189,335.36,32708,335.36,405,335.36,85,335.36,4,335.36,37,335.36,33428,335.36
Purbi Champaran,54,164.30,6681,164.30,244,164.30,19,164.30,3,164.30,16,164.30,7017,164.30
Purnia,87,248.94,14775,248.94,20,248.94,12,248.94,1,248.94,16,248.94,14911,248.94
Rohtas,92,34.39,2395,34.39,4,34.39,28,34.39,1,34.39,2,34.39,2522,34.39
Saharsa,12,37.89,2454,37.89,5,37.89,7,37.89,0,37.89,4,37.89,2482,37.89
Samastipur,23,59.18,3999,59.18,12,59.18,19,59.18,0,59.18,9,59.18,4062,59.18
Saran,27,46.75,2977,46.75,11,46.75,11,46.75,0,46.75,11,46.75,3037,46.75
Sheikhpura,17,3.20,299,3.20,3,3.20,1,3.20,0,3.20,2,3.20,322,3.20
Sheohar,1,8.20,618,8.20,3,8.20,2,8.20,0,8.20,3,8.20,627,8.20
Sitamarhi,10,44.92,2896,44.92,5,44.92,32,44.92,0,44.92,4,44.92,2947,44.92
Siwan,94,125.22,15240,125.22,42,125.22,8,125.22,1,125.22,16,125.22,15401,125.22
Supaul,13,28.30,2060,28.30,7,28.30,12,28.30,0,28.30,6,28.30,2098,28.30
Vaishali,65,163.41,33393,163.41,21,163.41,12,163.41,1,163.41,4,163.41,33496,163.41
