district,sc_disbursement_during_quarter_no,amt,outstanding_at_the_end_of_quarter_no,amt,st_disbursement_during_quarter_no,amt,outstanding_at_the_end_of_quarter_no,amt
Araria,2161,19.46,2271,19.46,366,19.46,2271,19.46
Arwal,420,6.88,925,6.88,80,6.88,925,6.88
Aurangabad,2862,43.25,7882,43.25,513,43.25,7882,43.25
Banka,810,36.39,4128,36.39,175,36.39,4128,36.39
Begusarai,2660,29.35,3683,29.35,322,29.35,3683,29.35
Bhagalpur,2024,89.2,5350,89.2,586,89.2,5350,89.2
Bhojpur,6008,75.89,20752,75.89,2092,75.89,20752,75.89
Buxar,1229,28.34,3784,28.34,227,28.34,3784,28.34
Darbhanga,13393,43.23,11685,43.23,1645,43.23,11685,43.23
Gaya,22831,292.27,56712,292.27,7008,292.27,56712,292.27
Gopalganj,6164,30.16,7280,30.16,1275,30.16,7280,30.16
Jamui,928,52.07,5970,52.07,137,52.07,5970,52.07
Jehanabad,656,47.9,2383,47.9,112,47.9,2383,47.9
Kaimur (Bhabua),1652,44.92,4556,44.92,198,44.92,4556,44.92
Katihar,2361,72.7,4946,72.7,880,72.7,4946,72.7
Khagaria,702,15.96,1157,15.96,123,15.96,1157,15.96
Kishanganj,1347,24.23,2567,24.23,314,24.23,2567,24.23
Lakhisarai,471,13.97,2064,13.97,28,13.97,2064,13.97
Madhepura,2461,19.12,4864,19.12,739,19.12,4864,19.12
Madhubani,9658,28.57,7315,28.57,1952,28.57,7315,28.57
Munger,606,32.3,2196,32.3,76,32.3,2196,32.3
Muzaffarpur,12829,52.43,10509,52.43,1869,52.43,10509,52.43
Nalanda,2267,42.27,3371,42.27,157,42.27,3371,42.27
Nawada,2188,31.5,4352,31.5,116,31.5,4352,31.5
Pashchim Champaran,7594,97.34,23743,97.34,7801,97.34,23743,97.34
Patna,31623,292.87,80644,292.87,8310,292.87,80644,292.87
Purbi Champaran,8077,56.21,11432,56.21,1405,56.21,11432,56.21
Purnia,3365,65.09,7642,65.09,1747,65.09,7642,65.09
Rohtas,1935,38.32,4674,38.32,166,38.32,4674,38.32
Saharsa,2859,21.97,2397,21.97,362,21.97,2397,21.97
Samastipur,3774,79.23,8602,79.23,835,79.23,8602,79.23
Saran,8570,44.23,9181,44.23,1632,44.23,9181,44.23
Sheikhpura,287,11.85,1206,11.85,13,11.85,1206,11.85
Sheohar,1334,2.3,282,2.3,62,2.3,282,2.3
Sitamarhi,3738,16.41,2380,16.41,544,16.41,2380,16.41
Siwan,21047,274.49,72621,274.49,8945,274.49,72621,274.49
Supaul,2806,19.63,1978,19.63,307,19.63,1978,19.63
Vaishali,45965,386.05,150466,386.05,14641,386.05,150466,386.05
