district,sc_no_of_a_cs,sanctioned_amt,disbursement_amt,st_no_of_a_cs,sanctioned_amt,disbursement_amt,women_general_no_of_a_cs,sanctioned_amt,disbursement_amt,total_no_of_a_cs,sanctioned_amt,disbursement_amt
Araria,36,26.74,21.44,1,26.74,21.44,104,26.74,21.44,141,26.74,21.44
Arwal,7,5.92,3.81,0,5.92,3.81,39,5.92,3.81,46,5.92,3.81
Aurangabad,31,41.09,27.43,2,41.09,27.43,198,41.09,27.43,231,41.09,27.43
Banka,16,21.68,16.86,1,21.68,16.86,93,21.68,16.86,110,21.68,16.86
Begusarai,44,75.57,62.19,4,75.57,62.19,308,75.57,62.19,356,75.57,62.19
Bhagalpur,44,74.09,57.00,2,74.09,57.00,349,74.09,57.00,395,74.09,57.00
Bhojpur,31,45.43,32.96,4,45.43,32.96,202,45.43,32.96,237,45.43,32.96
Buxar,14,20.95,16.87,2,20.95,16.87,105,20.95,16.87,121,20.95,16.87
Darbhanga,43,58.55,37.13,7,58.55,37.13,217,58.55,37.13,267,58.55,37.13
Gaya,77,89.30,67.51,3,89.30,67.51,380,89.30,67.51,460,89.30,67.51
Gopalganj,13,32.99,21.16,4,32.99,21.16,126,32.99,21.16,143,32.99,21.16
Jamui,21,18.38,12.98,3,18.38,12.98,69,18.38,12.98,93,18.38,12.98
Jehanabad,16,12.34,8.09,0,12.34,8.09,62,12.34,8.09,78,12.34,8.09
Kaimur (Bhabua),30,24.61,18.27,1,24.61,18.27,113,24.61,18.27,144,24.61,18.27
Katihar,26,31.56,25.98,7,31.56,25.98,162,31.56,25.98,195,31.56,25.98
Khagaria,26,30.66,19.42,1,30.66,19.42,120,30.66,19.42,147,30.66,19.42
Kishanganj,18,14.68,10.90,1,14.68,10.90,48,14.68,10.90,67,14.68,10.90
Lakhisarai,12,11.80,9.24,0,11.80,9.24,47,11.80,9.24,59,11.80,9.24
Madhepura,14,17.01,10.19,1,17.01,10.19,87,17.01,10.19,102,17.01,10.19
Madhubani,23,43.53,31.69,1,43.53,31.69,241,43.53,31.69,265,43.53,31.69
Munger,20,25.16,15.83,1,25.16,15.83,116,25.16,15.83,137,25.16,15.83
Muzaffarpur,68,122.43,84.00,6,122.43,84.00,481,122.43,84.00,555,122.43,84.00
Nalanda,49,56.10,43.16,2,56.10,43.16,242,56.10,43.16,293,56.10,43.16
Nawada,17,27.20,19.75,3,27.20,19.75,130,27.20,19.75,150,27.20,19.75
Pashchim Champaran,22,33.28,20.99,3,33.28,20.99,141,33.28,20.99,166,33.28,20.99
Patna,269,439.77,317.89,24,439.77,317.89,1779,439.77,317.89,2072,439.77,317.89
Purbi Champaran,56,60.28,37.71,5,60.28,37.71,214,60.28,37.71,275,60.28,37.71
Purnia,44,76.03,61.11,2,76.03,61.11,272,76.03,61.11,318,76.03,61.11
Rohtas,39,51.46,37.41,4,51.46,37.41,202,51.46,37.41,245,51.46,37.41
Saharsa,12,28.62,18.99,1,28.62,18.99,150,28.62,18.99,163,28.62,18.99
Samastipur,60,76.51,54.54,4,76.51,54.54,283,76.51,54.54,347,76.51,54.54
Saran,35,53.65,34.49,4,53.65,34.49,243,53.65,34.49,282,53.65,34.49
Sheikhpura,20,13.94,10.68,2,13.94,10.68,51,13.94,10.68,73,13.94,10.68
Sheohar,8,8.26,6.24,0,8.26,6.24,39,8.26,6.24,47,8.26,6.24
Sitamarhi,23,31.58,23.24,0,31.58,23.24,126,31.58,23.24,149,31.58,23.24
Siwan,28,38.72,23.43,3,38.72,23.43,184,38.72,23.43,215,38.72,23.43
Supaul,28,26.02,17.70,2,26.02,17.70,110,26.02,17.70,140,26.02,17.70
Vaishali,56,47.93,36.05,1,47.93,36.05,216,47.93,36.05,273,47.93,36.05
