District,Shishu Account,Amount,Kishor Account,Amount,Tarun Account,Amount,Tarun Plus Account,Amount,Total Account,Amount
Araria,9275,35.55,11433,122.09,563,31.99,3,0.32,21274,189.83
Arwal,1322,4.98,1649,15.81,102,6.03,2,0.21,3075,27.03
Aurangabad,5632,22.64,7517,75.45,498,28.74,3,0.44,13650,127.21
Banka,4950,19.08,5894,60.68,264,15.14,9,1.42,11117,96.24
Begusarai,13535,50.97,18087,175.40,1026,53.00,7,0.81,32655,280.08
Bhagalpur,12126,46.31,16279,174.90,886,54.89,19,2.56,29310,278.52
Bhojpur,5607,22.77,7941,76.91,670,36.99,6,0.69,14224,137.35
Buxar,4491,17.57,6143,57.55,409,24.09,2,0.32,11045,99.48
Darbhanga,9575,36.85,14660,138.52,914,49.05,10,1.87,25159,226.26
Gaya,32518,123.24,26077,178.18,1098,55.63,8,1.06,59701,358.03
Gopalganj,5732,22.28,8826,87.58,698,34.17,4,0.50,15260,144.48
Jamui,5437,19.08,6289,64.73,309,18.94,4,0.35,12039,103.08
Jehanabad,2325,9.27,3663,44.41,193,10.53,2,0.06,6183,64.25
Kaimur (Bhabua),3836,15.20,4690,45.42,319,16.68,3,0.42,8848,77.71
Katihar,11371,42.97,13878,138.78,868,50.21,19,3.03,26136,234.93
Khagaria,6907,26.45,5957,63.98,382,22.49,12,1.12,13258,114.00
Kishanganj,8852,30.97,11356,124.45,291,16.37,4,0.56,20503,172.32
Lakhisarai,1689,6.56,3519,37.67,192,11.10,4,0.62,5404,55.93
Madhepura,3241,12.75,6009,65.09,433,25.11,9,1.33,9692,104.20
Madhubani,10317,39.36,10284,102.95,977,47.83,23,3.35,21601,193.46
Munger,4804,18.06,4577,47.51,327,19.75,7,1.00,9715,86.25
Muzaffarpur,21360,91.28,28523,263.32,1772,90.81,34,4.65,51689,450.01
Nalanda,5869,23.62,8729,92.09,729,40.41,4,0.89,15331,156.97
Nawada,6500,26.73,7978,77.34,325,18.55,8,0.89,14811,123.46
Pashchim Champaran,10829,43.84,13767,133.98,901,44.83,7,1.06,25504,223.68
Patna,50434,232.02,61230,535.98,3816,203.84,58,7.78,115538,979.50
Purbi Champaran,9820,42.82,17867,172.08,1403,68.60,15,1.93,29105,285.36
Purnia,6941,33.18,13225,145.49,1107,64.21,14,1.96,21287,244.70
Rohtas,9183,35.58,8855,90.58,730,41.81,4,0.35,18772,168.21
Saharsa,4056,16.31,5576,59.78,387,19.68,9,1.31,10028,97.04
Samastipur,18629,74.48,21108,206.83,1402,70.11,16,2.44,41155,353.81
Saran,13227,54.51,21057,203.31,1199,55.56,22,2.71,35505,316.03
Sheikhpura,1271,4.68,1720,19.87,171,10.39,1,0.15,3163,35.06
Sheohar,905,3.31,1037,11.85,207,9.77,4,0.64,2153,25.53
Sitamarhi,7502,28.69,8252,88.15,724,38.25,27,3.40,16505,158.32
Siwan,9997,42.37,14792,147.63,782,44.11,13,1.83,25584,235.89
Supaul,2520,10.51,3953,48.77,534,29.73,3,0.20,7010,89.19
Vaishali,16721,63.50,17297,180.14,1162,56.98,20,2.67,35200,303.20
