district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,74902,6.78,8850,6.78,11.82,6.78
Arwal,28283,2.54,1274,2.54,4.50,2.54
Aurangabad,146198,2.88,7024,2.88,4.80,2.88
Banka,56774,4.90,4741,4.90,8.35,4.90
Begusarai,123252,9.05,14516,9.05,11.78,9.05
Bhagalpur,133897,6.60,12483,6.60,9.32,6.60
Bhojpur,123320,7.71,22280,7.71,18.07,7.71
Buxar,75407,4.62,6307,4.62,8.36,4.62
Darbhanga,120517,8.24,19252,8.24,15.97,8.24
Gaya,155698,16.15,71723,16.15,46.07,16.15
Gopalganj,143173,4.01,9870,4.01,6.89,4.01
Jamui,50801,4.46,3805,4.46,7.49,4.46
Jehanabad,41376,5.29,2403,5.29,5.81,5.29
Kaimur (Bhabua),91448,3.70,5150,3.70,5.63,3.70
Katihar,80156,10.16,12629,10.16,15.76,10.16
Khagaria,63175,6.24,4957,6.24,7.85,6.24
Kishanganj,45262,13.77,10160,13.77,22.45,13.77
Lakhisarai,44471,5.47,2785,5.47,6.26,5.47
Madhepura,51521,7.55,7209,7.55,13.99,7.55
Madhubani,102600,5.77,9078,5.77,8.85,5.77
Munger,53535,4.00,2628,4.00,4.91,4.00
Muzaffarpur,204546,8.00,29034,8.00,14.19,8.00
Nalanda,114976,4.74,6215,4.74,5.41,4.74
Nawada,63391,5.47,5039,5.47,7.95,5.47
Pashchim Champaran,96775,9.80,14004,9.80,14.47,9.80
Patna,247281,24.87,139601,24.87,56.45,24.87
Purbi Champaran,145767,6.90,17350,6.90,11.90,6.90
Purnia,80516,9.37,8502,9.37,10.56,9.37
Rohtas,106271,4.56,7626,4.56,7.18,4.56
Saharsa,59074,5.74,5275,5.74,8.93,5.74
Samastipur,135408,8.34,17477,8.34,12.91,8.34
Saran,126920,7.69,19781,7.69,15.59,7.69
Sheikhpura,24399,7.21,1697,7.21,6.96,7.21
Sheohar,19504,8.23,3409,8.23,17.48,8.23
Sitamarhi,70728,7.60,9146,7.60,12.93,7.60
Siwan,125908,16.43,54859,16.43,43.57,16.43
Supaul,59146,4.49,4294,4.49,7.26,4.49
Vaishali,151812,27.45,118948,27.45,78.35,27.45
