district,kcc_disbursed_during_quarter_including_renewal_no,amt,kcc_disbursed_during_financial_year_including_renewal_no,amt,kcc_outstanding_as_on_30_06_2025_no,amt,kcc_npa_as_on_30_06_2025_no,amt,age_npa_no,amt,rupay_card_issued_no,rupay_card_activated_no
Araria,8970,27.16,8970,27.16,114943,27.16,27101,27.16,23.58,27.16,56812,2039
Arwal,846,53.92,846,53.92,15507,53.92,9787,53.92,63.11,53.92,4107,3148
Aurangabad,2158,71.02,2158,71.02,78270,71.02,47337,71.02,60.48,71.02,33810,15595
Banka,2190,38.16,2190,38.16,89491,38.16,38010,38.16,42.47,38.16,29941,18440
Begusarai,7767,36.89,7767,36.89,165126,36.89,51871,36.89,31.41,36.89,45037,16429
Bhagalpur,3582,40.87,3582,40.87,95228,40.87,38912,40.87,40.86,40.87,28992,10837
Bhojpur,2568,59.10,2568,59.10,67379,59.10,36789,59.10,54.60,59.10,18975,12594
Buxar,2126,70.41,2126,70.41,64581,70.41,39818,70.41,61.66,70.41,19581,12027
Darbhanga,13446,14.59,13446,14.59,89227,14.59,11733,14.59,13.15,14.59,49087,2363
Gaya,3917,46.70,3917,46.70,128064,46.70,57118,46.70,44.60,46.70,47727,24128
Gopalganj,11416,24.95,11416,24.95,130280,24.95,38425,24.95,29.49,24.95,70520,3837
Jamui,2678,68.28,2678,68.28,68818,68.28,46573,68.28,67.68,68.28,22638,13938
Jehanabad,2057,29.90,2057,29.90,48639,29.90,15746,29.90,32.37,29.90,13724,11697
Kaimur (Bhabua),2562,57.28,2562,57.28,60693,57.28,32075,57.28,52.85,57.28,27191,7396
Katihar,9120,32.47,9120,32.47,96424,32.47,33999,32.47,35.26,32.47,35397,3563
Khagaria,3732,53.37,3732,53.37,94450,53.37,54396,53.37,57.59,53.37,28170,8331
Kishanganj,8111,27.12,8111,27.12,85302,27.12,22559,27.12,26.45,27.12,47966,1464
Lakhisarai,839,57.46,839,57.46,44948,57.46,27122,57.46,60.34,57.46,11181,8452
Madhepura,6458,35.64,6458,35.64,59447,35.64,19321,35.64,32.50,35.64,34997,1991
Madhubani,16201,15.44,16201,15.44,184869,15.44,32421,15.44,17.54,15.44,93780,6292
Munger,1439,39.92,1439,39.92,57262,39.92,24780,39.92,43.27,39.92,15093,12082
Muzaffarpur,19194,25.40,19194,25.40,193554,25.40,56875,25.40,29.38,25.40,90394,7588
Nalanda,2938,60.81,2938,60.81,100891,60.81,61601,60.81,61.06,60.81,30782,18944
Nawada,1952,42.48,1952,42.48,78591,42.48,29773,42.48,37.88,42.48,21442,13439
Pashchim Champaran,19563,22.36,19563,22.36,183221,22.36,40735,22.36,22.23,22.36,109338,7631
Patna,3482,47.70,3482,47.70,112313,47.70,55860,47.70,49.74,47.70,28076,16917
Purbi Champaran,18810,27.29,18810,27.29,267853,27.29,73265,27.29,27.35,27.29,132977,11796
Purnia,13272,29.42,13272,29.42,136804,29.42,40241,29.42,29.42,29.42,67450,6911
Rohtas,3793,65.15,3793,65.15,93763,65.15,52322,65.15,55.80,65.15,29685,17298
Saharsa,6239,29.78,6239,29.78,69068,29.78,21936,29.78,31.76,29.78,40833,3084
Samastipur,10503,41.07,10503,41.07,171237,41.07,65576,41.07,38.30,41.07,64409,26329
Saran,10749,30.81,10749,30.81,95443,30.81,35822,30.81,37.53,30.81,45728,2971
Sheikhpura,1531,28.95,1531,28.95,40067,28.95,13469,28.95,33.62,28.95,11722,8961
Sheohar,3010,28.65,3010,28.65,28471,28.65,10367,28.65,36.41,28.65,13870,795
Sitamarhi,10994,33.12,10994,33.12,112938,33.12,38236,33.12,33.86,33.12,57651,2765
Siwan,11031,28.21,11031,28.21,97756,28.21,28469,28.21,29.12,28.21,56870,2527
Supaul,7939,34.92,7939,34.92,81576,34.92,32969,34.92,40.42,34.92,41266,2681
Vaishali,13414,32.38,13414,32.38,136271,32.38,51330,32.38,37.67,32.38,68127,5423
