district,export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_other_priority_sector_a_c,amt
Araria,0,261.83,734,261.83,1428,261.83,41,261.83,19,261.83,38608,261.83,40830,261.83
Arwal,0,57.00,381,57.00,251,57.00,0,57.00,25,57.00,6901,57.00,7558,57.00
Aurangabad,0,318.08,1581,318.08,1928,318.08,3,318.08,51,318.08,20468,318.08,24031,318.08
Banka,0,227.02,571,227.02,833,227.02,156,227.02,27,227.02,21288,227.02,22875,227.02
Begusarai,0,555.12,1752,555.12,3110,555.12,208,555.12,169,555.12,27689,555.12,32928,555.12
Bhagalpur,1,776.63,2079,776.63,4610,776.63,2,776.63,199,776.63,40935,776.63,47826,776.63
Bhojpur,0,481.47,1397,481.47,3167,481.47,2,481.47,101,481.47,18374,481.47,23041,481.47
Buxar,0,238.28,801,238.28,1637,238.28,0,238.28,42,238.28,12790,238.28,15270,238.28
Darbhanga,0,582.57,2415,582.57,3782,582.57,742,582.57,66,582.57,21292,582.57,28297,582.57
Gaya,0,937.33,3927,937.33,5524,937.33,7,937.33,204,937.33,31461,937.33,41123,937.33
Gopalganj,0,235.49,778,235.49,2134,235.49,1,235.49,20,235.49,22968,235.49,25901,235.49
Jamui,0,128.13,364,128.13,563,128.13,0,128.13,20,128.13,19297,128.13,20244,128.13
Jehanabad,0,145.71,773,145.71,1043,145.71,1,145.71,30,145.71,4679,145.71,6526,145.71
Kaimur (Bhabua),0,172.45,565,172.45,897,172.45,1,172.45,36,172.45,14321,172.45,15820,172.45
Katihar,0,395.13,801,395.13,2411,395.13,2,395.13,32,395.13,29871,395.13,33117,395.13
Khagaria,0,117.63,570,117.63,592,117.63,8,117.63,19,117.63,13608,117.63,14797,117.63
Kishanganj,0,202.63,492,202.63,1307,202.63,0,202.63,13,202.63,22930,202.63,24742,202.63
Lakhisarai,0,105.07,558,105.07,490,105.07,2447,105.07,21,105.07,8652,105.07,12168,105.07
Madhepura,0,138.90,487,138.90,831,138.90,897,138.90,27,138.90,12219,138.90,14461,138.90
Madhubani,0,411.91,2098,411.91,2412,411.91,3,411.91,43,411.91,23543,411.91,28099,411.91
Munger,0,241.85,731,241.85,1298,241.85,0,241.85,43,241.85,16009,241.85,18081,241.85
Muzaffarpur,0,1225.21,3715,1225.21,8256,1225.21,1,1225.21,232,1225.21,53428,1225.21,65632,1225.21
Nalanda,0,546.96,1789,546.96,2271,546.96,3,546.96,221,546.96,23734,546.96,28018,546.96
Nawada,0,287.01,782,287.01,1931,287.01,0,287.01,62,287.01,19986,287.01,22761,287.01
Pashchim Champaran,0,420.79,1251,420.79,2034,420.79,5,420.79,73,420.79,33590,420.79,36953,420.79
Patna,0,6001.55,12996,6001.55,34618,6001.55,18041,6001.55,1275,6001.55,94098,6001.55,161028,6001.55
Purbi Champaran,0,504.02,1749,504.02,2805,504.02,3219,504.02,115,504.02,40430,504.02,48318,504.02
Purnia,0,670.11,1433,670.11,4999,670.11,4,670.11,58,670.11,37504,670.11,43998,670.11
Rohtas,0,442.63,1744,442.63,2858,442.63,6,442.63,83,442.63,28233,442.63,32924,442.63
Saharsa,0,198.93,701,198.93,1056,198.93,0,198.93,34,198.93,16832,198.93,18623,198.93
Samastipur,0,546.79,2076,546.79,3309,546.79,1680,546.79,111,546.79,30748,546.79,37924,546.79
Saran,0,440.97,1507,440.97,2320,440.97,9,440.97,97,440.97,37055,440.97,40988,440.97
Sheikhpura,0,80.75,377,80.75,470,80.75,245,80.75,26,80.75,7109,80.75,8227,80.75
Sheohar,0,44.64,160,44.64,377,44.64,0,44.64,3,44.64,3410,44.64,3950,44.64
Sitamarhi,0,301.40,1209,301.40,1761,301.40,1,301.40,150,301.40,12313,301.40,15434,301.40
Siwan,0,411.37,1384,411.37,2116,411.37,671,411.37,32,411.37,35325,411.37,39528,411.37
Supaul,0,144.28,672,144.28,980,144.28,220,144.28,62,144.28,6897,144.28,8831,144.28
Vaishali,0,510.35,1825,510.35,3396,510.35,0,510.35,219,510.35,37753,510.35,43193,510.35
