district,kcc_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,15512,15.86,8970,15.86,18.68,15.86,32508,15.86,8970,15.86,18.68,15.86,48020,15.86,8970,15.86,18.68,15.86
Arwal,5797,1.28,846,1.28,3.68,1.28,17222,1.28,846,1.28,3.68,1.28,23019,1.28,846,1.28,3.68,1.28
Aurangabad,18653,2.67,2158,2.67,2.99,2.67,53508,2.67,2158,2.67,2.99,2.67,72161,2.67,2158,2.67,2.99,2.67
Banka,12367,2.52,2190,2.52,5.46,2.52,27720,2.52,2190,2.52,5.46,2.52,40087,2.52,2190,2.52,5.46,2.52
Begusarai,21228,6.23,7767,6.23,10.58,6.23,52150,6.23,7767,6.23,10.58,6.23,73378,6.23,7767,6.23,10.58,6.23
Bhagalpur,26656,3.44,3582,3.44,4.05,3.44,61722,3.44,3582,3.44,4.05,3.44,88378,3.44,3582,3.44,4.05,3.44
Bhojpur,22371,1.73,2568,1.73,2.83,1.73,68293,1.73,2568,1.73,2.83,1.73,90664,1.73,2568,1.73,2.83,1.73
Buxar,14439,3.22,2126,3.22,3.93,3.22,39723,3.22,2126,3.22,3.93,3.22,54162,3.22,2126,3.22,3.93,3.22
Darbhanga,23300,9.00,13446,9.00,14.60,9.00,68793,9.00,13446,9.00,14.60,9.00,92093,9.00,13446,9.00,14.60,9.00
Gaya,30299,2.36,3917,2.36,3.57,2.36,79436,2.36,3917,2.36,3.57,2.36,109735,2.36,3917,2.36,3.57,2.36
Gopalganj,18083,11.17,11416,11.17,16.73,11.17,50151,11.17,11416,11.17,16.73,11.17,68234,11.17,11416,11.17,16.73,11.17
Jamui,11866,2.62,2678,2.62,5.89,2.62,33578,2.62,2678,2.62,5.89,2.62,45444,2.62,2678,2.62,5.89,2.62
Jehanabad,8869,3.52,2057,3.52,6.07,3.52,25008,3.52,2057,3.52,6.07,3.52,33877,3.52,2057,3.52,6.07,3.52
Kaimur (Bhabua),11866,8.18,2562,8.18,5.96,8.18,31150,8.18,2562,8.18,5.96,8.18,43016,8.18,2562,8.18,5.96,8.18
Katihar,17582,15.08,9120,15.08,16.32,15.08,38292,15.08,9120,15.08,16.32,15.08,55874,15.08,9120,15.08,16.32,15.08
Khagaria,10795,6.50,3732,6.50,9.71,6.50,27650,6.50,3732,6.50,9.71,6.50,38445,6.50,3732,6.50,9.71,6.50
Kishanganj,10225,16.17,8111,16.17,25.68,16.17,21363,16.17,8111,16.17,25.68,16.17,31588,16.17,8111,16.17,25.68,16.17
Lakhisarai,8296,1.95,839,1.95,2.72,1.95,22579,1.95,839,1.95,2.72,1.95,30875,1.95,839,1.95,2.72,1.95
Madhepura,11153,13.48,6458,13.48,15.42,13.48,30722,13.48,6458,13.48,15.42,13.48,41875,13.48,6458,13.48,15.42,13.48
Madhubani,26084,9.52,16201,9.52,15.14,9.52,80937,9.52,16201,9.52,15.14,9.52,107021,9.52,16201,9.52,15.14,9.52
Munger,13010,1.88,1439,1.88,2.97,1.88,35436,1.88,1439,1.88,2.97,1.88,48446,1.88,1439,1.88,2.97,1.88
Muzaffarpur,37369,10.47,19194,10.47,14.85,10.47,91863,10.47,19194,10.47,14.85,10.47,129232,10.47,19194,10.47,14.85,10.47
Nalanda,23511,2.37,2938,2.37,3.05,2.37,72722,2.37,2938,2.37,3.05,2.37,96233,2.37,2938,2.37,3.05,2.37
Nawada,14440,2.96,1952,2.96,3.55,2.96,40509,2.96,1952,2.96,3.55,2.96,54949,2.96,1952,2.96,3.55,2.96
Pashchim Champaran,22155,15.76,19563,15.76,24.32,15.76,58292,15.76,19563,15.76,24.32,15.76,80447,15.76,19563,15.76,24.32,15.76
Patna,87373,1.73,3482,1.73,1.26,1.73,188150,1.73,3482,1.73,1.26,1.73,275523,1.73,3482,1.73,1.26,1.73
Purbi Champaran,27583,14.18,18810,14.18,18.45,14.18,74364,14.18,18810,14.18,18.45,14.18,101947,14.18,18810,14.18,18.45,14.18
Purnia,21726,15.68,13272,15.68,18.50,15.68,50008,15.68,13272,15.68,18.50,15.68,71734,15.68,13272,15.68,18.50,15.68
Rohtas,23010,5.00,3793,5.00,4.48,5.00,61722,5.00,3793,5.00,4.48,5.00,84732,5.00,3793,5.00,4.48,5.00
Saharsa,9369,16.38,6239,16.38,19.27,16.38,23007,16.38,6239,16.38,19.27,16.38,32376,16.38,6239,16.38,19.27,16.38
Samastipur,27726,5.41,10503,5.41,10.35,5.41,73793,5.41,10503,5.41,10.35,5.41,101519,5.41,10503,5.41,10.35,5.41
Saran,24868,9.15,10749,9.15,11.62,9.15,67651,9.15,10749,9.15,11.62,9.15,92519,9.15,10749,9.15,11.62,9.15
Sheikhpura,6011,4.41,1531,4.41,6.45,4.41,17722,4.41,1531,4.41,6.45,4.41,23733,4.41,1531,4.41,6.45,4.41
Sheohar,4154,16.93,3010,16.93,19.22,16.93,11508,16.93,3010,16.93,19.22,16.93,15662,16.93,3010,16.93,19.22,16.93
Sitamarhi,15797,14.08,10994,14.08,19.16,14.08,41579,14.08,10994,14.08,19.16,14.08,57376,14.08,10994,14.08,19.16,14.08
Siwan,23942,9.92,11031,9.92,12.43,9.92,64794,9.92,11031,9.92,12.43,9.92,88736,9.92,11031,9.92,12.43,9.92
Supaul,11582,14.83,7939,14.83,19.42,14.83,29294,14.83,7939,14.83,19.42,14.83,40876,14.83,7939,14.83,19.42,14.83
Vaishali,24224,12.21,13414,12.21,15.22,12.21,63937,12.21,13414,12.21,15.22,12.21,88161,12.21,13414,12.21,15.22,12.21
