district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_sector_target,achie,achie
Araria,0.00,21.80,21.80,23.00,21.80,21.80,187.00,21.80,21.80,153.00,21.80,21.80,1065.00,21.80,21.80,1428.00,21.80,21.80
Arwal,0.00,17.57,17.57,13.00,17.57,17.57,63.00,17.57,17.57,42.00,17.57,17.57,338.00,17.57,17.57,456.00,17.57,17.57
Aurangabad,0.00,18.08,18.08,24.00,18.08,18.08,200.00,18.08,18.08,160.00,18.08,18.08,1109.00,18.08,18.08,1493.00,18.08,18.08
Banka,0.00,13.73,13.73,20.00,13.73,13.73,138.00,13.73,13.73,101.00,13.73,13.73,783.00,13.73,13.73,1042.00,13.73,13.73
Begusarai,0.00,31.07,31.07,30.00,31.07,31.07,248.00,31.07,31.07,182.00,31.07,31.07,1390.00,31.07,31.07,1850.00,31.07,31.07
Bhagalpur,0.00,27.20,27.20,38.00,27.20,27.20,347.00,27.20,27.20,244.00,27.20,27.20,1885.00,27.20,27.20,2514.00,27.20,27.20
Bhojpur,0.00,27.97,27.97,27.00,27.97,27.97,227.00,27.97,27.97,153.00,27.97,27.97,1230.00,27.97,27.97,1637.00,27.97,27.97
Buxar,0.00,18.87,18.87,19.00,18.87,18.87,148.00,18.87,18.87,106.00,18.87,18.87,823.00,18.87,18.87,1096.00,18.87,18.87
Darbhanga,0.00,29.03,29.03,29.00,29.03,29.03,259.00,29.03,29.03,189.00,29.03,29.03,1456.00,29.03,29.03,1933.00,29.03,29.03
Gaya,0.00,37.36,37.36,45.00,37.36,37.36,393.00,37.36,37.36,250.00,37.36,37.36,2070.00,37.36,37.36,2758.00,37.36,37.36
Gopalganj,0.00,23.64,23.64,22.00,23.64,23.64,181.00,23.64,23.64,132.00,23.64,23.64,999.00,23.64,23.64,1334.00,23.64,23.64
Jamui,0.00,22.16,22.16,17.00,22.16,22.16,105.00,22.16,22.16,75.00,22.16,22.16,596.00,22.16,22.16,793.00,22.16,22.16
Jehanabad,0.00,20.40,20.40,19.00,20.40,20.40,113.00,20.40,20.40,70.00,20.40,20.40,595.00,20.40,20.40,797.00,20.40,20.40
Kaimur (Bhabua),0.00,17.66,17.66,19.00,17.66,17.66,131.00,17.66,17.66,95.00,17.66,17.66,734.00,17.66,17.66,979.00,17.66,17.66
Katihar,0.00,21.72,21.72,23.00,21.72,21.72,211.00,21.72,21.72,185.00,21.72,21.72,1254.00,21.72,21.72,1673.00,21.72,21.72
Khagaria,0.00,22.15,22.15,17.00,22.15,22.15,103.00,22.15,22.15,73.00,22.15,22.15,581.00,22.15,22.15,774.00,22.15,22.15
Kishanganj,0.00,19.63,19.63,16.00,19.63,19.63,113.00,19.63,19.63,100.00,19.63,19.63,675.00,19.63,19.63,904.00,19.63,19.63
Lakhisarai,0.00,18.75,18.75,15.00,18.75,18.75,80.00,18.75,18.75,67.00,18.75,18.75,445.00,18.75,18.75,607.00,18.75,18.75
Madhepura,0.00,16.80,16.80,21.00,16.80,16.80,144.00,16.80,16.80,124.00,16.80,16.80,842.00,16.80,16.80,1131.00,16.80,16.80
Madhubani,0.00,18.78,18.78,30.00,18.78,18.78,250.00,18.78,18.78,203.00,18.78,18.78,1419.00,18.78,18.78,1902.00,18.78,18.78
Munger,0.00,22.08,22.08,19.00,22.08,22.08,149.00,22.08,22.08,103.00,22.08,22.08,809.00,22.08,22.08,1080.00,22.08,22.08
Muzaffarpur,0.00,25.34,25.34,52.00,25.34,25.34,487.00,25.34,25.34,860.00,25.34,25.34,4212.00,25.34,25.34,5611.00,25.34,25.34
Nalanda,0.00,23.47,23.47,24.00,23.47,23.47,233.00,23.47,23.47,156.00,23.47,23.47,1247.00,23.47,23.47,1660.00,23.47,23.47
Nawada,0.00,21.14,21.14,22.00,21.14,21.14,138.00,21.14,21.14,95.00,21.14,21.14,739.00,21.14,21.14,994.00,21.14,21.14
Pashchim Champaran,0.00,25.22,25.22,28.00,25.22,25.22,232.00,25.22,25.22,189.00,25.22,25.22,1327.00,25.22,25.22,1776.00,25.22,25.22
Patna,0.00,26.52,26.52,184.00,26.52,26.52,1629.00,26.52,26.52,7970.00,26.52,26.52,29294.00,26.52,26.52,39077.00,26.52,26.52
Purbi Champaran,0.00,29.22,29.22,40.00,29.22,29.22,334.00,29.22,29.22,276.00,29.22,29.22,1909.00,29.22,29.22,2559.00,29.22,29.22
Purnia,0.00,23.56,23.56,30.00,23.56,23.56,280.00,23.56,23.56,226.00,23.56,23.56,1587.00,23.56,23.56,2123.00,23.56,23.56
Rohtas,0.00,23.87,23.87,28.00,23.87,23.87,234.00,23.87,23.87,173.00,23.87,23.87,1298.00,23.87,23.87,1733.00,23.87,23.87
Saharsa,0.00,24.27,24.27,20.00,24.27,24.27,121.00,24.27,24.27,101.00,24.27,24.27,703.00,24.27,24.27,945.00,24.27,24.27
Samastipur,0.00,24.87,24.87,30.00,24.87,24.87,287.00,24.87,24.87,231.00,24.87,24.87,1635.00,24.87,24.87,2183.00,24.87,24.87
Saran,0.00,23.87,23.87,32.00,23.87,23.87,280.00,23.87,23.87,210.00,23.87,23.87,1581.00,23.87,23.87,2103.00,23.87,23.87
Sheikhpura,0.00,18.27,18.27,14.00,18.27,18.27,64.00,18.27,18.27,39.00,18.27,18.27,323.00,18.27,18.27,440.00,18.27,18.27
Sheohar,0.00,14.11,14.11,14.00,14.11,14.11,48.00,14.11,14.11,29.00,14.11,14.11,243.00,14.11,14.11,334.00,14.11,14.11
Sitamarhi,0.00,21.80,21.80,21.00,21.80,21.80,171.00,21.80,21.80,139.00,21.80,21.80,965.00,21.80,21.80,1296.00,21.80,21.80
Siwan,0.00,29.08,29.08,26.00,29.08,29.08,244.00,29.08,29.08,170.00,29.08,29.08,1331.00,29.08,29.08,1771.00,29.08,29.08
Supaul,0.00,24.54,24.54,20.00,24.54,24.54,141.00,24.54,24.54,126.00,24.54,24.54,841.00,24.54,24.54,1128.00,24.54,24.54
Vaishali,0.00,22.73,22.73,29.00,22.73,22.73,287.00,22.73,22.73,203.00,22.73,22.73,1567.00,22.73,22.73,2086.00,22.73,22.73
