District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,1378.00,7721,558.49,40.53
Arwal,548.00,1835,86.26,15.74
Aurangabad,1345.00,5654,440.14,32.72
Banka,1086.00,3463,142.82,13.15
Begusarai,2656.00,10440,780.08,29.37
Bhagalpur,3267.00,12015,840.35,25.72
Bhojpur,2504.00,5708,463.22,18.50
Buxar,1476.00,3716,274.18,18.58
Darbhanga,2368.00,15484,700.38,29.58
Gaya,3604.00,11613,894.21,24.81
Gopalganj,1165.00,9129,378.10,32.45
Jamui,825.00,3743,180.44,21.87
Jehanabad,1006.00,3471,141.50,14.07
Kaimur (Bhabua),1159.00,4034,228.50,19.72
Katihar,1988.00,8697,552.16,27.77
Khagaria,866.00,3697,256.11,29.57
Kishanganj,1018.00,5024,241.80,23.75
Lakhisarai,733.00,2242,169.54,23.13
Madhepura,874.00,5519,279.73,32.01
Madhubani,2230.00,14275,557.15,24.98
Munger,1166.00,3516,204.45,17.53
Muzaffarpur,3929.00,18004,1469.32,37.40
Nalanda,1952.00,12325,561.67,28.77
Nawada,1020.00,4596,333.88,32.73
Pashchim Champaran,2113.00,10658,635.53,30.08
Patna,14024.00,27686,4243.67,30.26
Purbi Champaran,2778.00,14269,935.68,33.68
Purnia,2672.00,13483,1098.77,41.12
Rohtas,2095.00,6807,668.99,31.93
Saharsa,875.00,5757,320.10,36.58
Samastipur,2674.00,11923,848.68,31.74
Saran,2685.00,11222,597.82,22.27
Sheikhpura,534.00,1632,95.12,17.81
Sheohar,372.00,1765,68.69,18.47
Sitamarhi,1469.00,9560,495.82,33.75
Siwan,2486.00,12416,515.33,20.73
Supaul,1133.00,6393,292.62,25.83
Vaishali,1427.00,12500,679.03,47.58
