District,"Cases pending
31.03.2025 No.",Amt.,"Cases filed during
the quarter June
2025 No.",Amt.,"Cases disposed
during the quarter
June 2025 No.",Amt.,"Cases pending as on
30.06.2025 No.",Amt.
Araria,6742,58,163,3,332,7,6573,54
Arwal,2919,53,84,1,128,2,2875,52
Aurangabad,8182,129,577,6,399,5,8360,130
Banka,28170,334,118,1,4173,25,24115,310
Begusarai,13292,171,394,4,1837,20,11849,155
Bhagalpur,30525,380,328,3,2839,29,28014,354
Bhojpur,10340,156,2885,69,128,36,13097,189
Buxar,8301,144,2419,42,108,3,10612,183
Darbhanga,3411,45,260,4,112,2,3559,47
Gaya,5761,71,200,8,112,3,5849,75
Gopalganj,8959,104,979,15,131,1,9807,118
Jamui,8333,108,441,7,1020,7,7754,107
Jehanabad,5409,81,212,6,171,2,5450,84
Kaimur (Bhabua),14383,180,324,9,564,13,14143,176
Katihar,12401,143,309,6,186,3,12524,146
Khagaria,11241,128,297,4,1812,22,9726,111
Kishanganj,10116,95,198,5,221,2,10093,98
Lakhisarai,5652,83,128,1,560,5,5220,80
Madhepura,6811,74,37,0,115,1,6733,74
Madhubani,5361,83,598,12,210,3,5749,91
Munger,12794,135,192,3,2712,28,10274,109
Muzaffarpur,21479,210,1139,22,289,6,22329,226
Nalanda,9580,122,624,16,75,1,10129,137
Nawada,5765,92,10,0,674,13,5101,79
Pashchim Champaran,16925,128,744,16,232,2,17437,141
Patna,12232,199,681,9,201,6,12712,202
Purbi Champaran,22501,232,529,7,425,5,22605,234
Purnia,13271,132,396,6,278,3,13389,134
Rohtas,12330,240,515,17,312,5,12533,252
Saharsa,5262,62,200,2,121,2,5341,63
Samastipur,12476,129,210,3,644,5,12042,126
Saran,10305,130,382,4,247,4,10440,130
Sheikhpura,4345,47,66,1,203,1,4208,47
Sheohar,7509,46,117,1,22,0,7604,47
Sitamarhi,7579,60,617,5,110,1,8086,64
Siwan,8834,90,585,11,121,2,9298,98
Supaul,4924,55,246,3,101,2,5069,56
Vaishali,8300,83,756,10,150,2,8906,92
