District,Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,"Total Other Priority
Sector A/c",Amt
Araria,0,0,44,0.77,98,4.30,1,0.21,3,0.06,2894,19.99,3040,25.32
Arwal,0,0,22,0.22,27,0.89,0,0.00,9,0.11,593,2.97,651,4.20
Aurangabad,0,0,89,0.94,176,9.39,0,0.00,15,0.15,1969,11.57,2249,22.04
Banka,0,0,33,0.52,75,2.63,13,0.06,10,0.13,2071,36.54,2202,39.88
Begusarai,0,0,131,1.67,347,11.41,2,0.01,53,0.93,3087,41.76,3620,55.78
Bhagalpur,0,0,205,3.12,377,18.69,2,0.10,99,1.47,5835,58.95,6518,82.33
Bhojpur,0,0,114,1.67,348,17.58,0,0.00,46,0.76,2537,15.54,3045,35.55
Buxar,0,0,61,0.84,122,5.32,0,0.00,8,0.12,1222,7.65,1413,13.92
Darbhanga,0,0,158,2.83,272,11.14,10,0.12,29,0.37,2193,16.01,2662,30.47
Gaya,0,0,414,5.93,366,19.13,0,0.00,112,1.64,3573,22.52,4465,49.22
Gopalganj,0,0,56,1.05,144,5.10,1,0.01,12,0.15,1272,9.80,1485,16.11
Jamui,0,0,24,0.25,51,3.17,0,0.00,9,0.14,1435,11.38,1519,14.94
Jehanabad,0,0,72,0.84,122,8.41,1,0.04,11,0.15,819,5.55,1025,14.99
Kaimur (Bhabua),0,0,35,0.46,111,4.08,0,0.00,14,0.24,1965,10.94,2125,15.72
Katihar,0,0,54,0.79,188,10.81,2,0.01,8,0.12,2745,16.02,2997,27.76
Khagaria,0,0,34,0.55,42,2.38,4,0.03,8,0.09,1294,7.16,1382,10.21
Kishanganj,0,0,32,0.61,72,3.28,0,0.00,6,0.11,2191,16.43,2301,20.43
Lakhisarai,0,0,34,0.45,53,3.83,5,0.02,13,0.18,742,6.25,847,10.74
Madhepura,0,0,31,0.64,61,3.45,1,0.08,12,0.19,1278,8.33,1383,12.69
Madhubani,0,0,117,1.89,264,8.41,2,0.20,13,0.20,1781,10.16,2177,20.86
Munger,0,0,68,1.13,100,4.15,0,0.00,27,0.40,1762,17.66,1957,23.33
Muzaffarpur,0,0,305,5.06,482,20.28,0,0.00,109,1.77,4410,29.11,5306,56.21
Nalanda,0,0,108,1.52,208,7.51,0,0.00,93,1.31,3066,189.04,3475,199.39
Nawada,0,0,60,0.88,169,6.37,0,0.00,31,0.50,1793,10.07,2053,17.81
Pashchim Champaran,0,0,94,1.74,213,6.82,1,0.01,44,0.60,1311,7.99,1663,17.16
Patna,0,0,1350,27.98,2102,122.81,483,34.53,683,10.37,13171,97.60,17789,293.29
Purbi Champaran,0,0,155,2.74,285,5.72,58,0.55,51,0.78,3277,19.78,3826,29.57
Purnia,0,0,109,1.76,345,14.31,1,0.10,37,0.62,4241,27.67,4733,44.46
Rohtas,0,0,129,1.79,201,9.91,2,0.01,31,0.40,2293,13.13,2656,25.23
Saharsa,0,0,51,0.98,54,2.21,0,0.00,19,0.24,1824,10.40,1948,13.84
Samastipur,0,0,143,1.95,344,12.84,0,0.00,59,0.85,3444,21.85,3990,37.50
Saran,0,0,107,1.61,177,9.18,2,0.01,44,0.78,4320,25.32,4650,36.89
Sheikhpura,0,0,30,0.48,27,0.99,2,0.01,11,0.19,446,2.94,516,4.61
Sheohar,0,0,11,0.24,32,0.85,0,0.00,2,0.04,86,0.37,131,1.49
Sitamarhi,0,0,81,1.14,130,5.95,0,0.00,83,1.40,1101,6.69,1395,15.18
Siwan,0,0,74,1.07,168,7.02,2,0.01,16,0.22,3067,19.25,3327,27.56
Supaul,0,0,20,0.24,63,3.20,0,0.00,24,0.28,525,3.78,632,7.50
Vaishali,0,0,131,2.05,264,11.67,0,0.00,65,1.13,2803,17.24,3263,32.10
