District,Agriculture (NPS) A/c,Amt,Education (NPS) A/c,Amt,Housing (NPS) A/c,Amt,Personal Loans under NPS A/c,Amt,Others NPS A/c,Amt,Total Non Priority Sector A/c,Amt
Araria,248,1.01,0,0.00,9,1.02,1004,7.76,6363,33.84,7624,43.62
Arwal,5,0.06,0,0.00,1,0.00,164,2.08,1261,9.49,1431,11.63
Aurangabad,94,0.39,0,0.00,17,2.48,491,7.92,3252,25.33,3854,36.12
Banka,149,1.37,0,0.00,6,0.40,402,3.63,2601,13.00,3158,18.40
Begusarai,148,2.35,0,0.00,18,2.19,804,10.05,8720,53.44,9690,68.02
Bhagalpur,746,10.32,0,0.00,20,2.20,1092,11.84,6251,48.50,8109,72.86
Bhojpur,33,2.42,1,0.01,24,2.25,710,7.55,8655,39.83,9423,52.06
Buxar,59,1.04,2,0.15,14,0.73,569,5.66,2261,19.93,2905,27.52
Darbhanga,79,1.80,1,0.01,25,2.61,895,10.13,11374,44.28,12374,58.83
Gaya,138,0.55,3,0.31,52,6.55,1590,19.13,10943,91.38,12726,117.93
Gopalganj,163,1.45,2,0.09,13,0.91,841,8.78,3628,23.27,4647,34.51
Jamui,17,0.87,0,0.00,32,0.85,605,6.80,3476,23.93,4130,32.45
Jehanabad,7,0.40,1,0.01,17,6.50,275,3.02,1930,18.48,2230,28.40
Kaimur (Bhabua),26,0.29,0,0.00,8,1.16,291,4.12,1814,13.75,2139,19.33
Katihar,80,1.20,0,0.00,54,1.20,1216,10.73,3890,23.25,5240,36.38
Khagaria,44,0.23,0,0.00,7,0.17,533,6.48,4031,23.28,4615,30.17
Kishanganj,24,0.23,0,0.00,10,0.76,589,4.19,2082,14.28,2705,19.47
Lakhisarai,1,0.00,0,0.00,3,0.12,396,2.83,1758,11.79,2158,14.74
Madhepura,91,0.50,1,0.05,4,0.12,455,3.76,3450,18.03,4001,22.46
Madhubani,40,0.35,0,0.00,10,0.86,782,7.93,7033,33.67,7865,42.81
Munger,31,0.19,0,0.00,180,4.89,564,7.74,2884,22.07,3659,34.89
Muzaffarpur,135,1.56,8,0.33,116,15.32,2879,31.72,19085,106.91,22223,155.83
Nalanda,68,0.97,0,0.00,20,1.85,886,11.82,5912,34.21,6886,48.85
Nawada,32,0.58,0,0.00,11,0.88,341,4.38,3557,22.93,3941,28.77
Pashchim Champaran,120,1.21,1,0.02,10,0.61,1099,10.49,5237,40.98,6467,53.31
Patna,400,9.66,14,0.87,340,59.38,8169,110.96,48143,564.34,57066,745.22
Purbi Champaran,169,1.74,0,0.00,28,2.70,1460,14.54,11027,65.23,12684,84.21
Purnia,272,1.38,3,0.17,48,3.26,885,8.85,8745,46.84,9953,60.50
Rohtas,409,5.40,2,0.05,21,2.13,694,8.55,4801,34.42,5927,50.55
Saharsa,46,0.44,0,0.00,6,1.23,469,5.05,3113,18.04,3634,24.76
Samastipur,177,3.98,2,0.02,24,2.49,1230,14.73,14732,70.17,16165,91.40
Saran,66,0.88,4,0.08,30,2.09,989,10.39,8224,45.29,9313,58.73
Sheikhpura,16,0.49,0,0.00,2,0.13,157,1.51,832,6.18,1007,8.30
Sheohar,3,0.07,0,0.00,2,0.06,369,2.47,819,5.99,1193,8.60
Sitamarhi,51,0.81,0,0.00,18,0.18,1054,8.10,6069,30.08,7192,39.16
Siwan,122,0.43,1,0.12,17,1.70,745,8.08,6106,33.32,6991,43.66
Supaul,19,0.44,1,0.02,2,0.76,817,4.24,3753,18.31,4592,23.77
Vaishali,162,2.14,0,0.00,25,7.09,1834,15.52,7524,58.98,9545,83.73
