district,shishu_account,amount,kishor_account,amount,tarun_account,amount,tarun_plus_account,amount,total_account,amount
Araria,9275,189.83,11433,189.83,563,189.83,3,189.83,21274,189.83
Arwal,1322,27.03,1649,27.03,102,27.03,2,27.03,3075,27.03
Aurangabad,5632,127.21,7517,127.21,498,127.21,3,127.21,13650,127.21
Banka,4950,96.24,5894,96.24,264,96.24,9,96.24,11117,96.24
Begusarai,13535,280.08,18087,280.08,1026,280.08,7,280.08,32655,280.08
Bhagalpur,12126,278.52,16279,278.52,886,278.52,19,278.52,29310,278.52
Bhojpur,5607,137.35,7941,137.35,670,137.35,6,137.35,14224,137.35
Buxar,4491,99.48,6143,99.48,409,99.48,2,99.48,11045,99.48
Darbhanga,9575,226.26,14660,226.26,914,226.26,10,226.26,25159,226.26
Gaya,32518,358.03,26077,358.03,1098,358.03,8,358.03,59701,358.03
Gopalganj,5732,144.48,8826,144.48,698,144.48,4,144.48,15260,144.48
Jamui,5437,103.08,6289,103.08,309,103.08,4,103.08,12039,103.08
Jehanabad,2325,64.25,3663,64.25,193,64.25,2,64.25,6183,64.25
Kaimur (Bhabua),3836,77.71,4690,77.71,319,77.71,3,77.71,8848,77.71
Katihar,11371,234.93,13878,234.93,868,234.93,19,234.93,26136,234.93
Khagaria,6907,114.00,5957,114.00,382,114.00,12,114.00,13258,114.00
Kishanganj,8852,172.32,11356,172.32,291,172.32,4,172.32,20503,172.32
Lakhisarai,1689,55.93,3519,55.93,192,55.93,4,55.93,5404,55.93
Madhepura,3241,104.20,6009,104.20,433,104.20,9,104.20,9692,104.20
Madhubani,10317,193.46,10284,193.46,977,193.46,23,193.46,21601,193.46
Munger,4804,86.25,4577,86.25,327,86.25,7,86.25,9715,86.25
Muzaffarpur,21360,450.01,28523,450.01,1772,450.01,34,450.01,51689,450.01
Nalanda,5869,156.97,8729,156.97,729,156.97,4,156.97,15331,156.97
Nawada,6500,123.46,7978,123.46,325,123.46,8,123.46,14811,123.46
Pashchim Champaran,10829,223.68,13767,223.68,901,223.68,7,223.68,25504,223.68
Patna,50434,979.50,61230,979.50,3816,979.50,58,979.50,115538,979.50
Purbi Champaran,9820,285.36,17867,285.36,1403,285.36,15,285.36,29105,285.36
Purnia,6941,244.70,13225,244.70,1107,244.70,14,244.70,21287,244.70
Rohtas,9183,168.21,8855,168.21,730,168.21,4,168.21,18772,168.21
Saharsa,4056,97.04,5576,97.04,387,97.04,9,97.04,10028,97.04
Samastipur,18629,353.81,21108,353.81,1402,353.81,16,353.81,41155,353.81
Saran,13227,316.03,21057,316.03,1199,316.03,22,316.03,35505,316.03
Sheikhpura,1271,35.06,1720,35.06,171,35.06,1,35.06,3163,35.06
Sheohar,905,25.53,1037,25.53,207,25.53,4,25.53,2153,25.53
Sitamarhi,7502,158.32,8252,158.32,724,158.32,27,158.32,16505,158.32
Siwan,9997,235.89,14792,235.89,782,235.89,13,235.89,25584,235.89
Supaul,2520,89.19,3953,89.19,534,89.19,3,89.19,7010,89.19
Vaishali,16721,303.20,17297,303.20,1162,303.20,20,303.20,35200,303.20
