district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,389,25.80,11.31,25.80,11.31,25.80,734,25.80,28.61,25.80,28.61,25.80
Arwal,322,51.84,6.83,51.84,6.83,51.84,381,51.84,44.09,51.84,44.09,51.84
Aurangabad,389,42.23,22.88,42.23,22.88,42.23,1581,42.23,42.06,42.23,42.06,42.23
Banka,433,24.63,7.62,24.63,7.62,24.63,571,24.63,26.80,24.63,26.80,24.63
Begusarai,588,20.35,22.28,20.35,22.28,20.35,1752,20.35,22.37,20.35,22.37,20.35
Bhagalpur,610,7.21,33.61,7.21,33.61,7.21,2079,7.21,9.67,7.21,9.67,7.21
Bhojpur,500,32.03,22.80,32.03,22.80,32.03,1397,32.03,30.42,32.03,30.42,32.03
Buxar,455,27.00,13.41,27.00,13.41,27.00,801,27.00,28.09,27.00,28.09,27.00
Darbhanga,455,17.30,34.73,17.30,34.73,17.30,2415,17.30,19.75,17.30,19.75,17.30
Gaya,633,13.24,65.40,13.24,65.40,13.24,3927,13.24,18.18,13.24,18.18,13.24
Gopalganj,389,23.92,14.40,23.92,14.40,23.92,778,23.92,29.82,23.92,29.82,23.92
Jamui,389,29.52,6.17,29.52,6.17,29.52,364,29.52,28.30,29.52,28.30,29.52
Jehanabad,366,43.01,19.67,43.01,19.67,43.01,773,43.01,41.53,43.01,41.53,43.01
Kaimur (Bhabua),367,48.01,9.54,48.01,9.54,48.01,565,48.01,44.25,48.01,44.25,48.01
Katihar,455,15.30,11.87,15.30,11.87,15.30,801,15.30,24.34,15.30,24.34,15.30
Khagaria,344,29.13,9.88,29.13,9.88,29.13,570,29.13,34.39,29.13,34.39,29.13
Kishanganj,344,12.83,9.30,12.83,9.30,12.83,492,12.83,24.39,12.83,24.39,12.83
Lakhisarai,366,36.02,9.29,36.02,9.29,36.02,558,36.02,33.33,36.02,33.33,36.02
Madhepura,344,26.45,9.01,26.45,9.01,26.45,487,26.45,31.83,26.45,31.83,26.45
Madhubani,411,24.13,28.47,24.13,28.47,24.13,2098,24.13,27.88,24.13,27.88,24.13
Munger,366,18.66,18.58,18.66,18.58,18.66,731,18.66,20.25,18.66,20.25,18.66
Muzaffarpur,855,16.19,35.67,16.19,35.67,16.19,3715,16.19,19.68,16.19,19.68,16.19
Nalanda,499,42.04,21.64,42.04,21.64,42.04,1789,42.04,42.20,42.04,42.20,42.04
Nawada,411,36.38,14.60,36.38,14.60,36.38,782,36.38,35.42,36.38,35.42,36.38
Pashchim Champaran,433,22.93,21.71,22.93,21.71,22.93,1251,22.93,27.02,22.93,27.02,22.93
Patna,3310,8.66,40.79,8.66,40.79,8.66,12996,8.66,12.67,8.66,12.67,8.66
Purbi Champaran,545,16.87,28.44,16.87,28.44,16.87,1749,16.87,21.04,16.87,21.04,16.87
Purnia,500,14.25,21.80,14.25,21.80,14.25,1433,14.25,17.38,14.25,17.38,14.25
Rohtas,434,38.94,29.72,38.94,29.72,38.94,1744,38.94,37.84,38.94,37.84,38.94
Saharsa,366,27.51,13.93,27.51,13.93,27.51,701,27.51,30.24,27.51,30.24,27.51
Samastipur,433,23.83,33.03,23.83,33.03,23.83,2076,23.83,24.52,23.83,24.52,23.83
Saran,433,30.17,24.71,30.17,24.71,30.17,1507,30.17,34.04,30.17,34.04,30.17
Sheikhpura,344,34.61,8.72,34.61,8.72,34.61,377,34.61,33.69,34.61,33.69,34.61
Sheohar,298,31.12,3.69,31.12,3.69,31.12,160,31.12,33.75,31.12,33.75,31.12
Sitamarhi,388,21.76,20.88,21.76,20.88,21.76,1209,21.76,26.80,21.76,26.80,21.76
Siwan,455,34.91,16.26,34.91,16.26,34.91,1384,34.91,35.33,34.91,35.33,34.91
Supaul,366,36.68,5.46,36.68,5.46,36.68,672,36.68,36.76,36.68,36.76,36.68
Vaishali,546,28.45,23.99,28.45,23.99,28.45,1825,28.45,34.03,28.45,34.03,28.45
