district,kcc_ah_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_ah_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_ah_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,812,14.63,635,14.63,51.58,14.63,419,14.63,635,14.63,51.58,14.63,1231,14.63,635,14.63,51.58,14.63
Arwal,588,1.41,52,1.41,6.41,1.41,223,1.41,52,1.41,6.41,1.41,811,1.41,52,1.41,6.41,1.41
Aurangabad,840,7.53,308,7.53,20.04,7.53,697,7.53,308,7.53,20.04,7.53,1537,7.53,308,7.53,20.04,7.53
Banka,728,8.20,391,8.20,34.97,8.20,390,8.20,391,8.20,34.97,8.20,1118,8.20,391,8.20,34.97,8.20
Begusarai,1007,6.94,435,6.94,23.95,6.94,809,6.94,435,6.94,23.95,6.94,1816,6.94,435,6.94,23.95,6.94
Bhagalpur,1119,7.99,573,7.99,27.36,7.99,975,7.99,573,7.99,27.36,7.99,2094,7.99,573,7.99,27.36,7.99
Bhojpur,1034,3.87,385,3.87,20.00,3.87,891,3.87,385,3.87,20.00,3.87,1925,3.87,385,3.87,20.00,3.87
Buxar,728,5.40,244,5.40,19.40,5.40,530,5.40,244,5.40,19.40,5.40,1258,5.40,244,5.40,19.40,5.40
Darbhanga,1091,9.62,1169,9.62,54.35,9.62,1060,9.62,1169,9.62,54.35,9.62,2151,9.62,1169,9.62,54.35,9.62
Gaya,1314,3.58,498,3.58,20.27,3.58,1143,3.58,498,3.58,20.27,3.58,2457,3.58,498,3.58,20.27,3.58
Gopalganj,895,6.29,413,6.29,26.41,6.29,669,6.29,413,6.29,26.41,6.29,1564,6.29,413,6.29,26.41,6.29
Jamui,644,6.55,563,6.55,50.36,6.55,474,6.55,563,6.55,50.36,6.55,1118,6.55,563,6.55,50.36,6.55
Jehanabad,728,2.97,163,2.97,15.33,2.97,335,2.97,163,2.97,15.33,2.97,1063,2.97,163,2.97,15.33,2.97
Kaimur (Bhabua),672,6.08,129,6.08,12.48,6.08,362,6.08,129,6.08,12.48,6.08,1034,6.08,129,6.08,12.48,6.08
Katihar,896,5.52,246,5.52,17.58,5.52,503,5.52,246,5.52,17.58,5.52,1399,5.52,246,5.52,17.58,5.52
Khagaria,728,16.46,604,16.46,47.00,16.46,557,16.46,604,16.46,47.00,16.46,1285,16.46,604,16.46,47.00,16.46
Kishanganj,644,7.61,317,7.61,34.34,7.61,279,7.61,317,7.61,34.34,7.61,923,7.61,317,7.61,34.34,7.61
Lakhisarai,616,8.12,193,8.12,20.29,8.12,335,8.12,193,8.12,20.29,8.12,951,8.12,193,8.12,20.29,8.12
Madhepura,672,5.59,345,5.59,33.33,5.59,363,5.59,345,5.59,33.33,5.59,1035,5.59,345,5.59,33.33,5.59
Madhubani,1035,5.38,787,5.38,37.11,5.38,1086,5.38,787,5.38,37.11,5.38,2121,5.38,787,5.38,37.11,5.38
Munger,728,9.27,340,9.27,27.64,9.27,502,9.27,340,9.27,27.64,9.27,1230,9.27,340,9.27,27.64,9.27
Muzaffarpur,1483,15.33,1224,15.33,39.14,15.33,1644,15.33,1224,15.33,39.14,15.33,3127,15.33,1224,15.33,39.14,15.33
Nalanda,1007,5.14,340,5.14,16.68,5.14,1031,5.14,340,5.14,16.68,5.14,2038,5.14,340,5.14,16.68,5.14
Nawada,811,3.11,163,3.11,12.69,3.11,473,3.11,163,3.11,12.69,3.11,1284,3.11,163,3.11,12.69,3.11
Pashchim Champaran,867,19.90,1321,19.90,78.87,19.90,808,19.90,1321,19.90,78.87,19.90,1675,19.90,1321,19.90,78.87,19.90
Patna,2100,2.14,316,2.14,6.16,2.14,3034,2.14,316,2.14,6.16,2.14,5134,2.14,316,2.14,6.16,2.14
Purbi Champaran,1147,27.56,1783,27.56,82.93,27.56,1003,27.56,1783,27.56,82.93,27.56,2150,27.56,1783,27.56,82.93,27.56
Purnia,952,1.90,174,1.90,10.38,1.90,725,1.90,174,1.90,10.38,1.90,1677,1.90,174,1.90,10.38,1.90
Rohtas,978,3.57,292,3.57,15.61,3.57,892,3.57,292,3.57,15.61,3.57,1870,3.57,292,3.57,15.61,3.57
Saharsa,672,8.53,405,8.53,42.59,8.53,279,8.53,405,8.53,42.59,8.53,951,8.53,405,8.53,42.59,8.53
Samastipur,1119,14.47,1106,14.47,45.53,14.47,1310,14.47,1106,14.47,45.53,14.47,2429,14.47,1106,14.47,45.53,14.47
Saran,1063,5.12,523,5.12,25.65,5.12,976,5.12,523,5.12,25.65,5.12,2039,5.12,523,5.12,25.65,5.12
Sheikhpura,588,9.72,255,9.72,31.44,9.72,223,9.72,255,9.72,31.44,9.72,811,9.72,255,9.72,31.44,9.72
Sheohar,560,18.00,431,18.00,64.14,18.00,112,18.00,431,18.00,64.14,18.00,672,18.00,431,18.00,64.14,18.00
Sitamarhi,811,13.76,896,13.76,65.45,13.76,558,13.76,896,13.76,65.45,13.76,1369,13.76,896,13.76,65.45,13.76
Siwan,1147,4.74,474,4.74,22.93,4.74,920,4.74,474,4.74,22.93,4.74,2067,4.74,474,4.74,22.93,4.74
Supaul,700,5.45,336,5.45,31.61,5.45,363,5.45,336,5.45,31.61,5.45,1063,5.45,336,5.45,31.61,5.45
Vaishali,1035,14.93,743,14.93,39.13,14.93,864,14.93,743,14.93,39.13,14.93,1899,14.93,743,14.93,39.13,14.93
