district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,207,796.41,87396,796.41,29,796.41,90,796.41,2,796.41,127,796.41,87851,796.41
Arwal,38,29.12,2724,29.12,9,29.12,32,29.12,0,29.12,13,29.12,2816,29.12
Aurangabad,115,162.30,11541,162.30,32,162.30,87,162.30,7,162.30,85,162.30,11867,162.30
Banka,93,107.30,12594,107.30,22,107.30,79,107.30,2,107.30,20,107.30,12810,107.30
Begusarai,155,329.45,38209,329.45,1106,329.45,100,329.45,2,329.45,89,329.45,39661,329.45
Bhagalpur,204,463.48,39812,463.48,475,463.48,124,463.48,2,463.48,76,463.48,40693,463.48
Bhojpur,130,201.64,36253,201.64,36,201.64,95,201.64,0,201.64,73,201.64,36587,201.64
Buxar,54,82.62,6774,82.62,24,82.62,78,82.62,1,82.62,39,82.62,6970,82.62
Darbhanga,257,490.30,38723,490.30,686,490.30,97,490.30,4,490.30,57,490.30,39824,490.30
Gaya,3458,632.68,84529,632.68,18172,632.68,1609,632.68,245,632.68,173,632.68,108186,632.68
Gopalganj,127,258.62,21130,258.62,90,258.62,108,258.62,4,258.62,65,258.62,21524,258.62
Jamui,200,121.07,12236,121.07,45,121.07,115,121.07,1,121.07,40,121.07,12637,121.07
Jehanabad,8,55.72,4174,55.72,6,55.72,16,55.72,0,55.72,8,55.72,4212,55.72
Kaimur (Bhabua),34,103.78,7709,103.78,16,103.78,44,103.78,1,103.78,27,103.78,7831,103.78
Katihar,1073,917.12,82352,917.12,66,917.12,250,917.12,2,917.12,36,917.12,83779,917.12
Khagaria,69,89.96,8961,89.96,28,89.96,61,89.96,5,89.96,25,89.96,9149,89.96
Kishanganj,671,1104.77,111211,1104.77,38,1104.77,52,1104.77,1,1104.77,104,1104.77,112077,1104.77
Lakhisarai,24,26.65,2864,26.65,3,26.65,38,26.65,10,26.65,17,26.65,2956,26.65
Madhepura,124,187.84,31109,187.84,42,187.84,72,187.84,0,187.84,72,187.84,31419,187.84
Madhubani,181,403.41,44422,403.41,42,403.41,76,403.41,2,403.41,52,403.41,44775,403.41
Munger,89,103.50,7222,103.50,19,103.50,93,103.50,3,103.50,28,103.50,7454,103.50
Muzaffarpur,702,737.71,91968,737.71,1134,737.71,566,737.71,5,737.71,210,737.71,94585,737.71
Nalanda,178,158.54,11203,158.54,194,158.54,82,158.54,5,158.54,54,158.54,11716,158.54
Nawada,63,128.76,11172,128.76,47,128.76,21,128.76,0,128.76,38,128.76,11341,128.76
Pashchim Champaran,520,465.54,40259,465.54,107,465.54,182,465.54,3,465.54,102,465.54,41173,465.54
Patna,1653,2016.36,335693,2016.36,2639,2016.36,778,2016.36,157,2016.36,278,2016.36,341198,2016.36
Purbi Champaran,340,664.36,52740,664.36,498,664.36,267,664.36,7,664.36,152,664.36,54004,664.36
Purnia,741,1191.93,111396,1191.93,268,1191.93,144,1191.93,6,1191.93,99,1191.93,112654,1191.93
Rohtas,120,191.74,14605,191.74,92,191.74,398,191.74,12,191.74,53,191.74,15280,191.74
Saharsa,225,193.58,21083,193.58,31,193.58,74,193.58,1,193.58,15,193.58,21429,193.58
Samastipur,309,333.99,28434,333.99,131,333.99,257,333.99,5,333.99,93,333.99,29229,333.99
Saran,210,254.81,21723,254.81,107,254.81,243,254.81,8,254.81,86,254.81,22377,254.81
Sheikhpura,95,35.28,2523,35.28,45,35.28,93,35.28,2,35.28,28,35.28,2786,35.28
Sheohar,10,43.06,4337,43.06,37,43.06,31,43.06,1,43.06,11,43.06,4427,43.06
Sitamarhi,130,267.80,23016,267.80,134,267.80,304,267.80,0,267.80,51,267.80,23635,267.80
Siwan,1262,696.45,144636,696.45,279,696.45,194,696.45,3,696.45,71,696.45,146445,696.45
Supaul,332,201.30,16702,201.30,78,201.30,65,201.30,1,201.30,32,201.30,17210,201.30
Vaishali,700,924.68,320120,924.68,315,924.68,258,924.68,10,924.68,105,924.68,321508,924.68
