District,"Micro Enterprises (Manufacturing
+ Service) (including Khadi &
Village Industries) A/c",Amt,"Small Enterprises (Manufacturing
+ Service) A/c",Amt,"Medium Enterprises
(Manufacturing + Service) A/c",Amt,"Other finance to MSMEs (As
indicated in Master Direction on
PSL) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,7721,558.49,383,343.06,24,41.09,6,4.56,8134,947.19
Arwal,1835,86.26,56,31.07,46,7.10,0,0.00,1937,124.43
Aurangabad,5654,440.14,167,135.96,110,10.20,2,0.22,5933,586.53
Banka,3463,142.82,54,39.37,3,17.64,1,4.80,3521,204.62
Begusarai,10440,780.08,365,517.62,35,230.04,3,0.20,10843,1527.93
Bhagalpur,12015,840.35,336,415.67,25,94.41,4,0.34,12380,1350.76
Bhojpur,5708,463.22,219,220.40,15,17.55,0,0.00,5942,701.17
Buxar,3716,274.18,264,86.88,2,1.65,1,0.02,3983,362.72
Darbhanga,15484,700.38,312,318.89,35,65.49,4,1.43,15835,1086.18
Gaya,11613,894.21,427,395.33,41,98.86,2,0.94,12083,1389.34
Gopalganj,9129,378.10,160,139.88,33,65.27,1,0.00,9323,583.26
Jamui,3743,180.44,83,74.70,9,19.14,0,0.00,3835,274.28
Jehanabad,3471,141.50,77,34.98,19,10.20,0,0.00,3567,186.69
Kaimur (Bhabua),4034,228.50,124,85.27,4,7.51,0,0.00,4162,321.27
Katihar,8697,552.16,312,308.43,16,77.90,2,1.94,9027,940.44
Khagaria,3697,256.11,136,138.41,1,0.15,0,0.00,3834,394.67
Kishanganj,5024,241.80,108,118.33,11,66.60,1,0.00,5144,426.73
Lakhisarai,2242,169.54,41,16.20,2,0.55,0,0.00,2285,186.30
Madhepura,5519,279.73,123,110.19,10,12.48,1,0.08,5653,402.47
Madhubani,14275,557.15,191,158.07,8,19.60,1,0.14,14475,734.95
Munger,3516,204.45,56,44.09,12,2.48,0,0.00,3584,251.02
Muzaffarpur,18004,1469.32,696,776.04,51,151.78,8,9.75,18759,2406.88
Nalanda,12325,561.67,331,222.66,34,33.11,2,0.13,12692,817.57
Nawada,4596,333.88,219,92.41,19,18.41,5,0.84,4839,445.54
Pashchim Champaran,10658,635.53,347,290.76,12,75.99,1,0.01,11018,1002.28
Patna,27686,4243.67,3043,4110.40,714,2217.31,13,10.88,31456,10582.27
Purbi Champaran,14269,935.68,412,430.37,42,34.05,9,4.26,14732,1404.35
Purnia,13483,1098.77,441,622.64,52,296.02,3,0.15,13979,2017.57
Rohtas,6807,668.99,229,194.71,60,33.35,0,0.00,7096,897.05
Saharsa,5757,320.10,168,188.70,10,19.62,2,3.19,5937,531.61
Samastipur,11923,848.68,449,356.61,21,42.34,10,1.03,12403,1248.65
Saran,11222,597.82,221,163.16,19,11.65,4,2.48,11466,775.11
Sheikhpura,1632,95.12,73,36.40,3,1.97,1,0.04,1709,133.52
Sheohar,1765,68.69,20,10.20,3,2.27,0,0.00,1788,81.16
Sitamarhi,9560,495.82,169,133.29,25,15.05,1,2.00,9755,646.16
Siwan,12416,515.33,215,167.06,20,36.34,3,4.80,12654,723.53
Supaul,6393,292.62,183,125.64,10,3.39,2,0.18,6588,421.83
Vaishali,12500,679.03,270,208.59,20,91.39,4,1.06,12794,980.07
