district,shishu_outstanding_no,amt,out_of_which_under_npa_no,amt,kishore_outstanding_no,amt,out_of_which_under_npa_no,amt,tarun_outstanding_no,amt,out_of_which_under_npa_no,amt,tarun_plus_outstanding_no,amt,out_of_which_under_npa_no,amt,total_pmmy_loans_outstanding_no,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Araria,120897,13.58,48245,13.58,114928,13.58,48245,13.58,3412,13.58,48245,13.58,31,13.58,48245,13.58,239268,13.58,48245,13.58,20.16,13.58
Arwal,11983,18.64,5934,18.64,9759,18.64,5934,18.64,1243,18.64,5934,18.64,6,18.64,5934,18.64,22991,18.64,5934,18.64,25.81,18.64
Aurangabad,39762,18.34,30736,18.34,51077,18.34,30736,18.34,3545,18.34,30736,18.34,28,18.34,30736,18.34,94412,18.34,30736,18.34,32.56,18.34
Banka,34500,14.51,23219,14.51,38306,14.51,23219,14.51,2305,14.51,23219,14.51,18,14.51,23219,14.51,75129,14.51,23219,14.51,30.91,14.51
Begusarai,51296,17.37,59182,17.37,101451,17.37,59182,17.37,4859,17.37,59182,17.37,32,17.37,59182,17.37,157638,17.37,59182,17.37,37.54,17.37
Bhagalpur,70017,9.85,27658,9.85,95362,9.85,27658,9.85,5896,9.85,27658,9.85,47,9.85,27658,9.85,171322,9.85,27658,9.85,16.14,9.85
Bhojpur,54790,15.67,20883,15.67,56426,15.67,20883,15.67,3252,15.67,20883,15.67,51,15.67,20883,15.67,114519,15.67,20883,15.67,18.24,15.67
Buxar,41604,17.29,16091,17.29,44438,17.29,16091,17.29,2531,17.29,16091,17.29,20,17.29,16091,17.29,88593,17.29,16091,17.29,18.16,17.29
Darbhanga,131331,15.26,64479,15.26,130717,15.26,64479,15.26,4933,15.26,64479,15.26,95,15.26,64479,15.26,267076,15.26,64479,15.26,24.14,15.26
Gaya,150686,15.63,61029,15.63,150899,15.63,61029,15.63,11029,15.63,61029,15.63,46,15.63,61029,15.63,312660,15.63,61029,15.63,19.52,15.63
Gopalganj,73846,14.63,33901,14.63,76722,14.63,33901,14.63,3188,14.63,33901,14.63,55,14.63,33901,14.63,153811,14.63,33901,14.63,22.04,14.63
Jamui,25832,17.21,17843,17.21,40884,17.21,17843,17.21,2058,17.21,17843,17.21,28,17.21,17843,17.21,68802,17.21,17843,17.21,25.93,17.21
Jehanabad,12863,19.36,9367,19.36,18584,19.36,9367,19.36,2052,19.36,9367,19.36,3,19.36,9367,19.36,33502,19.36,9367,19.36,27.96,19.36
Kaimur (Bhabua),30950,16.22,11195,16.22,32706,16.22,11195,16.22,1971,16.22,11195,16.22,16,16.22,11195,16.22,65643,16.22,11195,16.22,17.05,16.22
Katihar,99539,8.82,27459,8.82,119643,8.82,27459,8.82,4380,8.82,27459,8.82,36,8.82,27459,8.82,223598,8.82,27459,8.82,12.28,8.82
Khagaria,83527,18.07,43826,18.07,62838,18.07,43826,18.07,2304,18.07,43826,18.07,29,18.07,43826,18.07,148698,18.07,43826,18.07,29.47,18.07
Kishanganj,66507,6.39,11623,6.39,93702,6.39,11623,6.39,1622,6.39,11623,6.39,21,6.39,11623,6.39,161852,6.39,11623,6.39,7.18,6.39
Lakhisarai,14690,13.72,10233,13.72,21229,13.72,10233,13.72,1136,13.72,10233,13.72,26,13.72,10233,13.72,37081,13.72,10233,13.72,27.60,13.72
Madhepura,62563,16.17,31444,16.17,55232,16.17,31444,16.17,2564,16.17,31444,16.17,40,16.17,31444,16.17,120399,16.17,31444,16.17,26.12,16.17
Madhubani,139759,16.01,63146,16.01,99428,16.01,63146,16.01,5235,16.01,63146,16.01,129,16.01,63146,16.01,244551,16.01,63146,16.01,25.82,16.01
Munger,24406,16.71,16221,16.71,35836,16.71,16221,16.71,2257,16.71,16221,16.71,23,16.71,16221,16.71,62522,16.71,16221,16.71,25.94,16.71
Muzaffarpur,322107,16.78,126729,16.78,205936,16.78,126729,16.78,9752,16.78,126729,16.78,105,16.78,126729,16.78,537900,16.78,126729,16.78,23.56,16.78
Nalanda,41842,16.97,17537,16.97,51387,16.97,17537,16.97,4875,16.97,17537,16.97,27,16.97,17537,16.97,98131,16.97,17537,16.97,17.87,16.97
Nawada,29938,17.94,24915,17.94,48018,17.94,24915,17.94,3570,17.94,24915,17.94,24,17.94,24915,17.94,81550,17.94,24915,17.94,30.55,17.94
Pashchim Champaran,139397,11.89,35763,11.89,108937,11.89,35763,11.89,4255,11.89,35763,11.89,68,11.89,35763,11.89,252657,11.89,35763,11.89,14.15,11.89
Patna,559242,14.65,155168,14.65,252777,14.65,155168,14.65,20329,14.65,155168,14.65,122,14.65,155168,14.65,832470,14.65,155168,14.65,18.64,14.65
Purbi Champaran,118903,12.83,54098,12.83,141261,12.83,54098,12.83,7898,12.83,54098,12.83,78,12.83,54098,12.83,268140,12.83,54098,12.83,20.18,12.83
Purnia,54578,11.56,29260,11.56,91648,11.56,29260,11.56,5690,11.56,29260,11.56,52,11.56,29260,11.56,151968,11.56,29260,11.56,19.25,11.56
Rohtas,94999,20.90,47186,20.90,70562,20.90,47186,20.90,5480,20.90,47186,20.90,37,20.90,47186,20.90,171078,20.90,47186,20.90,27.58,20.90
Saharsa,61898,15.20,29476,15.20,48240,15.20,29476,15.20,3902,15.20,29476,15.20,41,15.20,29476,15.20,114081,15.20,29476,15.20,25.84,15.20
Samastipur,185321,14.48,86544,14.48,184123,14.48,86544,14.48,5785,14.48,86544,14.48,52,14.48,86544,14.48,375281,14.48,86544,14.48,23.06,14.48
Saran,139322,12.04,50241,12.04,159217,12.04,50241,12.04,6514,12.04,50241,12.04,79,12.04,50241,12.04,305132,12.04,50241,12.04,16.47,12.04
Sheikhpura,9428,13.13,4677,13.13,13747,13.13,4677,13.13,1127,13.13,4677,13.13,7,13.13,4677,13.13,24309,13.13,4677,13.13,19.24,13.13
Sheohar,13606,17.04,6146,17.04,9752,17.04,6146,17.04,828,17.04,6146,17.04,11,17.04,6146,17.04,24197,17.04,6146,17.04,25.40,17.04
Sitamarhi,98554,17.68,57652,17.68,76311,17.68,57652,17.68,5251,17.68,57652,17.68,81,17.68,57652,17.68,180197,17.68,57652,17.68,31.99,17.68
Siwan,120549,12.06,37837,12.06,107317,12.06,37837,12.06,5294,12.06,37837,12.06,98,12.06,37837,12.06,233258,12.06,37837,12.06,16.22,12.06
Supaul,39068,13.38,23626,13.38,35968,13.38,23626,13.38,3910,13.38,23626,13.38,37,13.38,23626,13.38,78983,13.38,23626,13.38,29.91,13.38
Vaishali,159679,12.67,61826,12.67,148745,12.67,61826,12.67,6672,12.67,61826,12.67,112,12.67,61826,12.67,315208,12.67,61826,12.67,19.61,12.67
