district,export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_other_priority_sector_a_c,amt
Araria,0,25.32,44,25.32,98,25.32,1,25.32,3,25.32,2894,25.32,3040,25.32
Arwal,0,4.20,22,4.20,27,4.20,0,4.20,9,4.20,593,4.20,651,4.20
Aurangabad,0,22.04,89,22.04,176,22.04,0,22.04,15,22.04,1969,22.04,2249,22.04
Banka,0,39.88,33,39.88,75,39.88,13,39.88,10,39.88,2071,39.88,2202,39.88
Begusarai,0,55.78,131,55.78,347,55.78,2,55.78,53,55.78,3087,55.78,3620,55.78
Bhagalpur,0,82.33,205,82.33,377,82.33,2,82.33,99,82.33,5835,82.33,6518,82.33
Bhojpur,0,35.55,114,35.55,348,35.55,0,35.55,46,35.55,2537,35.55,3045,35.55
Buxar,0,13.92,61,13.92,122,13.92,0,13.92,8,13.92,1222,13.92,1413,13.92
Darbhanga,0,30.47,158,30.47,272,30.47,10,30.47,29,30.47,2193,30.47,2662,30.47
Gaya,0,49.22,414,49.22,366,49.22,0,49.22,112,49.22,3573,49.22,4465,49.22
Gopalganj,0,16.11,56,16.11,144,16.11,1,16.11,12,16.11,1272,16.11,1485,16.11
Jamui,0,14.94,24,14.94,51,14.94,0,14.94,9,14.94,1435,14.94,1519,14.94
Jehanabad,0,14.99,72,14.99,122,14.99,1,14.99,11,14.99,819,14.99,1025,14.99
Kaimur (Bhabua),0,15.72,35,15.72,111,15.72,0,15.72,14,15.72,1965,15.72,2125,15.72
Katihar,0,27.76,54,27.76,188,27.76,2,27.76,8,27.76,2745,27.76,2997,27.76
Khagaria,0,10.21,34,10.21,42,10.21,4,10.21,8,10.21,1294,10.21,1382,10.21
Kishanganj,0,20.43,32,20.43,72,20.43,0,20.43,6,20.43,2191,20.43,2301,20.43
Lakhisarai,0,10.74,34,10.74,53,10.74,5,10.74,13,10.74,742,10.74,847,10.74
Madhepura,0,12.69,31,12.69,61,12.69,1,12.69,12,12.69,1278,12.69,1383,12.69
Madhubani,0,20.86,117,20.86,264,20.86,2,20.86,13,20.86,1781,20.86,2177,20.86
Munger,0,23.33,68,23.33,100,23.33,0,23.33,27,23.33,1762,23.33,1957,23.33
Muzaffarpur,0,56.21,305,56.21,482,56.21,0,56.21,109,56.21,4410,56.21,5306,56.21
Nalanda,0,199.39,108,199.39,208,199.39,0,199.39,93,199.39,3066,199.39,3475,199.39
Nawada,0,17.81,60,17.81,169,17.81,0,17.81,31,17.81,1793,17.81,2053,17.81
Pashchim Champaran,0,17.16,94,17.16,213,17.16,1,17.16,44,17.16,1311,17.16,1663,17.16
Patna,0,293.29,1350,293.29,2102,293.29,483,293.29,683,293.29,13171,293.29,17789,293.29
Purbi Champaran,0,29.57,155,29.57,285,29.57,58,29.57,51,29.57,3277,29.57,3826,29.57
Purnia,0,44.46,109,44.46,345,44.46,1,44.46,37,44.46,4241,44.46,4733,44.46
Rohtas,0,25.23,129,25.23,201,25.23,2,25.23,31,25.23,2293,25.23,2656,25.23
Saharsa,0,13.84,51,13.84,54,13.84,0,13.84,19,13.84,1824,13.84,1948,13.84
Samastipur,0,37.50,143,37.50,344,37.50,0,37.50,59,37.50,3444,37.50,3990,37.50
Saran,0,36.89,107,36.89,177,36.89,2,36.89,44,36.89,4320,36.89,4650,36.89
Sheikhpura,0,4.61,30,4.61,27,4.61,2,4.61,11,4.61,446,4.61,516,4.61
Sheohar,0,1.49,11,1.49,32,1.49,0,1.49,2,1.49,86,1.49,131,1.49
Sitamarhi,0,15.18,81,15.18,130,15.18,0,15.18,83,15.18,1101,15.18,1395,15.18
Siwan,0,27.56,74,27.56,168,27.56,2,27.56,16,27.56,3067,27.56,3327,27.56
Supaul,0,7.50,20,7.50,63,7.50,0,7.50,24,7.50,525,7.50,632,7.50
Vaishali,0,32.10,131,32.10,264,32.10,0,32.10,65,32.10,2803,32.10,3263,32.10
