district,export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_other_priority_sector_a_c,amt
Araria,0,29.71,210,29.71,137,29.71,5,29.71,4,29.71,9710,29.71,10066,29.71
Arwal,0,10.55,168,10.55,13,10.55,0,10.55,0,10.55,1249,10.55,1430,10.55
Aurangabad,0,35.43,665,35.43,61,35.43,0,35.43,0,35.43,4316,35.43,5042,35.43
Banka,0,17.60,153,17.60,30,17.60,36,17.60,1,17.60,6507,17.60,6727,17.60
Begusarai,0,32.90,392,32.90,145,32.90,51,32.90,5,32.90,8878,32.90,9471,32.90
Bhagalpur,0,22.34,201,22.34,88,22.34,0,22.34,0,22.34,5797,22.34,6086,22.34
Bhojpur,0,29.59,425,29.59,90,29.59,0,29.59,0,29.59,2972,29.59,3487,29.59
Buxar,0,14.40,225,14.40,45,14.40,0,14.40,0,14.40,1746,14.40,2016,14.40
Darbhanga,0,28.48,477,28.48,76,28.48,208,28.48,4,28.48,3809,28.48,4574,28.48
Gaya,0,46.62,714,46.62,179,46.62,0,46.62,0,46.62,3582,46.62,4475,46.62
Gopalganj,0,24.79,232,24.79,766,24.79,0,24.79,2,24.79,5924,24.79,6924,24.79
Jamui,0,15.79,103,15.79,32,15.79,0,15.79,0,15.79,5187,15.79,5322,15.79
Jehanabad,0,13.43,321,13.43,18,13.43,0,13.43,1,13.43,612,13.43,952,13.43
Kaimur (Bhabua),0,16.88,250,16.88,28,16.88,1,16.88,0,16.88,1503,16.88,1782,16.88
Katihar,0,18.09,195,18.09,106,18.09,0,18.09,11,18.09,2599,18.09,2911,18.09
Khagaria,0,16.68,196,16.68,16,16.68,1,16.68,0,16.68,4000,16.68,4213,16.68
Kishanganj,0,11.61,120,11.61,331,11.61,0,11.61,1,11.61,1266,11.61,1718,11.61
Lakhisarai,0,13.91,186,13.91,17,13.91,306,13.91,0,13.91,2376,13.91,2885,13.91
Madhepura,0,17.81,155,17.81,137,17.81,309,17.81,2,17.81,3543,17.81,4146,17.81
Madhubani,0,35.19,585,35.19,64,35.19,0,35.19,6,35.19,7546,35.19,8201,35.19
Munger,0,14.89,148,14.89,49,14.89,0,14.89,0,14.89,3848,14.89,4045,14.89
Muzaffarpur,0,64.41,731,64.41,167,64.41,0,64.41,14,64.41,11946,64.41,12858,64.41
Nalanda,0,34.27,755,34.27,69,34.27,0,34.27,0,34.27,2628,34.27,3452,34.27
Nawada,0,20.97,277,20.97,61,20.97,0,20.97,0,20.97,2982,20.97,3320,20.97
Pashchim Champaran,0,44.02,338,44.02,34,44.02,1,44.02,1,44.02,8982,44.02,9356,44.02
Patna,0,132.10,1647,132.10,500,132.10,3485,132.10,1,132.10,12794,132.10,18427,132.10
Purbi Champaran,0,36.10,368,36.10,59,36.10,476,36.10,17,36.10,8114,36.10,9034,36.10
Purnia,0,32.26,249,32.26,612,32.26,0,32.26,0,32.26,5703,32.26,6564,32.26
Rohtas,0,46.56,660,46.56,152,46.56,0,46.56,1,46.56,6293,46.56,7106,46.56
Saharsa,0,16.16,212,16.16,74,16.16,0,16.16,1,16.16,2706,16.16,2993,16.16
Samastipur,0,40.84,509,40.84,64,40.84,448,40.84,1,40.84,7309,40.84,8331,40.84
Saran,0,31.40,513,31.40,84,31.40,1,31.40,17,31.40,5051,31.40,5666,31.40
Sheikhpura,0,8.00,127,8.00,12,8.00,19,8.00,0,8.00,1599,8.00,1757,8.00
Sheohar,0,4.23,54,4.23,64,4.23,0,4.23,0,4.23,941,4.23,1059,4.23
Sitamarhi,0,21.61,324,21.61,60,21.61,0,21.61,6,21.61,3503,21.61,3893,21.61
Siwan,0,32.05,489,32.05,54,32.05,109,32.05,8,32.05,3981,32.05,4641,32.05
Supaul,0,16.18,247,16.18,124,16.18,59,16.18,0,16.18,2256,16.18,2686,16.18
Vaishali,0,41.45,621,41.45,353,41.45,0,41.45,67,41.45,7248,41.45,8289,41.45
