district,outstanding_loans_to_women_a_c,amt,loans_disbursed_to_women_from_01_april_to_end_of_current_qua,amt
Araria,203166,184.78,16866,184.78
Arwal,26075,51.08,6873,51.08
Aurangabad,120795,159.68,20814,159.68
Banka,98969,102.05,9656,102.05
Begusarai,266077,317.44,27533,317.44
Bhagalpur,204584,394.25,26580,394.25
Bhojpur,129018,194.22,22559,194.22
Buxar,79877,122.05,15557,122.05
Darbhanga,321485,336.64,31291,336.64
Gaya,329960,591.06,65547,591.06
Gopalganj,176329,176.01,17577,176.01
Jamui,74968,96.80,10657,96.80
Jehanabad,34420,85.45,9232,85.45
Kaimur (Bhabua),66148,125.07,14455,125.07
Katihar,261895,267.66,25394,267.66
Khagaria,100999,121.68,9799,121.68
Kishanganj,132282,152.63,16146,152.63
Lakhisarai,54054,70.62,6613,70.62
Madhepura,171716,143.37,12018,143.37
Madhubani,224239,222.53,19827,222.53
Munger,70374,96.96,7842,96.96
Muzaffarpur,529292,656.84,51586,656.84
Nalanda,115344,241.24,25011,241.24
Nawada,95940,155.35,22152,155.35
Pashchim Champaran,223543,219.07,21558,219.07
Patna,1379453,1942.65,143293,1942.65
Purbi Champaran,289042,459.29,33906,459.29
Purnia,238265,285.27,22311,285.27
Rohtas,122100,218.44,21823,218.44
Saharsa,111748,200.46,12934,200.46
Samastipur,263611,355.34,31849,355.34
Saran,302567,391.50,36425,391.50
Sheikhpura,30947,40.43,3998,40.43
Sheohar,24776,32.73,2661,32.73
Sitamarhi,134659,213.28,15803,213.28
Siwan,247568,289.36,25935,289.36
Supaul,83139,154.01,9880,154.01
Vaishali,209420,380.31,26096,380.31
