District,Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,"Total Other Priority
Sector A/c",Amt
Araria,0,0.00,734,23.84,1428,127.57,41,0.32,19,0.29,38608,109.81,40830,261.83
Arwal,0,0.00,381,13.02,251,26.19,0,0.00,25,0.28,6901,17.51,7558,57.00
Aurangabad,0,0.00,1581,51.05,1928,208.39,3,0.01,51,0.68,20468,57.95,24031,318.08
Banka,0,0.00,571,18.23,833,84.31,156,0.29,27,0.39,21288,123.80,22875,227.02
Begusarai,0,0.00,1752,61.23,3110,331.01,208,0.28,169,2.75,27689,159.85,32928,555.12
Bhagalpur,1,0.10,2079,77.77,4610,483.66,2,0.40,199,2.95,40935,211.75,47826,776.63
Bhojpur,0,0.00,1397,50.71,3167,363.76,2,0.00,101,1.56,18374,65.43,23041,481.47
Buxar,0,0.00,801,27.56,1637,167.23,0,0.00,42,0.48,12790,43.03,15270,238.28
Darbhanga,0,0.00,2415,83.14,3782,396.64,742,1.56,66,0.81,21292,100.42,28297,582.57
Gaya,0,0.00,3927,203.86,5524,622.03,7,0.03,204,3.12,31461,108.29,41123,937.33
Gopalganj,0,0.00,778,25.08,2134,135.59,1,0.01,20,0.26,22968,74.55,25901,235.49
Jamui,0,0.00,364,11.55,563,55.92,0,0.00,20,0.35,19297,60.32,20244,128.13
Jehanabad,0,0.00,773,26.32,1043,101.92,1,0.04,30,0.38,4679,17.04,6526,145.71
Kaimur (Bhabua),0,0.00,565,20.10,897,94.99,1,0.00,36,0.54,14321,56.82,15820,172.45
Katihar,0,0.00,801,32.28,2411,276.42,2,0.09,32,0.31,29871,86.02,33117,395.13
Khagaria,0,0.00,570,17.99,592,56.70,8,0.16,19,0.28,13608,42.49,14797,117.63
Kishanganj,0,0.00,492,19.17,1307,112.51,0,0.00,13,0.20,22930,70.75,24742,202.63
Lakhisarai,0,0.00,558,20.13,490,52.64,2447,6.01,21,0.29,8652,26.01,12168,105.07
Madhepura,0,0.00,487,15.99,831,80.24,897,1.84,27,0.35,12219,40.48,14461,138.90
Madhubani,0,0.00,2098,66.71,2412,249.73,3,0.10,43,0.47,23543,94.90,28099,411.91
Munger,0,0.00,731,24.92,1298,136.20,0,0.00,43,0.66,16009,80.07,18081,241.85
Muzaffarpur,0,0.00,3715,136.37,8256,891.86,1,0.00,232,3.42,53428,193.55,65632,1225.21
Nalanda,0,0.00,1789,54.95,2271,247.79,3,0.01,221,3.20,23734,241.02,28018,546.96
Nawada,0,0.00,782,27.16,1931,204.34,0,0.00,62,0.90,19986,54.61,22761,287.01
Pashchim Champaran,0,0.00,1251,42.31,2034,222.50,5,0.18,73,1.09,33590,154.71,36953,420.79
Patna,0,0.00,12996,562.16,34618,4853.73,18041,185.87,1275,23.13,94098,376.67,161028,6001.55
Purbi Champaran,0,0.00,1749,63.12,2805,284.39,3219,7.09,115,1.53,40430,147.90,48318,504.02
Purnia,0,0.00,1433,50.30,4999,496.43,4,0.16,58,1.04,37504,122.18,43998,670.11
Rohtas,0,0.00,1744,58.52,2858,291.98,6,0.11,83,4.61,28233,87.42,32924,442.63
Saharsa,0,0.00,701,22.90,1056,111.07,0,0.00,34,0.57,16832,64.38,18623,198.93
Samastipur,0,0.00,2076,68.36,3309,361.30,1680,2.42,111,1.50,30748,113.21,37924,546.79
Saran,0,0.00,1507,48.39,2320,264.09,9,0.03,97,1.45,37055,127.02,40988,440.97
Sheikhpura,0,0.00,377,12.28,470,47.56,245,0.65,26,0.46,7109,19.80,8227,80.75
Sheohar,0,0.00,160,4.82,377,29.65,0,0.00,3,0.04,3410,10.13,3950,44.64
Sitamarhi,0,0.00,1209,40.40,1761,185.26,1,0.10,150,2.42,12313,73.23,15434,301.40
Siwan,0,0.00,1384,45.12,2116,219.30,671,0.95,32,0.35,35325,145.65,39528,411.37
Supaul,0,0.00,672,21.70,980,96.80,220,0.33,62,0.98,6897,24.48,8831,144.28
Vaishali,0,0.00,1825,58.21,3396,334.55,0,0.00,219,2.52,37753,115.08,43193,510.35
