District,TARGET NO.,AMT,ACHIE. NO.,AMT,% ACHIE. NO.,AMT,OUTSTANDING NO.,AMT,NPA NO.,AMT,% NPA NO.,AMT
Araria,410,41.00,98,4.30,23.90,10.49,1428,127.57,137,2.52,9.59,1.98
Arwal,190,19.00,27,0.89,14.21,4.68,251,26.19,13,0.62,5.18,2.37
Aurangabad,520,52.00,176,9.39,33.85,18.06,1928,208.39,61,2.22,3.16,1.07
Banka,480,48.00,75,2.63,15.63,5.48,833,84.31,30,1.24,3.60,1.47
Begusarai,840,84.00,347,11.41,41.31,13.58,3110,331.01,145,4.18,4.66,1.26
Bhagalpur,900,90.00,377,18.69,41.89,20.77,4610,483.66,88,3.78,1.91,0.78
Bhojpur,690,69.00,348,17.58,50.43,25.48,3167,363.76,90,4.45,2.84,1.22
Buxar,460,46.00,122,5.32,26.52,11.57,1637,167.23,45,2.13,2.75,1.27
Darbhanga,790,79.00,272,11.14,34.43,14.10,3782,396.64,76,3.54,2.01,0.89
Gaya,1020,102.00,366,19.13,35.88,18.75,5524,622.03,179,10.31,3.24,1.66
Gopalganj,510,51.00,144,5.10,28.24,10.00,2134,135.59,766,3.20,35.90,2.36
Jamui,360,36.00,51,3.17,14.17,8.81,563,55.92,32,0.54,5.68,0.97
Jehanabad,250,25.00,122,8.41,48.80,33.64,1043,101.92,18,0.72,1.73,0.71
Kaimur (Bhabua),380,38.00,111,4.08,29.21,10.74,897,94.99,28,1.67,3.12,1.76
Katihar,600,60.00,188,10.81,31.33,18.02,2411,276.42,106,3.83,4.40,1.39
Khagaria,310,31.00,42,2.38,13.55,7.68,592,56.70,16,0.99,2.70,1.75
Kishanganj,350,35.00,72,3.28,20.57,9.37,1307,112.51,331,5.50,25.33,4.89
Lakhisarai,290,29.00,53,3.83,18.28,13.21,490,52.64,17,0.94,3.47,1.79
Madhepura,360,36.00,61,3.45,16.94,9.58,831,80.24,137,2.53,16.49,3.15
Madhubani,810,81.00,264,8.41,32.59,10.38,2412,249.73,64,2.11,2.65,0.84
Munger,450,45.00,100,4.15,22.22,9.22,1298,136.20,49,2.61,3.78,1.92
Muzaffarpur,1270,127.00,482,20.28,37.95,15.97,8256,891.86,167,10.64,2.02,1.19
Nalanda,700,70.00,208,7.51,29.71,10.73,2271,247.79,69,4.27,3.04,1.72
Nawada,450,45.00,169,6.37,37.56,14.16,1931,204.34,61,2.47,3.16,1.21
Pashchim Champaran,620,62.00,213,6.82,34.35,11.00,2034,222.50,34,1.93,1.67,0.87
Patna,4100,410.00,2102,122.81,51.27,29.95,34618,4853.73,500,40.12,1.44,0.83
Purbi Champaran,840,84.00,285,5.72,33.93,6.81,2805,284.39,59,2.58,2.10,0.91
Purnia,700,70.00,345,14.31,49.29,20.44,4999,496.43,612,11.87,12.24,2.39
Rohtas,670,67.00,201,9.91,30.00,14.79,2858,291.98,152,8.04,5.32,2.75
Saharsa,310,31.00,54,2.21,17.42,7.13,1056,111.07,74,1.79,7.01,1.61
Samastipur,830,83.00,344,12.84,41.45,15.47,3309,361.30,64,3.41,1.93,0.94
Saran,710,71.00,177,9.18,24.93,12.93,2320,264.09,84,2.59,3.62,0.98
Sheikhpura,200,20.00,27,0.99,13.50,4.95,470,47.56,12,0.21,2.55,0.44
Sheohar,130,13.00,32,0.85,24.62,6.54,377,29.65,64,0.61,16.98,2.06
Sitamarhi,500,50.00,130,5.95,26.00,11.90,1761,185.26,60,1.89,3.41,1.02
Siwan,710,71.00,168,7.02,23.66,9.89,2116,219.30,54,3.17,2.55,1.45
Supaul,390,39.00,63,3.20,16.15,8.21,980,96.80,124,2.00,12.65,2.07
Vaishali,800,80.00,264,11.67,33.00,14.59,3396,334.55,353,6.59,10.39,1.97
