District,"AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"MSME TOTAL
0/S","TOTAL
NPA",%AGE,"OPS TOTAL
0/S","TOTAL
NPA",%AGE,"TOTAL PRIORITY SECTOR TOTAL
0/S","TOTAL
NPA",%AGE,"NPS TOTAL
0/S","TOTAL
NPA",%AGE,"NPA IN TOTAL ADVANCE TOTAL
0/S","TOTAL
NPA",%AGE
Araria,1924,384,19.97,1433,104,7.28,262,30,11.35,3618,518,14.32,1822,44,2.39,5440,562,10.33
Arwal,451,95,20.99,237,29,12.29,57,11,18.53,745,134,18.03,436,12,2.66,1181,146,12.35
Aurangabad,1971,538,27.30,1174,90,7.70,318,35,11.15,3463,664,19.17,2834,36,1.28,6297,700,11.12
Banka,1218,318,26.12,581,121,20.82,227,18,7.74,2027,457,22.54,916,18,2.00,2943,475,16.14
Begusarai,2934,539,18.38,2868,135,4.69,555,33,5.93,6357,707,11.12,3492,68,1.95,9849,775,7.87
Bhagalpur,1952,345,17.66,2869,149,5.18,777,22,2.88,5598,516,9.21,4590,73,1.59,10187,588,5.78
Bhojpur,1964,362,18.45,1195,95,7.93,481,30,6.15,3640,487,13.37,2648,52,1.97,6288,539,8.57
Buxar,1329,438,32.96,729,93,12.81,238,14,6.04,2296,546,23.77,1409,27,1.95,3705,573,15.47
Darbhanga,2147,267,12.46,2027,135,6.66,583,29,4.89,4757,431,9.06,4080,59,1.44,8837,490,5.54
Gaya,4030,678,16.82,3102,255,8.23,937,47,4.98,8069,980,12.14,5099,118,2.31,13169,1098,8.33
Gopalganj,2181,402,18.41,1067,83,7.76,235,25,10.50,3484,509,14.61,1764,34,1.95,5248,544,10.36
Jamui,1263,384,30.38,491,59,12.08,128,16,12.32,1883,459,24.37,1131,32,2.87,3013,491,16.30
Jehanabad,758,190,25.01,477,60,12.48,146,13,9.22,1381,263,19.01,952,28,2.98,2333,291,12.47
Kaimur (Bhabua),1513,427,28.22,536,66,12.26,172,17,9.78,2222,510,22.94,1041,19,1.85,3262,529,16.21
Katihar,2594,394,15.17,1470,84,5.74,395,18,4.58,4459,496,11.13,2523,36,1.44,6982,533,7.63
Khagaria,1455,394,27.10,585,42,7.22,118,17,14.20,2157,453,21.01,1085,30,2.78,3242,483,14.91
Kishanganj,1421,220,15.52,709,48,6.84,203,12,5.72,2333,281,12.03,1195,19,1.63,3528,300,8.50
Lakhisarai,791,231,29.25,333,28,8.51,105,14,13.21,1228,273,22.26,741,15,1.99,1970,288,14.63
Madhepura,1536,292,18.99,678,76,11.18,139,18,12.84,2354,385,16.37,1318,22,1.70,3671,408,11.11
Madhubani,2445,332,13.57,1351,117,8.70,412,35,8.53,4207,484,11.51,2595,43,1.65,6803,527,7.75
Munger,747,186,24.97,585,82,13.95,242,15,6.16,1574,283,17.98,1701,35,2.05,3275,318,9.71
Muzaffarpur,4486,732,16.32,4888,277,5.66,1225,64,5.26,10599,1073,10.13,7744,156,2.01,18343,1229,6.70
Nalanda,1965,500,25.46,1542,165,10.68,547,34,6.26,4055,699,17.24,2551,49,1.92,6606,748,11.32
Nawada,1654,381,23.05,810,77,9.56,287,21,7.31,2751,480,17.44,1448,29,1.99,4198,508,12.11
Pashchim Champaran,2780,435,15.65,1585,119,7.50,421,44,10.46,4786,598,12.49,2790,53,1.91,7576,651,8.60
Patna,12707,1323,10.41,19507,1094,5.61,6002,132,2.20,38215,2549,6.67,53521,745,1.39,91737,3294,3.59
Purbi Champaran,4319,759,17.57,2402,155,6.45,504,36,7.17,7224,950,13.15,3868,84,2.18,11093,1034,9.32
Purnia,2853,499,17.48,3200,140,4.39,670,32,4.82,6724,672,9.99,3502,60,1.73,10226,732,7.16
Rohtas,2270,778,34.26,1747,182,10.43,443,47,10.52,4460,1007,22.57,2486,51,2.03,6946,1057,15.22
Saharsa,1394,263,18.89,904,81,8.94,199,16,8.13,2496,360,14.43,1481,25,1.67,3977,385,9.68
Samastipur,3444,738,21.43,2170,135,6.20,547,41,7.47,6162,914,14.83,3342,91,2.74,9504,1005,10.58
Saran,2611,456,17.48,1621,176,10.87,441,31,7.11,4672,664,14.21,3086,59,1.90,7758,722,9.31
Sheikhpura,520,110,21.21,323,30,9.38,81,8,9.88,924,149,16.08,543,8,1.52,1467,157,10.69
Sheohar,503,79,15.76,183,30,16.60,45,4,9.57,731,114,15.59,355,9,2.41,1086,122,11.28
Sitamarhi,1937,435,22.46,1194,104,8.68,301,22,7.17,3432,560,16.32,1997,39,1.96,5429,599,11.04
Siwan,3526,381,10.81,1628,123,7.54,411,32,7.80,5566,536,9.63,2520,44,1.73,8085,579,7.17
Supaul,1472,327,22.22,704,62,8.78,144,16,11.22,2320,405,17.46,1510,24,1.57,3830,429,11.20
Vaishali,5485,523,9.54,1849,145,7.85,510,41,8.13,7845,710,9.05,3234,84,2.59,11078,794,7.16
