district,bhim_upi_no,amt,bhim_aadhaar_no,amt,bharat_qr_code_no,amt,imps_no,amt,cards_debit_credit_no,amt,ussd_no,amt
Araria,52517527,6.07,8579,6.07,63309,6.07,494578,6.07,416237,6.07,14067,6.07
Arwal,12965681,3.61,74985,3.61,1848,3.61,232347,3.61,157743,3.61,14840,3.61
Aurangabad,54583649,13.20,201450,13.20,18588,13.20,803337,13.20,710488,13.20,38905,13.20
Banka,31604779,5.77,67521,5.77,6577,5.77,457340,5.77,315092,5.77,17659,5.77
Begusarai,83718746,23.09,140427,23.09,30205,23.09,1921353,23.09,978573,23.09,73087,23.09
Bhagalpur,84173471,32.38,79500,32.38,198235,32.38,2027888,32.38,1041822,32.38,84139,32.38
Bhojpur,59287230,37.34,358162,37.34,20259,37.34,1431350,37.34,874579,37.34,128047,37.34
Buxar,34092872,14.74,180942,14.74,45414,14.74,428274,14.74,487811,14.74,53561,14.74
Darbhanga,80691001,23.28,17314,23.28,26515,23.28,2204102,23.28,870383,23.28,56081,23.28
Gaya,98278657,30.96,319912,30.96,46204,30.96,1914143,30.96,1199076,30.96,96346,30.96
Gopalganj,52226773,16.92,14126,16.92,10323,16.92,648151,16.92,487658,16.92,65330,16.92
Jamui,27411676,7.58,154015,7.58,21160,7.58,251301,7.58,228749,7.58,17930,7.58
Jehanabad,26488380,9.20,102332,9.20,37442,9.20,707638,9.20,297269,9.20,30021,9.20
Kaimur (Bhabua),29852532,7.41,166382,7.41,19684,7.41,401550,7.41,317349,7.41,22617,7.41
Katihar,49645986,24.36,5991,24.36,18475,24.36,526470,24.36,359813,24.36,159377,24.36
Khagaria,32523214,6.84,150816,6.84,379946,6.84,369968,6.84,234399,6.84,21652,6.84
Kishanganj,33599713,4.95,11081,4.95,11489,4.95,280652,4.95,233179,4.95,11220,4.95
Lakhisarai,17768311,5.86,98762,5.86,9038,5.86,211577,5.86,173194,5.86,20039,5.86
Madhepura,30476282,7.80,8378,7.80,112737,7.80,265622,7.80,156683,7.80,18731,7.80
Madhubani,74939592,15.87,17363,15.87,23329,15.87,1104462,15.87,737699,15.87,52749,15.87
Munger,29317067,15.80,96940,15.80,26942,15.80,335930,15.80,419668,15.80,50000,15.80
Muzaffarpur,132015070,52.81,23176,52.81,68019,52.81,2990129,52.81,1569502,52.81,186706,52.81
Nalanda,54414525,15.64,344805,15.64,29201,15.64,1298608,15.64,809549,15.64,45057,15.64
Nawada,35116611,8.55,287884,8.55,8446,8.55,616918,8.55,411673,8.55,25868,8.55
Pashchim Champaran,85180201,14.62,17203,14.62,32898,14.62,737501,14.62,637297,14.62,44758,14.62
Patna,259405127,190.95,130823,190.95,616366,190.95,8539115,190.95,5375730,190.95,527477,190.95
Purbi Champaran,100708749,23.97,23311,23.97,128915,23.97,848936,23.97,711072,23.97,64209,23.97
Purnia,76960045,16.42,4844,16.42,31667,16.42,1740996,16.42,542626,16.42,36144,16.42
Rohtas,63698094,17.57,286699,17.57,36196,17.57,774590,17.57,820680,17.57,60243,17.57
Saharsa,31225376,8.79,13715,8.79,31258,8.79,294481,8.79,208838,8.79,22906,8.79
Samastipur,97016810,18.84,254230,18.84,473652,18.84,1903057,18.84,934221,18.84,59682,18.84
Saran,82158640,33.25,19284,33.25,44077,33.25,1283010,33.25,748659,33.25,110596,33.25
Sheikhpura,11229936,2.98,40064,2.98,6317,2.98,109344,2.98,171821,2.98,8585,2.98
Sheohar,10622005,1.19,8899,1.19,87890,1.19,87891,1.19,119649,1.19,3257,1.19
Sitamarhi,56870976,9.44,27989,9.44,20884,9.44,619783,9.44,583140,9.44,27155,9.44
Siwan,110452920,15.33,16752,15.33,28667,15.33,5201973,15.33,859720,15.33,48344,15.33
Supaul,34444967,6.00,10906,6.00,7147,6.00,389537,6.00,212995,6.00,14953,6.00
Vaishali,88263097,22.90,12064,22.90,74062,22.90,4783083,22.90,763552,22.90,72748,22.90
