district,branches_rural,branches_semi_urban,branches_urban,branches_total
Araria,86,83,2,171
Arwal,42,25,1,68
Aurangabad,123,53,35,211
Banka,85,51,1,137
Begusarai,86,101,50,237
Bhagalpur,101,101,96,298
Bhojpur,124,66,60,250
Buxar,86,42,32,160
Darbhanga,118,67,75,260
Gaya,188,51,99,338
Gopalganj,129,73,0,202
Jamui,74,55,1,130
Jehanabad,59,10,30,99
Kaimur (Bhabua),89,41,1,131
Katihar,107,41,49,197
Khagaria,40,79,2,121
Kishanganj,64,20,30,114
Lakhisarai,44,47,1,92
Madhepura,39,84,1,124
Madhubani,125,160,4,289
Munger,61,33,53,147
Muzaffarpur,186,99,129,414
Nalanda,145,68,50,263
Nawada,75,86,0,161
Pashchim Champaran,106,81,51,238
Patna,203,208,605,1016
Purbi Champaran,108,155,53,316
Purnia,98,66,80,244
Rohtas,133,62,59,254
Saharsa,47,26,32,105
Samastipur,171,137,2,310
Saran,169,60,49,278
Sheikhpura,31,34,1,66
Sheohar,19,27,0,46
Sitamarhi,56,116,4,176
Siwan,145,66,56,267
Supaul,49,80,0,129
Vaishali,143,76,49,268
