District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,4680,117,551,3.91,11.77,3.34
Arwal,1480,37,39,0.21,2.64,0.57
Aurangabad,5040,126,184,1.09,3.65,0.87
Banka,4000,100,958,5.69,23.95,5.69
Begusarai,8280,207,1638,9.31,19.78,4.50
Bhagalpur,7760,194,837,6.12,10.79,3.15
Bhojpur,6400,160,256,2.43,4.00,1.52
Buxar,3560,89,106,0.28,2.98,0.31
Darbhanga,7000,175,1081,6.78,15.44,3.87
Gaya,9480,237,444,5.15,4.68,2.17
Gopalganj,5840,146,826,5.65,14.14,3.87
Jamui,3280,82,185,1.84,5.64,2.24
Jehanabad,2320,58,64,0.73,2.76,1.26
Kaimur (Bhabua),3120,78,79,0.84,2.53,1.08
Katihar,5720,143,776,5.96,13.57,4.17
Khagaria,3080,77,1260,10.84,40.91,14.08
Kishanganj,3160,79,268,1.26,8.48,1.59
Lakhisarai,2520,63,351,2.68,13.93,4.25
Madhepura,3080,77,349,2.30,11.33,2.99
Madhubani,6920,173,718,3.93,10.38,2.27
Munger,3480,87,435,3.34,12.50,3.84
Muzaffarpur,14000,350,3086,19.69,22.04,5.63
Nalanda,6320,158,932,5.69,14.75,3.60
Nawada,4440,111,71,0.39,1.60,0.35
Pashchim Champaran,6160,154,1377,7.53,22.35,4.89
Patna,40640,1016,3820,27.57,9.40,2.71
Purbi Champaran,8800,220,1319,8.46,14.99,3.85
Purnia,6600,165,690,3.77,10.45,2.28
Rohtas,6600,165,304,1.97,4.61,1.19
Saharsa,2360,59,711,3.94,30.13,6.68
Samastipur,8360,209,2068,18.51,24.74,8.86
Saran,7960,199,835,4.83,10.49,2.43
Sheikhpura,1600,40,450,2.27,28.13,5.68
Sheohar,1080,27,861,5.04,79.72,18.67
Sitamarhi,4240,106,1250,6.28,29.48,5.92
Siwan,9400,235,891,5.02,9.48,2.14
Supaul,3160,79,268,1.80,8.48,2.28
Vaishali,7640,191,1645,11.19,21.53,5.86
