district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,60,85.80,27,85.80,45.00,85.80
Arwal,16,10.75,4,10.75,25.00,10.75
Aurangabad,96,3.38,11,3.38,11.46,3.38
Banka,60,0.73,2,0.73,3.33,0.73
Begusarai,128,19.25,18,19.25,14.06,19.25
Bhagalpur,132,7.94,15,7.94,11.36,7.94
Bhojpur,128,4.81,18,4.81,14.06,4.81
Buxar,72,3.44,29,3.44,40.28,3.44
Darbhanga,116,2.21,56,2.21,48.28,2.21
Gaya,156,12.97,12,12.97,7.69,12.97
Gopalganj,96,0.00,0,0.00,0.00,0.00
Jamui,60,3.60,3,3.60,5.00,3.60
Jehanabad,40,3.00,1,3.00,2.50,3.00
Kaimur (Bhabua),52,0.92,6,0.92,11.54,0.92
Katihar,80,31.50,22,31.50,27.50,31.50
Khagaria,48,12.75,10,12.75,20.83,12.75
Kishanganj,40,16.60,5,16.60,12.50,16.60
Lakhisarai,40,1.50,2,1.50,5.00,1.50
Madhepura,36,10.00,13,10.00,36.11,10.00
Madhubani,136,2.06,8,2.06,5.88,2.06
Munger,60,6.80,4,6.80,6.67,6.80
Muzaffarpur,192,3.83,43,3.83,22.40,3.83
Nalanda,124,9.58,9,9.58,7.26,9.58
Nawada,76,8.42,5,8.42,6.58,8.42
Pashchim Champaran,108,6.30,21,6.30,19.44,6.30
Patna,788,6.84,272,6.84,34.52,6.84
Purbi Champaran,144,2.56,5,2.56,3.47,2.56
Purnia,104,78.19,59,78.19,56.73,78.19
Rohtas,124,3.16,7,3.16,5.65,3.16
Saharsa,36,17.11,7,17.11,19.44,17.11
Samastipur,128,45.25,21,45.25,16.41,45.25
Saran,104,0.81,6,0.81,5.77,0.81
Sheikhpura,20,0.40,1,0.40,5.00,0.40
Sheohar,16,0.25,2,0.25,12.50,0.25
Sitamarhi,84,7.38,32,7.38,38.10,7.38
Siwan,140,5.20,119,5.20,85.00,5.20
Supaul,40,11.40,9,11.40,22.50,11.40
Vaishali,120,6.00,38,6.00,31.67,6.00
