District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Araria,171,6113.34,5435.24,88.91
Arwal,68,2603.99,1200.07,46.09
Aurangabad,211,10269.84,6273.72,61.09
Banka,137,5618.77,2953.58,52.57
Begusarai,237,13415.23,9880.25,73.65
Bhagalpur,298,19981.34,10229.72,51.20
Bhojpur,250,14375.46,6292.74,43.77
Buxar,160,8178.71,3659.74,44.75
Darbhanga,260,17129.91,8840.38,51.61
Gaya,338,22978.48,13140.29,57.19
Gopalganj,202,11011.07,5256.67,47.74
Jamui,130,6124.28,3022.80,49.36
Jehanabad,99,5111.04,2295.06,44.90
Kaimur (Bhabua),131,5233.20,3267.88,62.45
Katihar,197,9157.27,6981.19,76.24
Khagaria,121,5094.58,3249.73,63.79
Kishanganj,114,4500.89,3527.57,78.37
Lakhisarai,92,4256.62,1971.35,46.31
Madhepura,124,4837.83,3668.03,75.82
Madhubani,289,12318.38,6806.19,55.25
Munger,147,9771.00,3296.99,33.74
Muzaffarpur,414,26136.64,18339.22,70.17
Nalanda,263,15123.92,6537.18,43.22
Nawada,161,7435.13,4208.67,56.61
Pashchim Champaran,238,8867.10,7577.01,85.45
Patna,1016,182109.82,91728.82,50.37
Purbi Champaran,316,14039.64,11090.59,78.99
Purnia,244,10367.03,10228.11,98.66
Rohtas,254,13585.30,6947.25,51.14
Saharsa,105,5924.96,3975.07,67.09
Samastipur,310,14821.65,9546.15,64.41
Saran,278,17097.27,7753.77,45.35
Sheikhpura,66,2902.66,1470.89,50.67
Sheohar,46,1453.49,1083.13,74.52
Sitamarhi,176,8870.00,5424.05,61.15
Siwan,267,16404.86,8090.86,49.32
Supaul,129,5488.98,3827.11,69.72
Vaishali,268,14197.73,11087.28,78.09
