District,SC Disbursement During Quarter No.,Amt.,Outstanding at the end of Quarter No.,Amt.,ST Disbursement During Quarter No.,Amt.,Outstanding at the end of Quarter No.,Amt.
Araria,2161,21.21,13702,171.25,366,2.85,2271,19.46
Arwal,420,5.5,5118,66.69,80,0.9,925,6.88
Aurangabad,2862,30.16,35412,339.88,513,3.54,7882,43.25
Banka,810,10.01,12338,104.79,175,2.46,4128,36.39
Begusarai,2660,41.13,32399,311.6,322,3.71,3683,29.35
Bhagalpur,2024,35.28,21308,307.23,586,7.15,5350,89.2
Bhojpur,6008,42.83,60991,288.88,2092,11.09,20752,75.89
Buxar,1229,14.98,14699,139.92,227,2.04,3784,28.34
Darbhanga,13393,71.99,62792,409.03,1645,8.73,11685,43.23
Gaya,22831,135.36,183752,918.04,7008,31.5,56712,292.27
Gopalganj,6164,31.4,31016,159.43,1275,6.65,7280,30.16
Jamui,928,15.78,19295,174.63,137,2.56,5970,52.07
Jehanabad,656,13,6184,82.16,112,1.19,2383,47.9
Kaimur (Bhabua),1652,23.5,18541,197.87,198,2.24,4556,44.92
Katihar,2361,26.43,18131,218.62,880,9.86,4946,72.7
Khagaria,702,16.25,8158,105.36,123,3.05,1157,15.96
Kishanganj,1347,14.21,9732,108.23,314,2.93,2567,24.23
Lakhisarai,471,9.37,8167,80.46,28,0.83,2064,13.97
Madhepura,2461,24.19,19062,186.19,739,3.11,4864,19.12
Madhubani,9658,43.89,37468,251.59,1952,4.1,7315,28.57
Munger,606,17.24,12806,172.63,76,2.64,2196,32.3
Muzaffarpur,12829,88.72,87082,575.01,1869,9.85,10509,52.43
Nalanda,2267,34.93,32601,336.92,157,2.29,3371,42.27
Nawada,2188,20.68,31363,260.87,116,1.54,4352,31.5
Pashchim Champaran,7594,47.63,40244,347.78,7801,29.01,23743,97.34
Patna,31623,267.32,333879,1972.35,8310,46.68,80644,292.87
Purbi Champaran,8077,59.96,50537,396.44,1405,9.5,11432,56.21
Purnia,3365,31.64,20332,223.66,1747,8.69,7642,65.09
Rohtas,1935,34.15,24681,268.91,166,3.34,4674,38.32
Saharsa,2859,24.16,17952,177.8,362,2.38,2397,21.97
Samastipur,3774,49.07,53115,453.33,835,7.86,8602,79.23
Saran,8570,61.07,51267,364.4,1632,8.36,9181,44.23
Sheikhpura,287,5.94,7195,76.41,13,0.35,1206,11.85
Sheohar,1334,5.91,4796,38.84,62,0.28,282,2.3
Sitamarhi,3738,25.12,18452,172.47,544,4.01,2380,16.41
Siwan,21047,103.88,189747,779.53,8945,39.81,72621,274.49
Supaul,2806,22.46,12369,166.47,307,3.87,1978,19.63
Vaishali,45965,214.17,416787,1229.08,14641,64.04,150466,386.05
