District,KCC New Target No.,AMT,Disbursed No.,% Achievement No.,KCC Renew Target No.,Total No. of KCC
Araria,15512,217,586,3.78,32508,48020
Arwal,5797,81,131,2.26,17222,23019
Aurangabad,18653,261,710,3.81,53508,72161
Banka,12367,173,670,5.42,27720,40087
Begusarai,21228,297,867,4.08,52150,73378
Bhagalpur,26656,373,1367,5.13,61722,88378
Bhojpur,22371,313,695,3.11,68293,90664
Buxar,14439,202,854,5.91,39723,54162
Darbhanga,23300,326,258,1.11,68793,92093
Gaya,30299,424,1675,5.53,79436,109735
Gopalganj,18083,253,753,4.16,50151,68234
Jamui,11866,166,1102,9.29,33578,45444
Jehanabad,8869,124,160,1.80,25008,33877
Kaimur (Bhabua),11866,166,678,5.71,31150,43016
Katihar,17582,246,500,2.84,38292,55874
Khagaria,10795,151,470,4.35,27650,38445
Kishanganj,10225,143,307,3.00,21363,31588
Lakhisarai,8296,116,380,4.58,22579,30875
Madhepura,11153,156,347,3.11,30722,41875
Madhubani,26084,365,371,1.42,80937,107021
Munger,13010,182,819,6.30,35436,48446
Muzaffarpur,37369,523,980,2.62,91863,129232
Nalanda,23511,329,819,3.48,72722,96233
Nawada,14440,202,1002,6.94,40509,54949
Pashchim Champaran,22155,310,1414,6.38,58292,80447
Patna,87373,1223,547,0.63,188150,275523
Purbi Champaran,27583,386,630,2.28,74364,101947
Purnia,21726,304,757,3.48,50008,71734
Rohtas,23010,322,1361,5.91,61722,84732
Saharsa,9369,131,420,4.48,23007,32376
Samastipur,27726,388,1989,7.17,73793,101519
Saran,24868,348,591,2.38,67651,92519
Sheikhpura,6011,84,243,4.04,17722,23733
Sheohar,4154,58,191,4.60,11508,15662
Sitamarhi,15797,221,438,2.77,41579,57376
Siwan,23942,335,478,2.00,64794,88736
Supaul,11582,162,467,4.03,29294,40876
Vaishali,24224,339,1401,5.78,63937,88161
