district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_infrastructure_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Araria,2249.00,27.90,27.90,2122.00,27.90,27.90,0.00,27.90,27.90,17.00,27.90,27.90,41.00,27.90,27.90,12.00,27.90,27.90,12.00,27.90,27.90,145.00,27.90,27.90,4598.00,27.90,27.90
Arwal,810.00,16.83,16.83,860.00,16.83,16.83,0.00,16.83,16.83,14.00,16.83,16.83,19.00,16.83,16.83,2.00,16.83,16.83,8.00,16.83,16.83,17.00,16.83,16.83,1730.00,16.83,16.83
Aurangabad,4516.00,12.84,12.84,2071.00,12.84,12.84,0.00,12.84,12.84,17.00,12.84,12.84,52.00,12.84,12.84,15.00,12.84,12.84,12.00,12.84,12.84,119.00,12.84,12.84,6802.00,12.84,12.84
Banka,1743.00,11.11,11.11,1569.00,11.11,11.11,0.00,11.11,11.11,19.00,11.11,11.11,48.00,11.11,11.11,12.00,11.11,11.11,13.00,11.11,11.11,124.00,11.11,11.11,3528.00,11.11,11.11
Begusarai,3572.00,26.29,26.29,4071.00,26.29,26.29,0.00,26.29,26.29,26.00,26.29,26.29,84.00,26.29,26.29,14.00,26.29,26.29,13.00,26.29,26.29,165.00,26.29,26.29,7945.00,26.29,26.29
Bhagalpur,4065.00,18.71,18.71,5004.00,18.71,18.71,0.00,18.71,18.71,27.00,18.71,18.71,90.00,18.71,18.71,12.00,18.71,18.71,15.00,18.71,18.71,261.00,18.71,18.71,9474.00,18.71,18.71
Bhojpur,3815.00,13.40,13.40,3848.00,13.40,13.40,0.00,13.40,13.40,22.00,13.40,13.40,69.00,13.40,13.40,13.00,13.40,13.40,13.00,13.40,13.40,116.00,13.40,13.40,7896.00,13.40,13.40
Buxar,2275.00,12.52,12.52,2270.00,12.52,12.52,0.00,12.52,12.52,20.00,12.52,12.52,46.00,12.52,12.52,12.00,12.52,12.52,12.00,12.52,12.52,67.00,12.52,12.52,4702.00,12.52,12.52
Darbhanga,3692.00,19.71,19.71,3640.00,19.71,19.71,0.00,19.71,19.71,20.00,19.71,19.71,79.00,19.71,19.71,12.00,19.71,19.71,13.00,19.71,19.71,118.00,19.71,19.71,7574.00,19.71,19.71
Gaya,4602.00,21.29,21.29,5529.00,21.29,21.29,0.00,21.29,21.29,28.00,21.29,21.29,102.00,21.29,21.29,13.00,21.29,21.29,16.00,21.29,21.29,184.00,21.29,21.29,10474.00,21.29,21.29
Gopalganj,4406.00,13.52,13.52,1794.00,13.52,13.52,0.00,13.52,13.52,17.00,13.52,13.52,51.00,13.52,13.52,14.00,13.52,13.52,12.00,13.52,13.52,125.00,13.52,13.52,6419.00,13.52,13.52
Jamui,1525.00,13.93,13.93,1276.00,13.93,13.93,0.00,13.93,13.93,17.00,13.93,13.93,36.00,13.93,13.93,12.00,13.93,13.93,12.00,13.93,13.93,69.00,13.93,13.93,2947.00,13.93,13.93
Jehanabad,1228.00,12.99,12.99,1546.00,12.99,12.99,0.00,12.99,12.99,16.00,12.99,12.99,25.00,12.99,12.99,12.00,12.99,12.99,13.00,12.99,12.99,11.00,12.99,12.99,2851.00,12.99,12.99
