district,agri_npa_crop_loan_no,agri_npa_crop_loan,agri_npa_term_loan_no,agri_npa_term_loan,agri_npa_total_farm_credit_no,agri_npa_total_farm_credit,agri_npa_infrastructure_no,agri_npa_infrastructure,agri_npa_ancillary_no,agri_npa_ancillary,agri_npa_total_no,agri_npa_total
Araria,36918,263.45,43356,117.91,30345,68.44,8,0.13,189,2.74,80471,384.23
Arwal,11689,71.05,4779,20.98,3147,10.81,3,0.13,111,2.46,16582,94.62
Aurangabad,52345,419.77,27968,95.64,20047,52.18,30,2.52,200,20.11,80543,538.04
Banka,40261,221.64,23302,71.21,18436,44.38,35,0.09,227,25.27,63825,318.21
Begusarai,52551,369.57,58296,162.19,48052,113.84,13,0.25,671,7.19,111531,539.2
Bhagalpur,39439,255.61,21981,79.39,14804,43.89,16,0.42,330,9.19,61766,344.61
Bhojpur,39089,278.59,21038,80.59,16903,41.86,15,0.06,185,3.35,60327,362.59
Buxar,42930,359.24,17403,73.23,13780,37.84,28,0.52,197,5.06,60558,438.06
Darbhanga,12779,94.67,68248,164.97,56041,129.8,10,0.26,208,7.52,81245,267.42
Gaya,66457,488.37,58018,176.83,25477,72.89,143,1.21,398,11.41,125016,677.81
Gopalganj,39658,290.64,33647,106.46,28403,77.96,4,0.17,184,4.34,73493,401.6
Jamui,48119,328.62,13026,53.01,9303,29.64,1,0,111,2.07,61257,383.7
Jehanabad,17375,134.04,8373,50.83,5263,16.03,6,0.03,121,4.69,25875,189.59
Kaimur (Bhabua),38172,347.79,8824,45.65,5431,17.68,20,0.41,191,33.08,47207,426.92
Katihar,35145,269.76,38180,117.98,32773,84.91,22,0.08,244,5.86,73591,393.69
Khagaria,54583,273.45,41485,118.37,32238,74.49,1,0.01,175,2.49,96244,394.33
Kishanganj,24940,194.73,8110,23.46,5767,16.35,6,0.06,149,2.24,33205,220.48
Lakhisarai,27991,191.79,9786,38.11,6932,19.12,3,0.02,58,1.36,37838,231.27
Madhepura,19579,175.52,37376,98.77,30210,66.66,42,0.67,265,16.79,57262,291.75
Madhubani,26402,182.05,57909,145.48,45087,97.35,28,0.29,279,3.9,84618,331.71
Munger,24756,145.32,11265,38.44,9008,24.83,6,0.06,133,2.67,36160,186.49
Muzaffarpur,64590,421.35,116478,291.72,85550,200.12,35,0.24,722,18.98,181825,732.3
Nalanda,55443,398.25,16572,94.68,12185,52.84,16,0.32,207,7,72238,500.24
Nawada,42588,278.67,23218,94.62,15847,38.27,23,0.21,248,7.86,66077,381.36
Pashchim Champaran,41989,336.37,29240,93.25,23123,64.71,4,0.19,165,5.44,71398,435.25
Patna,58125,572.3,220468,547.6,153756,364.57,54,7.55,1555,194.95,280202,1322.41
Purbi Champaran,76484,617.5,42917,128.87,36502,106.89,4,0.05,340,12.45,119745,758.88
Purnia,49023,367.31,30728,97.28,22866,57.79,83,0.44,487,33.89,80321,498.92
Rohtas,60900,615.75,38388,120.02,27792,68.79,76,1.36,444,40.64,99808,777.77
Saharsa,22761,187.33,25916,68.73,22552,47.11,6,0.39,265,6.76,48948,263.21
Samastipur,77031,515.88,77517,213.16,56204,140.23,16,0.82,389,8.45,154953,738.32
Saran,36976,280.52,47520,152.41,38357,99.96,15,0.34,473,23.01,84984,456.27
Sheikhpura,13633,91.81,3490,16.5,2710,8.69,0,0,41,1.98,17164,110.29
Sheohar,10455,61.31,5897,16.47,4675,11.78,0,0,73,1.56,16425,79.33
Sitamarhi,39883,290.79,51745,137.31,37758,91.04,3,0.11,233,6.71,91864,434.92
Siwan,27787,230.36,36997,101.64,27519,67.6,65,2.25,247,46.76,65096,381.01
Supaul,33517,262.16,21932,60.03,18226,40.53,10,0.3,535,4.58,55994,327.07
Vaishali,52010,368.09,53997,146.43,39936,101.14,12,0.28,533,8.76,106552,523.56
