district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,4680,3.34,551,3.34,11.77,3.34
Arwal,1480,0.57,39,0.57,2.64,0.57
Aurangabad,5040,0.87,184,0.87,3.65,0.87
Banka,4000,5.69,958,5.69,23.95,5.69
Begusarai,8280,4.50,1638,4.50,19.78,4.50
Bhagalpur,7760,3.15,837,3.15,10.79,3.15
Bhojpur,6400,1.52,256,1.52,4.00,1.52
Buxar,3560,0.31,106,0.31,2.98,0.31
Darbhanga,7000,3.87,1081,3.87,15.44,3.87
Gaya,9480,2.17,444,2.17,4.68,2.17
Gopalganj,5840,3.87,826,3.87,14.14,3.87
Jamui,3280,2.24,185,2.24,5.64,2.24
Jehanabad,2320,1.26,64,1.26,2.76,1.26
Kaimur (Bhabua),3120,1.08,79,1.08,2.53,1.08
Katihar,5720,4.17,776,4.17,13.57,4.17
Khagaria,3080,14.08,1260,14.08,40.91,14.08
Kishanganj,3160,1.59,268,1.59,8.48,1.59
Lakhisarai,2520,4.25,351,4.25,13.93,4.25
Madhepura,3080,2.99,349,2.99,11.33,2.99
Madhubani,6920,2.27,718,2.27,10.38,2.27
Munger,3480,3.84,435,3.84,12.50,3.84
Muzaffarpur,14000,5.63,3086,5.63,22.04,5.63
Nalanda,6320,3.60,932,3.60,14.75,3.60
Nawada,4440,0.35,71,0.35,1.60,0.35
Pashchim Champaran,6160,4.89,1377,4.89,22.35,4.89
Patna,40640,2.71,3820,2.71,9.40,2.71
Purbi Champaran,8800,3.85,1319,3.85,14.99,3.85
Purnia,6600,2.28,690,2.28,10.45,2.28
Rohtas,6600,1.19,304,1.19,4.61,1.19
Saharsa,2360,6.68,711,6.68,30.13,6.68
Samastipur,8360,8.86,2068,8.86,24.74,8.86
Saran,7960,2.43,835,2.43,10.49,2.43
Sheikhpura,1600,5.68,450,5.68,28.13,5.68
Sheohar,1080,18.67,861,18.67,79.72,18.67
Sitamarhi,4240,5.92,1250,5.92,29.48,5.92
Siwan,9400,2.14,891,2.14,9.48,2.14
Supaul,3160,2.28,268,2.28,8.48,2.28
Vaishali,7640,5.86,1645,5.86,21.53,5.86
