District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,23,6,4.56,19.83
Arwal,20,0,0.00,0.00
Aurangabad,24,2,0.22,0.92
Banka,21,1,4.80,22.86
Begusarai,28,3,0.20,0.71
Bhagalpur,31,4,0.34,1.10
Bhojpur,31,0,0.00,0.00
Buxar,24,1,0.02,0.08
Darbhanga,34,4,1.43,4.21
Gaya,41,2,0.94,2.29
Gopalganj,24,1,0.00,0.00
Jamui,19,0,0.00,0.00
Jehanabad,23,0,0.00,0.00
Kaimur (Bhabua),21,0,0.00,0.00
Katihar,29,2,1.94,6.69
Khagaria,21,0,0.00,0.00
Kishanganj,21,1,0.00,0.00
Lakhisarai,19,0,0.00,0.00
Madhepura,20,1,0.08,0.40
Madhubani,27,1,0.14,0.52
Munger,23,0,0.00,0.00
Muzaffarpur,33,8,9.75,29.55
Nalanda,28,2,0.13,0.46
Nawada,25,5,0.84,3.36
Pashchim Champaran,32,1,0.01,0.03
Patna,57,13,10.88,19.09
Purbi Champaran,29,9,4.26,14.69
Purnia,34,3,0.15,0.44
Rohtas,26,0,0.00,0.00
Saharsa,21,2,3.19,15.19
Samastipur,27,10,1.03,3.81
Saran,32,4,2.48,7.75
Sheikhpura,18,1,0.04,0.22
Sheohar,16,0,0.00,0.00
Sitamarhi,22,1,2.00,9.09
Siwan,32,3,4.80,15.00
Supaul,19,2,0.18,0.95
Vaishali,25,4,1.06,4.24
