district,msme_npa_micro_no,msme_npa_micro_amt,msme_npa_small_no,msme_npa_small_amt,msme_npa_medium_no,msme_npa_medium_amt,msme_npa_other_no,msme_npa_other_amt,msme_npa_total_no,msme_npa_total_amt
Araria,14188,86.81,28,17.43,1,0.01,1,0.00,14218,104.24
Arwal,2366,28.71,13,0.42,2,0.06,0,0.00,2381,29.19
Aurangabad,9099,82.38,50,7.80,4,0.02,1,0.20,9154,90.40
Banka,6475,79.29,24,41.63,1,0.01,9,0.06,6509,120.99
Begusarai,9973,125.34,379,9.16,8,0.12,3,0.00,10363,134.62
Bhagalpur,11856,135.32,114,12.65,8,0.41,4,0.24,11982,148.61
Bhojpur,11964,89.97,75,4.70,2,0.05,1,0.01,12042,94.73
Buxar,12133,87.88,81,5.28,8,0.17,2,0.01,12224,93.34
Darbhanga,25611,117.75,148,5.08,8,12.13,9,0.11,25776,135.08
Gaya,18268,238.15,205,17.00,6,0.10,3,0.00,18482,255.25
Gopalganj,18094,79.27,28,2.60,80,0.89,8,0.06,18210,82.82
Jamui,6747,58.28,23,1.02,2,0.03,5,0.05,6777,59.39
Jehanabad,4431,57.82,32,1.67,2,0.07,1,0.00,4466,59.56
Kaimur (Bhabua),7689,62.06,40,3.47,1,0.01,4,0.23,7734,65.76
Katihar,11206,82.35,42,1.92,2,0.01,5,0.10,11255,84.38
Khagaria,4510,41.37,16,0.86,0,0.00,0,0.00,4526,42.22
Kishanganj,11285,47.48,21,0.96,1,0.02,1,0.00,11308,48.46
Lakhisarai,3442,27.72,61,0.62,0,0.00,1,0.00,3504,28.34
Madhepura,15205,74.18,10,1.35,7,0.25,4,0.02,15226,75.82
Madhubani,24567,112.69,89,4.79,1,0.00,5,0.02,24662,117.51
Munger,7390,78.74,246,2.80,3,0.02,6,0.04,7645,81.61
Muzaffarpur,45171,263.80,301,12.32,11,0.34,14,0.25,45497,276.71
Nalanda,13250,143.76,175,10.54,29,10.29,10,0.15,13464,164.74
Nawada,9199,70.80,265,6.24,15,0.23,5,0.07,9484,77.34
Pashchim Champaran,47213,107.59,114,11.03,1,0.01,10,0.16,47338,118.78
Patna,28856,835.08,725,230.94,36,26.34,46,2.00,29663,1094.36
Purbi Champaran,23472,141.37,105,12.61,14,0.21,8,0.88,23599,155.07
Purnia,19617,128.38,75,11.70,0,0.00,10,0.26,19702,140.35
Rohtas,17797,176.28,98,5.80,12,0.16,8,0.07,17915,182.31
Saharsa,18848,77.19,53,3.52,1,0.06,2,0.03,18904,80.81
Samastipur,9997,129.08,115,5.44,6,0.07,15,0.05,10133,134.64
Saran,30458,172.10,167,3.96,1,0.02,31,0.11,30657,176.19
Sheikhpura,2860,28.98,15,1.33,1,0.02,3,0.01,2879,30.34
Sheohar,4606,29.83,6,0.41,1,0.10,0,0.00,4613,30.35
Sitamarhi,18114,102.81,32,0.81,0,0.00,1,0.00,18147,103.62
Siwan,25540,117.26,63,5.14,4,0.14,12,0.24,25619,122.77
Supaul,15403,60.58,35,1.26,0,0.00,1,0.00,15439,61.84
Vaishali,23803,137.00,62,7.46,0,0.00,16,0.65,23881,145.11
