district,msme_small_target,msme_small_disbursed_no,msme_small_disbursed_amt,msme_small_pct
Araria,554.00,383,343.06,61.92
Arwal,222.00,56,31.07,14.00
Aurangabad,538.00,167,135.96,25.27
Banka,337.00,54,39.37,11.68
Begusarai,1060.00,365,517.62,48.83
Bhagalpur,1305.00,336,415.67,31.85
Bhojpur,1008.00,219,220.40,21.87
Buxar,590.00,264,86.88,14.73
Darbhanga,949.00,312,318.89,33.60
Gaya,1444.00,427,395.33,27.38
Gopalganj,464.00,160,139.88,30.15
Jamui,330.00,83,74.70,22.64
Jehanabad,398.00,77,34.98,8.79
Kaimur (Bhabua),462.00,124,85.27,18.46
Katihar,790.00,312,308.43,39.04
Khagaria,352.00,136,138.41,39.32
Kishanganj,407.00,108,118.33,29.07
Lakhisarai,294.00,41,16.20,5.51
Madhepura,348.00,123,110.19,31.66
Madhubani,891.00,191,158.07,17.74
Munger,471.00,56,44.09,9.36
Muzaffarpur,1584.00,696,776.04,48.99
Nalanda,784.00,331,222.66,28.40
Nawada,409.00,219,92.41,22.59
Pashchim Champaran,844.00,347,290.76,34.45
Patna,5635.00,3043,4110.40,72.94
Purbi Champaran,1112.00,412,430.37,38.70
Purnia,1068.00,441,622.64,58.30
Rohtas,838.00,229,194.71,23.24
Saharsa,351.00,168,188.70,53.76
Samastipur,1072.00,449,356.61,33.27
Saran,1080.00,221,163.16,15.11
Sheikhpura,217.00,73,36.40,16.77
Sheohar,150.00,20,10.20,6.80
Sitamarhi,594.00,169,133.29,22.44
Siwan,997.00,215,167.06,16.76
Supaul,453.00,183,125.64,27.74
Vaishali,598.00,270,208.59,34.88
