district,cases_pending_31_03_2025_no,amt,cases_filed_during_the_quarter_june_2025_no,amt,cases_disposed_during_the_quarter_june_2025_no,amt,cases_pending_as_on_30_06_2025_no,amt
Araria,6742,54,163,54,332,54,6573,54
Arwal,2919,52,84,52,128,52,2875,52
Aurangabad,8182,130,577,130,399,130,8360,130
Banka,28170,310,118,310,4173,310,24115,310
Begusarai,13292,155,394,155,1837,155,11849,155
Bhagalpur,30525,354,328,354,2839,354,28014,354
Bhojpur,10340,189,2885,189,128,189,13097,189
Buxar,8301,183,2419,183,108,183,10612,183
Darbhanga,3411,47,260,47,112,47,3559,47
Gaya,5761,75,200,75,112,75,5849,75
Gopalganj,8959,118,979,118,131,118,9807,118
Jamui,8333,107,441,107,1020,107,7754,107
Jehanabad,5409,84,212,84,171,84,5450,84
Kaimur (Bhabua),14383,176,324,176,564,176,14143,176
Katihar,12401,146,309,146,186,146,12524,146
Khagaria,11241,111,297,111,1812,111,9726,111
Kishanganj,10116,98,198,98,221,98,10093,98
Lakhisarai,5652,80,128,80,560,80,5220,80
Madhepura,6811,74,37,74,115,74,6733,74
Madhubani,5361,91,598,91,210,91,5749,91
Munger,12794,109,192,109,2712,109,10274,109
Muzaffarpur,21479,226,1139,226,289,226,22329,226
Nalanda,9580,137,624,137,75,137,10129,137
Nawada,5765,79,10,79,674,79,5101,79
Pashchim Champaran,16925,141,744,141,232,141,17437,141
Patna,12232,202,681,202,201,202,12712,202
Purbi Champaran,22501,234,529,234,425,234,22605,234
Purnia,13271,134,396,134,278,134,13389,134
Rohtas,12330,252,515,252,312,252,12533,252
Saharsa,5262,63,200,63,121,63,5341,63
Samastipur,12476,126,210,126,644,126,12042,126
Saran,10305,130,382,130,247,130,10440,130
Sheikhpura,4345,47,66,47,203,47,4208,47
Sheohar,7509,47,117,47,22,47,7604,47
Sitamarhi,7579,64,617,64,110,64,8086,64
Siwan,8834,98,585,98,121,98,9298,98
Supaul,4924,56,246,56,101,56,5069,56
Vaishali,8300,92,756,92,150,92,8906,92
