district,loans_to_weaker_sections_under_priority_sector_no,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,out_of_agriculture_loans_to_small_marginal_farmers_no,amt
Araria,251341,1365.95,93822,1365.95,161309,1365.95
Arwal,46171,322.48,18074,322.48,35252,322.48
Aurangabad,191825,1416.64,73980,1416.64,161711,1416.64
Banka,165132,648.59,62576,648.59,95133,648.59
Begusarai,338965,1677.61,103828,1677.61,204259,1677.61
Bhagalpur,258695,1292.28,115571,1292.28,165944,1292.28
Bhojpur,308419,1108.45,87929,1108.45,138218,1108.45
Buxar,144229,933.03,53338,933.03,120137,933.03
Darbhanga,340056,992.47,86949,992.47,146323,992.47
Gaya,668451,2299.30,247838,2299.30,241504,2299.30
Gopalganj,254779,1216.95,78725,1216.95,151208,1216.95
Jamui,160265,897.42,57614,897.42,121970,897.42
Jehanabad,59032,542.11,16977,542.11,50730,542.11
Kaimur (Bhabua),127222,1038.31,40997,1038.31,106153,1038.31
Katihar,315793,1259.26,90249,1259.26,135242,1259.26
Khagaria,190466,1136.97,61324,1136.97,159160,1136.97
Kishanganj,178721,1036.49,54416,1036.49,120316,1036.49
Lakhisarai,94062,523.26,30010,523.26,65462,523.26
Madhepura,210297,953.72,55874,953.72,139667,953.72
Madhubani,281100,1329.88,80357,1329.88,231546,1329.88
Munger,106550,481.59,42743,481.59,68246,481.59
Muzaffarpur,615214,3020.35,314832,3020.35,456096,3020.35
Nalanda,193996,1492.36,71449,1492.36,147885,1492.36
Nawada,159574,1159.76,68216,1159.76,128666,1159.76
Pashchim Champaran,349042,1756.12,111242,1756.12,236930,1756.12
Patna,1777231,4247.50,903047,4247.50,883720,4247.50
Purbi Champaran,425401,2888.93,144372,2888.93,318012,2888.93
Purnia,298808,1604.09,123984,1604.09,187024,1604.09
Rohtas,212642,1562.08,79086,1562.08,172375,1562.08
Saharsa,154979,1070.86,56774,1070.86,112006,1070.86
Samastipur,388665,2368.08,149543,2368.08,309963,2368.08
Saran,360071,1676.72,149855,1676.72,211748,1676.72
Sheikhpura,59510,350.14,21174,350.14,41082,350.14
Sheohar,46121,384.83,8462,384.83,33674,384.83
Sitamarhi,196724,1383.93,47812,1383.93,146851,1383.93
Siwan,705976,1419.81,155608,1419.81,214455,1419.81
Supaul,143802,1049.38,28053,1049.38,96105,1049.38
Vaishali,1409310,1573.85,101880,1573.85,179433,1573.85
