district,cases_pending_31_03_2025_no,amt,cases_filed_during_the_quarter_june_2025_no,amt,cases_disposed_during_the_quarter_june_2025_no,amt,cases_pending_as_on_30_06_2025_no,amt,cases_pending_for_6_months_or_more_as_on_30_06_2025_no,amt
Araria,23,1.92,11,1.92,12,1.92,22,1.92,11,1.92
Arwal,10,1.41,0,1.41,2,1.41,8,1.41,7,1.41
Aurangabad,18,3.47,32,3.47,3,3.47,47,3.47,12,3.47
Banka,0,0.00,3,0.00,0,0.00,3,0.00,1,0.00
Begusarai,16,0.77,8,0.77,13,0.77,11,0.77,3,0.77
Bhagalpur,30,19.96,13,19.96,10,19.96,33,19.96,16,19.96
Bhojpur,11,0.85,5,0.85,6,0.85,10,0.85,4,0.85
Buxar,6,0.08,1,0.08,5,0.08,2,0.08,5,0.08
Darbhanga,39,2.51,1,2.51,9,2.51,31,2.51,19,2.51
Gaya,22,3.13,26,3.13,16,3.13,32,3.13,11,3.13
Gopalganj,23,1.15,1,1.15,3,1.15,21,1.15,12,1.15
Jamui,4,0.05,0,0.05,0,0.05,4,0.05,1,0.05
Jehanabad,6,0.50,0,0.50,2,0.50,4,0.50,2,0.50
Kaimur (Bhabua),7,0.21,1,0.21,6,0.21,2,0.21,2,0.21
Katihar,11,0.01,9,0.01,5,0.01,15,0.01,2,0.01
Khagaria,8,1.13,3,1.13,3,1.13,8,1.13,4,1.13
Kishanganj,29,1.95,9,1.95,1,1.95,37,1.95,21,1.95
Lakhisarai,3,0.84,1,0.84,0,0.84,4,0.84,2,0.84
Madhepura,12,1.32,8,1.32,1,1.32,19,1.32,9,1.32
Madhubani,12,0.90,2,0.90,3,0.90,11,0.90,5,0.90
Munger,21,5.78,7,5.78,1,5.78,27,5.78,12,5.78
Muzaffarpur,68,2.04,29,2.04,19,2.04,78,2.04,12,2.04
Nalanda,52,7.55,4,7.55,2,7.55,54,7.55,35,7.55
Nawada,6,15.49,1,15.49,0,15.49,7,15.49,20,15.49
Pashchim Champaran,35,2.01,3,2.01,5,2.01,33,2.01,19,2.01
Patna,49,4.84,80,4.84,33,4.84,96,4.84,21,4.84
Purbi Champaran,37,1.34,9,1.34,8,1.34,38,1.34,10,1.34
Purnia,76,9.89,35,9.89,20,9.89,91,9.89,27,9.89
Rohtas,66,6.86,10,6.86,11,6.86,65,6.86,58,6.86
Saharsa,17,2.42,5,2.42,3,2.42,19,2.42,11,2.42
Samastipur,12,0.21,11,0.21,8,0.21,15,0.21,3,0.21
Saran,29,1.75,10,1.75,6,1.75,33,1.75,15,1.75
Sheikhpura,4,0.07,1,0.07,1,0.07,4,0.07,1,0.07
Sheohar,21,0.84,2,0.84,0,0.84,23,0.84,1,0.84
Sitamarhi,9,0.05,5,0.05,6,0.05,8,0.05,1,0.05
Siwan,18,1.12,8,1.12,6,1.12,20,1.12,7,1.12
Supaul,9,0.43,5,0.43,2,0.43,12,0.43,4,0.43
Vaishali,47,4.77,13,4.77,11,4.77,49,4.77,42,4.77
