District,TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,60,15,27,12.87,45.00,85.80
Arwal,16,4,4,0.43,25.00,10.75
Aurangabad,96,24,11,0.81,11.46,3.38
Banka,60,15,2,0.11,3.33,0.73
Begusarai,128,32,18,6.16,14.06,19.25
Bhagalpur,132,33,15,2.62,11.36,7.94
Bhojpur,128,32,18,1.54,14.06,4.81
Buxar,72,18,29,0.62,40.28,3.44
Darbhanga,116,29,56,0.64,48.28,2.21
Gaya,156,39,12,5.06,7.69,12.97
Gopalganj,96,24,0,0.00,0.00,0.00
Jamui,60,15,3,0.54,5.00,3.60
Jehanabad,40,10,1,0.30,2.50,3.00
Kaimur (Bhabua),52,13,6,0.12,11.54,0.92
Katihar,80,20,22,6.30,27.50,31.50
Khagaria,48,12,10,1.53,20.83,12.75
Kishanganj,40,10,5,1.66,12.50,16.60
Lakhisarai,40,10,2,0.15,5.00,1.50
Madhepura,36,9,13,0.90,36.11,10.00
Madhubani,136,34,8,0.70,5.88,2.06
Munger,60,15,4,1.02,6.67,6.80
Muzaffarpur,192,48,43,1.84,22.40,3.83
Nalanda,124,31,9,2.97,7.26,9.58
Nawada,76,19,5,1.60,6.58,8.42
Pashchim Champaran,108,27,21,1.70,19.44,6.30
Patna,788,197,272,13.47,34.52,6.84
Purbi Champaran,144,36,5,0.92,3.47,2.56
Purnia,104,26,59,20.33,56.73,78.19
Rohtas,124,31,7,0.98,5.65,3.16
Saharsa,36,9,7,1.54,19.44,17.11
Samastipur,128,32,21,14.48,16.41,45.25
Saran,104,26,6,0.21,5.77,0.81
Sheikhpura,20,5,1,0.02,5.00,0.40
Sheohar,16,4,2,0.01,12.50,0.25
Sitamarhi,84,21,32,1.55,38.10,7.38
Siwan,140,35,119,1.82,85.00,5.20
Supaul,40,10,9,1.14,22.50,11.40
Vaishali,120,30,38,1.80,31.67,6.00
