district,atm_rural,atm_semi_urban,atm_urban,atm_total
Araria,17,93,2,112
Arwal,16,17,0,33
Aurangabad,36,47,57,140
Banka,36,59,0,95
Begusarai,29,63,105,197
Bhagalpur,35,77,169,281
Bhojpur,25,44,124,193
Buxar,19,22,56,97
Darbhanga,22,33,163,218
Gaya,67,55,208,330
Gopalganj,51,100,0,151
Jamui,16,42,2,60
Jehanabad,12,7,58,77
Kaimur (Bhabua),21,47,0,68
Katihar,29,13,69,111
Khagaria,7,63,3,73
Kishanganj,10,11,48,69
Lakhisarai,6,34,2,42
Madhepura,8,77,0,85
Madhubani,26,148,3,177
Munger,21,11,85,117
Muzaffarpur,68,50,299,417
Nalanda,44,47,95,186
Nawada,2,62,0,64
Pashchim Champaran,29,64,108,201
Patna,79,169,1158,1406
Purbi Champaran,26,73,118,217
Purnia,24,26,120,170
Rohtas,28,30,107,165
Saharsa,9,8,77,94
Samastipur,42,160,4,206
Saran,55,41,130,226
Sheikhpura,6,31,0,37
Sheohar,8,17,4,29
Sitamarhi,21,97,6,124
Siwan,42,39,105,186
Supaul,10,71,0,81
Vaishali,32,51,137,220
