district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,17.51,21,17931.22,4787,0.00,0,9.44,152,10.70,9,17968.87,4969,0.00,0
Champhai,9.40,3,2323.20,676,0.00,0,0.00,0,0.00,1,2332.60,680,0.00,0
Hnahthial,0.00,0,698.31,199,0.00,0,0.00,1,0.00,0,698.31,200,0.00,0
Khawzawl,0.00,0,788.28,458,0.00,0,0.00,0,0.00,0,788.28,458,0.00,0
Kolasib,0.00,1,3039.40,1650,0.00,0,72.62,143,0.00,0,3112.02,1794,0.00,0
Lawngtlai,1331.05,983,2634.86,632,0.00,0,0.05,1,9.50,3,3975.46,1619,0.00,0
Lunglei,110.21,129,4267.86,1445,0.00,0,11.46,11,3.00,3,4392.53,1588,0.00,0
Mamit,1.50,3,1455.55,615,0.00,0,2.15,3,0.00,1,1459.20,622,0.00,0
Saiha,0.00,0,2170.63,626,0.00,0,0.25,1,0.00,0,2170.88,627,0.00,0
Saitual,0.00,0,639.65,271,0.00,0,1.01,3,0.00,0,640.66,274,0.00,0
Serchhip,0.64,2,2238.57,794,0.00,0,0.00,1,0.00,0,2239.21,797,0.00,0
