district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,439,3.85,19317,35.01,72839268,3262738.95,148936,361044787.45,13012792,13279166.94,18970,3.28
Champhai,0,0.00,0,0.00,6798627,421480.03,11216,26146050.41,2238988,1114650.75,0,0.00
Hnahthial,0,0.00,0,0.00,17749,497.43,223,1619780.46,1271,272220.41,0,0.00
Khawzawl,0,0.00,0,0.00,21814,568.54,1156,19287769.86,894,915352.50,0,0.00
Kolasib,0,0.00,0,0.00,121059,3322.58,9227,53835893.95,5239,348166.41,0,0.00
Lawngtlai,0,0.00,0,0.00,18334984,647982.60,13508,43230864.26,3457783,526963.40,0,0.00
Lunglei,0,0.00,0,0.00,8420772,344628.34,13990,65235500.45,2366943,1083039.28,0,0.00
Mamit,0,0.00,0,0.00,66424,1674.28,1328,27055400.82,2415,302306.98,0,0.00
Saiha,0,0.00,0,0.00,12510697,425352.14,8490,113025661.01,2326589,2097320.75,0,0.00
Saitual,0,0.00,0,0.00,10406,270.62,332,950605.00,741,3896.40,0,0.00
Serchhip,0,0.00,0,0.00,65203,1956.88,1518,15133235.85,2651,375122.74,0,0.00
