district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,62831.58,41690,35648,46417,37293,10323,31172,23623,77338,51749
Champhai,16095.66,11876,11477,9863,5224,2131,3286,13492,23353,9861
Hnahthial,5004.90,2656,4719,3854,2640,293,2128,7375,7375,0
Khawzawl,11570.25,8016,5430,6950,2522,1701,2370,6196,13446,7250
Kolasib,9953.57,11349,8275,9049,9259,1110,7867,11328,19624,6906
Lawngtlai,32251.96,24209,28795,15554,17173,5727,14444,39952,53004,13053
Lunglei,34671.41,25248,29305,18912,16134,7348,13575,32626,54553,21770
Mamit,23875.33,16045,11956,14341,3810,2822,3360,28001,28001,0
Saiha,18344.92,12157,12455,6296,5490,4046,4279,9295,24612,15317
Saitual,7926.04,5826,4023,5817,1797,1272,1179,9849,9849,0
Serchhip,14418.40,9733,7964,9862,4650,1132,4092,10995,17697,6702
