district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,19.73,16,260.33,123,22045.02,5294,159421.06,41551
Champhai,0.00,0,8.12,3,2657.69,744,11289.36,4626
Hnahthial,1.50,1,1.44,1,1020.87,280,3113.29,1147
Khawzawl,0.00,0,0.00,0,1048.65,554,4700.68,2864
Kolasib,99.20,196,359.00,648,3728.23,1691,15851.98,9465
Lawngtlai,0.00,0,21.32,7,4407.09,1036,24967.67,7365
Lunglei,13.97,5,33.65,12,5036.06,1423,27751.36,9133
Mamit,0.40,1,6.20,4,1869.94,847,9011.92,4760
Saiha,0.00,0,8.25,2,2360.67,670,16848.86,4983
Saitual,0.00,0,3.69,1,822.03,347,3277.28,1851
Serchhip,0.00,0,7.68,3,3076.37,1043,13473.89,5936
