district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,306073,173404,508227
Champhai,36029,17675,73881
Hnahthial,8061,3377,18158
Khawzawl,10686,2019,29469
Kolasib,38589,12332,75636
Lawngtlai,32753,14697,113874
Lunglei,49669,16657,124933
Mamit,21429,6083,63189
Saiha,23252,7208,64316
Saitual,6894,2106,21698
Serchhip,30552,6811,61726
