district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,3,3,115,25,0,43,17,5,79,121,101
Champhai,1,10,0,7,1,16,6,10,0,11,16
Hnahthial,1,0,0,0,0,0,3,1,0,1,4
Khawzawl,0,2,0,0,0,9,3,3,0,2,6
Kolasib,2,8,0,1,0,19,5,10,0,10,15
Lawngtlai,2,4,0,9,0,34,5,6,0,6,11
Lunglei,1,12,0,8,4,16,5,13,0,13,18
Mamit,5,0,0,1,0,18,10,1,0,5,11
Saiha,0,5,0,1,1,8,1,6,0,5,7
Saitual,1,1,0,1,0,7,5,1,0,2,6
Serchhip,1,3,0,0,0,12,9,5,0,4,14
