district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,8.00,3,0.00,0,0.00,0,0.00,10.07,14
Champhai,150.20,69,16.95,9,0.00,0,0.00,246.00,221
Hnahthial,0.00,0,0.00,0,0.00,0,0.00,2.87,5
Khawzawl,31.94,23,5.00,5,0.00,0,0.00,72.64,100
Kolasib,315.62,113,143.83,65,0.88,2,0.18,495.39,339
Lawngtlai,59.59,50,10.31,10,0.06,2,0.03,191.97,199
Lunglei,12.00,5,0.00,0,0.00,0,0.00,15.72,6
Mamit,52.05,38,38.68,40,0.25,1,0.13,193.99,264
Saiha,96.41,56,16.49,20,0.00,0,0.00,245.96,237
Saitual,5.92,4,0.33,1,0.00,0,0.00,47.77,62
Serchhip,95.45,50,34.34,19,2.20,2,0.64,345.69,296
