district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,530.67,119,554.94,105,393.26,203,22.43,1753.41,763
Champhai,43.00,21,43.00,21,19.92,18,5.19,383.92,187
Hnahthial,1.43,1,1.43,1,1.01,2,1.93,52.31,26
Khawzawl,13.50,10,13.50,10,8.22,4,7.01,117.20,55
Kolasib,90.85,28,84.00,25,20.07,8,4.69,428.31,183
Lawngtlai,17.04,30,16.54,29,57.85,65,17.64,327.99,271
Lunglei,38.91,27,38.84,26,53.98,36,6.58,820.26,475
Mamit,118.51,41,118.51,41,22.50,19,3.92,573.26,294
Saiha,24.36,8,22.26,7,95.96,42,33.93,282.80,145
Saitual,32.89,21,32.89,21,15.70,7,5.50,285.25,82
Serchhip,126.29,62,126.29,62,19.19,13,4.33,443.50,233
