district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,63.50,17,13,39.50,8.29,112.29,76,12.35,909.12,589,17.43,14,6
Champhai,197.06,151,155,223.98,45.02,27.84,28,6.24,445.84,411,51.04,48,29
Hnahthial,1.75,4,4,1.75,0.01,31.76,21,25.61,124.01,100,1.60,3,1
Khawzawl,67.64,107,104,64.62,0.47,6.23,7,4.83,128.93,199,0.93,62,31
Kolasib,335.05,141,113,252.29,0.47,9.77,11,1.76,553.58,398,6.49,37,17
Lawngtlai,63.99,52,34,41.04,9.22,24.61,44,9.06,271.50,285,93.17,212,88
Lunglei,38.60,13,11,28.50,0.49,18.90,24,6.05,312.19,250,1.57,29,14
Mamit,98.20,142,140,95.19,1.20,3.12,7,1.14,272.93,400,1.65,18,9
Saiha,96.41,56,53,92.41,0.06,91.75,49,28.53,321.56,273,18.47,44,13
Saitual,16.22,27,27,16.22,0.00,0.00,0,0.00,72.74,106,4.82,29,0
Serchhip,130.38,93,78,91.04,3.76,18.10,20,3.42,528.88,486,29.45,23,6
