district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,18982.87,6378.76,295121.28,34.45,40.83,33.41,55109.87,15621.28,883247.52,33.59,320482.91,953978.67
Champhai,2742.91,18206.09,0.00,39.70,45.52,,6909.20,39995.19,0.00,44.66,20949.00,46904.39
Hnahthial,4136.49,299.61,0.00,27.41,46.40,,15093.58,645.68,0.00,28.18,4436.10,15739.26
Khawzawl,2257.85,4600.35,0.00,60.12,57.81,,3755.31,7957.74,0.00,58.55,6858.20,11713.05
Kolasib,7329.83,16055.93,0.00,54.53,43.85,,13442.73,36614.12,0.00,46.72,23385.76,50056.85
Lawngtlai,7556.29,24338.18,0.00,64.39,66.71,,11734.82,36482.74,0.00,66.15,31894.47,48217.56
Lunglei,3204.68,41328.24,0.00,42.20,51.70,,7594.86,79932.74,0.00,50.88,44532.92,87527.60
Mamit,11679.08,2100.17,0.00,45.75,69.34,,25527.34,3028.84,0.00,48.25,13779.25,28556.18
Saiha,1820.34,22989.28,0.00,48.37,70.36,,3763.40,32673.88,0.00,68.09,24809.62,36437.28
Saitual,3713.56,10.89,0.00,59.51,9.11,,6240.38,119.52,0.00,58.56,3724.45,6359.90
Serchhip,8474.91,10540.30,0.00,34.30,38.87,,24704.75,27117.82,0.00,36.69,19015.21,51822.57
